 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2001       1       1  cha001               0.6040E-01     0.0000E+00     0.5852E-01     0.1131E+00     0.9283E+02     0.5669E+04     0.5669E+04     0.8993E+00     0.0000E+00     0.0000E+00     0.5577E+04     0.0000E+00     0.1202E+02     0.5755E+00     0.1204E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4620E+02     0.0000E+00     0.4475E+02     0.1287E+00     0.2239E+03     0.6036E+00     0.5755E+00     0.0000E+00
   365    12    31  2001       2       2  cha002               0.6960E-01     0.0000E+00     0.6930E-01     0.1516E+00     0.6986E+01     0.2432E+05     0.2432E+05     0.1491E-01     0.0000E+00     0.0000E+00     0.2432E+05     0.0000E+00     0.6571E+01     0.3849E+00     0.6495E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1456E+03     0.0000E+00     0.1449E+03     0.1335E-02     0.4044E+03     0.2041E+00     0.3849E+00     0.0000E+00
   365    12    31  2001       3       3  cha003               0.6617E+00     0.0000E+00     0.6607E+00     0.9888E+00     0.3964E+05     0.3979E+05     0.3979E+05     0.3314E+02     0.0000E+00     0.1483E+01     0.1792E+03     0.0000E+00     0.3735E+02     0.1226E+01     0.4060E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7644E+02     0.0000E+00     0.7633E+02     0.1091E+02     0.9070E+03     0.3991E+01     0.1226E+01     0.0000E+00
   365    12    31  2001       4       4  cha004               0.2202E+00     0.0000E+00     0.2194E+00     0.3536E+00     0.3527E+05     0.3522E+05     0.3522E+05     0.7449E+02     0.0000E+00     0.0000E+00     0.2447E+02     0.0000E+00     0.2484E+02     0.9339E+00     0.2360E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5019E+02     0.0000E+00     0.5003E+02     0.1915E+02     0.7253E+03     0.1486E+01     0.9339E+00     0.0000E+00
   365    12    31  2001       5       5  cha005               0.1950E+00     0.0000E+00     0.1944E+00     0.3198E+00     0.3370E+05     0.3388E+05     0.3388E+05     0.4374E+02     0.0000E+00     0.0000E+00     0.2233E+03     0.0000E+00     0.2225E+02     0.8678E+00     0.5580E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5340E+02     0.0000E+00     0.5324E+02     0.1036E+02     0.6124E+03     0.1322E+01     0.8678E+00     0.0000E+00
   365    12    31  2001       6       6  cha006               0.1888E+00     0.0000E+00     0.1886E+00     0.3100E+00     0.3381E+05     0.3370E+05     0.3370E+05     0.4956E+02     0.5959E+02     0.0000E+00     0.9961E-02     0.0000E+00     0.2215E+02     0.8651E+00     0.2800E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.5211E+02     0.0000E+00     0.5207E+02     0.1167E+02     0.6106E+03     0.1275E+01     0.8651E+00     0.0000E+00
   365    12    31  2001       7       7  cha007               0.1111E+00     0.0000E+00     0.1108E+00     0.1904E+00     0.3346E+05     0.3349E+05     0.3349E+05     0.3041E+02     0.0000E+00     0.0000E+00     0.6516E+02     0.0000E+00     0.1790E+02     0.7508E+00     0.5110E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4371E+02     0.0000E+00     0.4360E+02     0.6078E+01     0.5041E+03     0.6470E+00     0.7508E+00     0.0000E+00
   365    12    31  2001       8       8  cha008               0.1114E+00     0.0000E+00     0.1108E+00     0.1923E+00     0.3281E+05     0.3301E+05     0.3301E+05     0.5694E+02     0.0000E+00     0.0000E+00     0.2576E+03     0.0000E+00     0.1733E+02     0.7348E+00     0.6450E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4627E+02     0.0000E+00     0.4600E+02     0.1159E+02     0.4889E+03     0.6339E+00     0.7348E+00     0.0000E+00
   365    12    31  2001       9       9  cha009               0.1026E+00     0.0000E+00     0.1025E+00     0.1774E+00     0.3277E+05     0.3280E+05     0.3280E+05     0.8955E+00     0.0000E+00     0.0000E+00     0.3656E+02     0.0000E+00     0.1715E+02     0.7295E+00     0.1225E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4335E+02     0.0000E+00     0.4334E+02     0.1785E+00     0.4841E+03     0.5135E+00     0.7295E+00     0.0000E+00
