 Tordera                  
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2000      15    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      16    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      17    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      18    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      19    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      20    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      21    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      22    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      23    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      24    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      25    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      26    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      27    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      28    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      29    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      30    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      31    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      32    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      33    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      34    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      35    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      36    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      37    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      38    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      39    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      40    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      41    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      42    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000      50    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      51    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      52    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      53    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      54    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      55    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      56    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      57    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      58    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      59    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      60    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      61    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      62    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      63    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      64    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      65    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      66    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      67    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      68    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      69    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      70    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000      71    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      72    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      73    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      74    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      75    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      76    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      77    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      78    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      79    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      80    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      81    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      82    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      83    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      84    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      85    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      86    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      87    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000      88    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      89    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      90    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      91    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      92    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      93    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      94    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000      95    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      96    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      97    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      98    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000      99    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     100    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     101    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     102    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     103    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     104    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     105    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     106    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     107    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     108    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     109    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     110    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     111    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     112    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     113    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     114    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     115    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     116    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     117    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     118    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     119    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     120    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     121    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     122    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     123    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     124    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     149    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     150    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     151    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     152    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     153    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     154    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     155    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     156    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     157    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     158    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     159    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     160    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     161    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     162    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     163    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     164    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     165    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     166    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     167    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     168    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     169    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     170    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     171    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     172    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     173    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     174    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     175    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     176    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     177    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     178    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     179    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     180    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     181    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     182    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     183    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     184    frsd                        0.000       0.000       0.000       0.000
