 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2000       1       1  hru0001                0.000       0.000       0.000       0.000      15.093       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       2       2  hru0002                0.000       0.000       0.000       0.000      15.085       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       3       3  hru0003                0.000       0.000       0.000       0.000      15.090       0.000       0.000       0.000       0.000       0.000       0.000       0.000     238.845       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       4       4  hru0004                0.000       0.000       0.000       0.000      15.091       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       5       5  hru0005                0.000       0.000       0.000       0.000      15.096       0.000       0.000       0.000       0.000       0.000       0.000       0.000      81.563       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       6       6  hru0006                0.000       0.000       0.000       0.000      15.120       0.000       0.000       0.000       0.000       0.000       0.000       0.000      10.389       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       7       7  hru0007                0.000       0.000       0.000       0.000      15.093       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       8       8  hru0008                0.000       0.000       0.000       0.000      15.093       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000       9       9  hru0009                0.000       0.000       0.000       0.000      15.093       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      10      10  hru0010                0.000       0.000       0.000       0.000      15.094       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      11      11  hru0011                0.000       0.000       0.000       0.000      15.094       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      12      12  hru0012                0.000       0.000       0.000       0.000      15.094       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      13      13  hru0013                0.000       0.000       0.000       0.000      15.121       0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.952       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      14      14  hru0014                0.000       0.000       0.000       0.000      15.097       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      15      15  hru0015                0.150       0.000       0.000    2614.297      15.133       0.000       0.000       0.000       0.000       0.000       0.000       0.000      20.324       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
   366    12    31  2000      16      16  hru0016                0.150       0.000       0.000    2614.144      15.138       0.000       0.000       0.000       0.000       0.000       0.000       0.000      72.619       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
