 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2001      1       0  rtu0010                2.174   46766.215       0.000    2428.342      14.609      94.971       4.069      97.231       0.005       0.001       0.000      70.974     159.569       0.000      22.102       9.631      15.866      12.463       2.563       0.735       0.499       0.000       0.000       0.000       0.000
    365    12    31  2001      2       0  rtu0020                1.865   46916.750      49.343    2650.853      12.159      46.484      58.348     129.384       0.006       0.019       0.000      73.583     161.202       0.000      16.311       8.206      12.259      16.443       3.137       0.763       0.505       0.000       0.000       0.000       0.000
    365    12    31  2001      3       0  rtu0030                2.801   51163.766       0.000    2479.628      15.233      83.339      87.056     106.681       3.486       0.000       0.000     121.869     150.098       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001      4       0  rtu0040                2.594   53117.211       0.000    2525.043      15.177     123.440      20.661     104.346       2.305       0.000       0.000     101.699     125.774       0.000      20.178      10.832      15.505      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001      5       0  rtu0050                2.731   52712.273       0.000    2547.472      15.151      82.371      67.380     129.095       0.000       0.009       0.000      81.995     122.862       0.000      20.301      10.754      15.528      16.315       3.438       0.759       0.466       0.000       0.000       0.000       0.000
    365    12    31  2001      6       0  rtu0060                2.819   53368.398       0.000    2576.261      15.198      77.950      80.207     130.690       0.000       0.012       0.000      86.372     170.587       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001      7       0  rtu0070                1.829   35765.766     836.756    2416.979      14.437      59.366       4.932      85.249       0.000       0.270       0.000      52.843      47.644       0.000      22.601       9.319      15.960      11.394       2.321       0.728       0.508       0.000       0.000       0.000       0.000
    365    12    31  2001      8       0  rtu0080                1.243   28892.992      49.673    1709.970      14.545      43.987      18.134      61.616       0.000       0.015       0.000      44.961     176.036       0.000      22.601       9.319      15.960      11.394       2.321       0.728       0.508       0.000       0.000       0.000       0.000
    365    12    31  2001      9       0  rtu0090                2.966   53650.867       0.000    2549.526      14.548     101.519       0.000      77.516       0.000       0.000       0.000      81.105      74.312       0.000      22.600       9.319      15.960      11.394       2.321       0.728       0.508       0.000       0.000       0.000       0.000
