 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    366    12    31  2000      1       0  rtu0010                2.360   48858.191       0.000    3210.754      14.680     134.972       5.423     102.327       0.010       0.000       0.000      90.609      86.275       0.000      21.915       9.500      15.707      12.727       2.410       0.741       0.484       0.000       0.000       0.000       0.000
    366    12    31  2000      2       0  rtu0020                2.192   50592.930      48.877    3449.287      12.169      89.925      26.629     134.808       0.012       0.013       0.000     106.647      99.952       0.000      16.127       8.306      12.216      16.436       3.135       0.766       0.501       0.000       0.000       0.000       0.000
    366    12    31  2000      3       0  rtu0030                2.856   49140.195       0.000    3303.257      15.123     105.067     103.897     111.053       1.152       0.000       0.000     109.737     179.556       0.000      19.953      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000      4       0  rtu0040                2.706   51174.617       0.000    3370.866      15.124     150.473      34.150     108.415       1.172       0.000       0.000      91.596      99.805       0.000      19.953      10.678      15.316      16.573       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000      5       0  rtu0050                2.907   51627.969       0.000    3369.166      15.102     120.143      79.294     134.219       0.000       0.000       0.000      74.686     117.074       0.000      20.079      10.602      15.340      16.325       3.299       0.780       0.454       0.000       0.000       0.000       0.000
    366    12    31  2000      6       0  rtu0060                2.957   51446.715       0.000    3358.895      15.128     115.963     100.247     135.811       0.000       0.000       0.000      74.469     205.133       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000      7       0  rtu0070                1.990   35351.895     756.417    3399.195      14.425      95.537       0.000      88.640       0.000       0.367       0.000      50.056       0.000       0.000      22.424       9.194      15.809      11.729       2.163       0.731       0.493       0.000       0.000       0.000       0.000
    366    12    31  2000      8       0  rtu0080                1.417   32451.279      47.415    2193.116      14.546      75.923       7.782      64.625       0.000       0.021       0.000      78.625     177.577       0.000      22.424       9.194      15.809      11.729       2.163       0.731       0.493       0.000       0.000       0.000       0.000
    366    12    31  2000      9       0  rtu0090                3.043   52379.234       0.000    3405.370      14.534     142.118       0.000      81.366       0.000       0.000       0.000      76.078       0.000       0.000      22.424       9.194      15.809      11.729       2.163       0.731       0.493       0.000       0.000       0.000       0.000
    366    12    31  2000     10       0  rtu0100                2.319   47512.875       0.000    3221.720      14.556     106.133      59.164      88.829       0.000       0.000       0.000     107.918     121.922       0.000      22.425       9.194      15.809      11.730       2.163       0.731       0.493       0.000       0.000       0.000       0.000
    366    12    31  2000     11       0  rtu0110                2.147   44945.961       0.000    3201.824      15.130      85.746     112.337     115.995       0.186       0.000       0.000     186.540     165.749       0.000      19.952      10.677      15.314      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     12       0  rtu0120                1.682   49588.504       0.000    3229.573      15.180     267.653       0.000     126.808       0.000       0.000       0.000     166.568       4.599       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     13       0  rtu0130                2.828   49620.520       0.000    3298.605      15.130     115.809      81.278     130.677       0.000       0.000       0.000      76.075     155.129       0.000      19.953      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     14       0  rtu0140                2.226   48410.207       0.739    3375.348      12.334     111.817       7.461     120.991       0.000       0.076       0.000      69.213     188.772       0.000      16.799       8.304      12.551      15.686       5.103       0.744       0.506       0.000       0.000       0.000       0.000
    366    12    31  2000     15       0  rtu0150                1.252   19353.170     697.404    2266.041      13.182      37.611      57.687      67.255       0.000       0.247       0.000      33.590      96.827       0.000      21.052       7.270      14.161      13.306       2.553       0.774       0.414       0.000       0.000       0.000       0.000
    366    12    31  2000     16       0  rtu0160                2.264   51704.785       0.000    3463.093      12.371     108.505       0.000     126.397       0.000       0.000       0.000      91.555      43.671       0.000      16.905       8.337      12.621      15.672       5.152       0.746       0.512       0.000       0.000       0.000       0.000
    366    12    31  2000     17       0  rtu0170                1.304   23462.631     678.787    3334.053      15.052      76.816       2.661      82.792       0.006       0.502       0.000      45.728      18.659       0.000      19.952      10.677      15.314      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     18       0  rtu0180                0.776   11562.079     649.558    2685.433      15.054      44.335       3.116      51.408       0.000       0.475       0.000      16.163      15.796       0.000      19.953      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     19       0  rtu0190                2.364   49054.859     119.766    3367.913      14.568     130.248       4.157      99.567       0.000       0.054       0.000      91.238     102.001       0.000      22.397       9.211      15.804      11.784       2.177       0.731       0.492       0.000       0.000       0.000       0.000
    366    12    31  2000     20       0  rtu0200                1.437   21529.576     185.521    2381.923      14.432      67.308       0.046      47.805       0.000       0.079       0.000      31.442      12.851       0.000      22.380       9.007      15.694      11.729       2.163       0.733       0.488       0.000       0.000       0.000       0.000
    366    12    31  2000     21       0  rtu0210                2.334   50400.113      25.766    3450.404      12.400     121.936       4.064     123.450       0.000       0.017       0.000      72.234     248.011       0.000      16.934       8.340      12.637      15.654       5.134       0.746       0.512       0.000       0.000       0.000       0.000
    366    12    31  2000     22       0  rtu0220                1.868   31497.656     776.525    2932.211      13.007      87.846       5.458      75.968       0.002       0.263       0.000      47.585      25.235       0.000      21.870       5.927      13.898      13.586       2.321       0.767       0.409       0.000       0.000       0.000       0.000
    366    12    31  2000     23       0  rtu0230                2.360   50894.688       9.197    3469.476      12.373     116.314       2.349     125.369       0.000       0.020       0.000      73.017     162.426       0.000      16.906       8.337      12.621      15.673       5.152       0.746       0.512       0.000       0.000       0.000       0.000
    366    12    31  2000     24       0  rtu0240                2.536   50620.695       9.036    3378.974      14.393     141.897      12.666     101.815       0.000       0.003       0.000      73.847      73.831       0.000      22.121       8.722      15.421      12.839       2.219       0.641       0.499       0.000       0.000       0.000       0.000
    366    12    31  2000     25       0  rtu0250                2.680   50505.477       5.207    3338.690      14.434     132.337      11.105     100.024       0.000       0.005       0.000      72.378      66.133       0.000      22.064       9.057      15.560      12.255       2.186       0.719       0.490       0.000       0.000       0.000       0.000
    366    12    31  2000     26       0  rtu0260                0.154    5380.589       0.000    1044.455      15.090      11.676       0.736      12.552       0.000       0.000       0.000      25.388      46.642       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
    366    12    31  2000     27       0  rtu0270                0.890   16798.607     220.707    2644.421      15.077      57.187       0.452      30.748       0.000       0.073       0.000      35.568       7.772       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
    366    12    31  2000     28       0  rtu0280                0.750   31083.453       0.000    2847.399      15.107      29.854     142.965      76.721       0.000       0.000       0.000     139.074     234.632       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
    366    12    31  2000     29       0  rtu0290                0.541   22461.162       1.562    1835.546      15.104      34.350      95.126      55.846       0.002       0.110       0.000     101.165     383.290       0.000      19.953      10.678      15.315      16.573       3.360       0.783       0.460       0.000       0.000       0.000       0.000
    366    12    31  2000     30       0  rtu0300                0.505   19072.516     172.284    1954.779      15.108      33.398      77.546      53.405       0.001       0.150       0.000      84.445     222.168       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     31       0  rtu0310                1.535   37092.695     194.647    2981.287      15.112      93.988      20.285      91.236       0.018       0.117       0.000     112.445      66.294       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     32       0  rtu0320                3.070   51631.934       0.000    3384.414      15.121     107.300     127.101     119.544       0.000       0.000       0.000      75.073     247.747       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     33       0  rtu0330                2.013   34917.941     959.597    3435.068      15.128      99.642      41.236     108.417       0.000       0.547       0.000      51.039     133.704       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     34       0  rtu0340                2.720   48686.113      14.305    3200.444      15.129     128.399      49.273     109.635       0.179       0.006       0.000      83.743     113.547       0.000      19.952      10.677      15.314      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     35       0  rtu0350                2.058   37427.840     464.400    3049.237      15.131     103.764      40.603     102.405       0.000       0.174       0.000      65.448     122.843       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     36       0  rtu0360                2.406   44637.207     369.455    3257.440      15.130     132.490       1.021     118.015       0.000       0.113       0.000      66.101      18.443       0.000      19.949      10.676      15.312      16.572       3.359       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     37       0  rtu0370                0.537       4.188       0.000    2523.627       8.938       0.000      99.620      70.884       0.000       2.356       0.000       0.000     368.994       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     38       0  rtu0380                0.532    7163.837      56.527    1503.997       8.956      23.297      57.878      56.011       0.000       0.924       0.000       9.787     195.652       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     39       0  rtu0390                2.170   47500.594       5.730    3091.426       9.118     159.700       6.337     170.881       0.001       0.000       0.000      71.606      45.677       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     40       0  rtu0400                2.237   42999.707       0.000    2842.072       8.979      46.106     181.557     157.157       0.000       0.000       0.000      59.731     399.929       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     41       0  rtu0410                2.181   47203.328       0.000    3073.755       9.124     160.251       6.821     172.415       0.000       0.000       0.000      68.626     105.971       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     42       0  rtu0420                0.639   13692.945       0.000     892.035       8.906      46.588       0.000      50.216       0.000       0.000       0.000      19.976     145.802       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     43       0  rtu0430                1.489   33441.375     197.068    2482.064       8.928     107.665      27.045     123.173       0.036       0.067       0.000      54.973     149.189       0.000      10.838       6.458       8.648      16.471       2.361       0.640       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     44       0  rtu0440                1.673   34654.414     354.960    2767.368       9.184      99.605      89.127     127.038       0.005       0.091       0.000      50.739     206.269       0.000      11.235       6.601       8.918      16.482       2.389       0.651       0.205       0.000       0.000       0.000       0.000
    366    12    31  2000     45       0  rtu0450                2.358   51088.312       0.000    3323.648       9.128     174.942       0.000     185.388       0.000       0.000       0.000      74.574       8.915       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     46       0  rtu0460                2.462   52114.312       0.000    3467.676      12.389     110.474       4.916     120.729       0.000       0.000       0.000      91.859      53.545       0.000      16.873       8.336      12.604      15.705       5.067       0.747       0.512       0.000       0.000       0.000       0.000
    366    12    31  2000     47       0  rtu0470                2.363   49917.316      68.337    3470.368      12.132      87.913      45.649     136.926       0.012       0.026       0.000      82.962     124.831       0.000      15.994       8.301      12.147      16.566       2.792       0.770       0.499       0.000       0.000       0.000       0.000
    366    12    31  2000     48       0  rtu0480                0.325      29.392      16.942    2414.593      15.115       0.000      83.681      20.913       0.000       1.765       0.000       0.000     379.452       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     49       0  rtu0490                0.239    2617.531    1082.080    1582.048      15.120       6.444      25.358      30.151       0.002       0.649       0.000       6.574     148.694       0.000      19.953      10.678      15.315      16.573       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     50       0  rtu0500                3.011   50353.703       0.000    3340.987      15.133      71.955     199.566     135.815       0.000       0.000       0.000      71.710     269.124       0.000      19.953      10.678      15.315      16.573       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     51       0  rtu0510                2.724   51652.586       0.000    3358.953      15.116     133.085      79.496     135.813       0.000       0.000       0.000      75.470     171.190       0.000      19.953      10.677      15.315      16.572       3.360       0.783       0.452       0.000       0.000       0.000       0.000
    366    12    31  2000     52       0  rtu0520                1.309   25906.375     829.625    2463.856       8.983      82.945       9.299     113.722       0.000       0.136       0.000      36.632     104.856       0.000      10.838       6.458       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
    366    12    31  2000     53       0  rtu0530                0.597   26990.939       0.000    1679.767      15.122      41.193      97.392      65.854       0.000       0.000       0.000     121.985     240.727       0.000      19.952      10.677      15.315      16.572       3.360       0.783       0.462       0.000       0.000       0.000       0.000
    366    12    31  2000     54       0  rtu0540                2.188   48203.777      49.339    3180.278       9.230     169.057       0.000     176.557       0.000       0.008       0.000      70.009      81.370       0.000      10.837       6.459       8.648      16.472       2.361       0.641       0.181       0.000       0.000       0.000       0.000
