 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001      1       0  rtu0010              529.016       0.761       0.761      30.995      15.217      46.212     124.286     406.243      27.656     308.763      69.825      30.994      44.527      70.639     125.570     137.115      16.515       0.000       0.000       0.000     992.614       0.000       0.000       0.000       0.000       0.000      30.994       0.000       0.000      15.217       0.000       0.000      75.157       9.600       9.600      27.428      12.634      19.403      10.277       0.000       0.000       0.000
    365    12    31  2001      2       0  rtu0020              658.723       6.124       6.124      32.897     112.676     145.573     136.526     579.943      29.855     446.654     103.434      32.899      56.379     128.257     330.928     308.606      34.279       0.000       0.000       0.009    1012.621       0.000       0.000       0.000       0.000       0.000      32.899       0.000       0.000     112.676       0.000       0.000     305.007       9.676       9.674     101.197       4.007     500.049       1.648       0.000       0.000       0.000
    365    12    31  2001      3       0  rtu0030              534.508       0.000       0.000     511.386      28.831     540.217    1074.309     651.496      39.439     558.272      53.785     511.388      57.759      73.724     208.562     277.194      32.561       0.000       0.000       0.000    1146.011       0.000       0.000       0.000       0.000       0.000     511.388       0.000       0.000      28.831       0.000       0.000    1798.876     454.814     454.811      67.327     261.629      92.432     231.099       0.000       0.000       0.000
    365    12    31  2001      4       0  rtu0040              534.530       0.000       0.000     227.085      12.334     239.419     364.080     474.029      36.770     393.498      43.760     227.091      43.645      49.544     114.566     156.329      14.477       0.000       0.000       0.000    1146.185       0.000       0.000       0.000       0.000       0.000     227.091       0.000       0.000      12.334       0.000       0.000     575.475     217.085     217.078      32.466      78.618      19.673      75.194       0.000       0.000       0.000
    365    12    31  2001      5       0  rtu0050              534.149       0.049       0.049     213.741       9.409     223.150     144.856     638.447      37.485     552.474      48.487     213.740      53.788      76.331     136.102     215.247      27.704       0.000       0.000       0.000    1136.260       0.000       0.000       0.000       0.000       0.000     213.740       0.000       0.000       9.409       0.000       0.000     502.155     169.035     169.035      29.844     141.163      51.868     115.183       0.000       0.000       0.000
    365    12    31  2001      6       0  rtu0060              534.497       0.000       0.000     166.400       7.394     173.793     201.960     670.616      38.625     583.704      48.287     166.400      56.036      85.485      80.748     280.938      31.278       0.000       0.000       0.000    1145.941       0.000       0.000       0.000       0.000       0.000     166.400       0.000       0.000       7.394       0.000       0.000     509.506     136.735     136.735      -2.365      96.357      37.268      78.886       0.000       0.000       0.000
    365    12    31  2001      7       0  rtu0070              527.578       0.978       0.978       6.353       0.838       7.191      16.008     502.747      22.169     338.106     142.471       6.352      59.498      98.658     102.928     123.387      21.369       0.000       0.000       0.000     955.098       0.000       0.000       0.000       0.000       0.000       6.352       0.000       0.000       0.838       0.000       0.000       0.500       0.000       0.000       2.132       0.452       5.213       0.000       0.000       0.000       0.000
    365    12    31  2001      8       0  rtu0080              527.578       0.994       0.994     201.780       7.606     209.386     184.580     495.738      16.695     221.905     257.138     201.779      69.346     115.495     267.620     308.255      28.993       0.000       0.000       0.000     954.262       0.000       0.000       0.000       0.000       0.000     201.779       0.000       0.000       7.606       0.000       0.000     438.121      56.493      56.493      75.959      13.858      43.505       5.548       0.000       0.000       0.000
    365    12    31  2001      9       0  rtu0090              527.572       0.954       0.954       1.371       2.433       3.804      13.509     459.766      36.054     395.389      28.322       1.371      54.545     135.455     243.388     210.308      28.325       0.000       0.000       0.000     954.584       0.000       0.000       0.000       0.000       0.000       1.371       0.000       0.000       2.433       0.000       0.000       3.404       0.000       0.000      53.893       0.054       7.495       0.000       0.000       0.000       0.000
