 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    366    12    31  2000      1       0  rtu0010              549.615       0.000       0.000      41.997       9.948      51.944      82.547     346.402      34.788     263.251      48.364      42.000      44.667      70.639     269.847     134.096      15.296       0.000       0.000       0.000     969.724       0.000       0.000       0.000       0.000       0.000      42.000       0.000       0.000       9.948       0.000       0.000     130.742      18.912      18.910     199.208      23.147      12.782      20.194       0.000       0.000       0.000
    366    12    31  2000      2       0  rtu0020              707.973       0.004       0.004      36.138      72.164     108.302      90.608     491.371      39.308     386.609      65.454      36.143      55.690     128.257     494.859     255.460      30.295       0.000       0.000       0.000    1007.718       0.000       0.000       0.000       0.000       0.000      36.143       0.000       0.000      72.164       0.000       0.000     351.973      11.327      11.322     366.602       4.300     341.713       1.822       0.000       0.000       0.000
    366    12    31  2000      3       0  rtu0030              504.915       0.000       0.000     932.201      35.468     967.668    1329.638     594.970      45.771     495.522      53.678     932.319      61.606      73.724     340.008     291.888      37.180       0.000       0.000       0.000    1081.748       0.000       0.000       0.000       0.000       0.000     932.319       0.000       0.000      35.468       0.000       0.000    2654.056     858.886     858.781     266.283     482.809     103.850     441.865       0.000       0.000       0.000
    366    12    31  2000      4       0  rtu0040              504.935       0.000       0.000     431.409      14.041     445.450     560.573     436.316      43.103     348.207      45.006     431.444      44.977      49.544     200.929     181.716      16.102       0.000       0.000       0.000    1082.011       0.000       0.000       0.000       0.000       0.000     431.444       0.000       0.000      14.041       0.000       0.000    1088.884     417.266     417.230     151.385     148.734      24.562     143.998       0.000       0.000       0.000
    366    12    31  2000      5       0  rtu0050              507.785       0.000       0.000     340.737       8.805     349.542     156.415     556.921      45.538     470.963      40.420     341.042      55.388      76.331     291.841     221.312      27.774       0.000       0.000       0.000    1074.659       0.000       0.000       0.000       0.000       0.000     341.042       0.000       0.000       8.805       0.000       0.000     771.086     287.288     286.988     215.509     225.327      53.889     193.011       0.000       0.000       0.000
    366    12    31  2000      6       0  rtu0060              504.905       0.000       0.000     317.138      10.012     327.149     280.112     584.356      46.611     497.295      40.450     317.140      58.800      85.485     387.156     332.614      35.803       0.000       0.000       0.000    1081.648       0.000       0.000       0.000       0.000       0.000     317.140       0.000       0.000      10.012       0.000       0.000     988.498     273.552     273.551     301.671     183.018      50.099     157.865       0.000       0.000       0.000
    366    12    31  2000      7       0  rtu0070              561.196       0.000       0.000       9.842       0.186      10.028       0.000     408.368      27.816     261.876     118.676       9.842      59.498      98.658     242.436      85.429      18.351       0.000       0.000       0.000     942.399       0.000       0.000       0.000       0.000       0.000       9.842       0.000       0.000       0.186       0.000       0.000       1.002       0.000       0.000     143.779       0.776       1.035       0.000       0.000       0.000       0.000
    366    12    31  2000      8       0  rtu0080              561.196       0.000       0.000     257.911       4.315     262.226     173.048     488.342      21.893     172.050     294.399     257.957      68.962     115.495     427.420     288.568      31.540       0.000       0.000       0.000     941.725       0.000       0.000       0.000       0.000       0.000     257.957       0.000       0.000       4.315       0.000       0.000     674.601     102.132     102.089     311.925      17.303      33.505       7.438       0.000       0.000       0.000
    366    12    31  2000      9       0  rtu0090              561.190       0.000       0.000       2.617       0.963       3.580       0.000     376.446      41.801     312.299      22.346       2.617      54.545     135.455     316.588     141.224      25.364       0.000       0.000       0.000     941.983       0.000       0.000       0.000       0.000       0.000       2.617       0.000       0.000       0.963       0.000       0.000       0.000       0.000       0.000     181.133       0.103       2.486       0.000       0.000       0.000       0.000
