 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
   365    12    31  2001       1       1  cha001               0.1445E+03     0.8525E+04     0.0000E+00     0.1388E+01     0.8382E+04     0.0000E+00     0.1026E+06     0.1867E+04     0.1026E+06     0.1858E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9047E+01     0.0000E+00     0.0000E+00     0.8522E+02     0.2750E+03     0.8522E+02     0.2736E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1332E+01     0.0000E+00     0.0000E+00     0.7260E+04     0.6040E+01
   365    12    31  2001       2       2  cha002               0.1130E+02     0.3632E+05     0.0000E+00     0.2368E-01     0.3631E+05     0.0000E+00     0.1895E+06     0.3231E+03     0.1895E+06     0.3228E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3282E+00     0.0000E+00     0.0000E+00     0.7614E+02     0.4515E+02     0.7614E+02     0.4510E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4586E-01     0.0000E+00     0.0000E+00     0.2184E+04     0.7788E+00
   365    12    31  2001       3       3  cha003               0.5845E+05     0.5868E+05     0.0000E+00     0.4885E+02     0.2694E+03     0.2330E+01     0.4106E+06     0.9083E+04     0.4106E+06     0.9079E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3308E+01     0.0000E+00     0.0000E+00     0.1163E+04     0.1274E+04     0.1163E+04     0.1273E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4639E+00     0.0000E+00     0.0000E+00     0.5037E+04     0.1420E+02
   365    12    31  2001       4       4  cha004               0.5190E+05     0.5183E+05     0.0000E+00     0.1095E+03     0.3705E+02     0.0000E+00     0.3399E+06     0.3037E+04     0.3399E+06     0.3034E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2805E+01     0.0000E+00     0.0000E+00     0.4970E+03     0.4290E+03     0.4970E+03     0.4286E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3966E+00     0.0000E+00     0.0000E+00     0.7921E+04     0.1141E+02
   365    12    31  2001       5       5  cha005               0.4954E+05     0.4982E+05     0.0000E+00     0.6427E+02     0.3367E+03     0.0000E+00     0.2860E+06     0.2726E+04     0.2860E+06     0.2725E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1604E+01     0.0000E+00     0.0000E+00     0.4338E+03     0.3838E+03     0.4338E+03     0.3836E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2259E+00     0.0000E+00     0.0000E+00     0.3850E+04     0.5765E+01
   365    12    31  2001       6       6  cha006               0.4972E+05     0.4954E+05     0.1078E+03     0.7262E+02     0.1524E-01     0.0000E+00     0.2868E+06     0.2813E+04     0.2849E+06     0.2726E+04     0.1836E+04     0.0000E+00     0.0000E+00     0.8576E+02     0.1261E+01     0.0000E+00     0.0000E+00     0.4094E+03     0.3960E+03     0.4024E+03     0.3838E+03     0.6978E+01     0.0000E+00     0.0000E+00     0.1202E+02     0.1779E+00     0.0000E+00     0.0000E+00     0.4111E+04     0.5460E+01
   365    12    31  2001       7       7  cha007               0.4919E+05     0.4924E+05     0.0000E+00     0.4469E+02     0.9823E+02     0.0000E+00     0.2386E+06     0.1307E+04     0.2386E+06     0.1306E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5555E+00     0.0000E+00     0.0000E+00     0.2267E+03     0.1813E+03     0.2267E+03     0.1812E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7709E-01     0.0000E+00     0.0000E+00     0.1954E+04     0.1839E+01
   365    12    31  2001       8       8  cha008               0.4821E+05     0.4851E+05     0.0000E+00     0.8361E+02     0.3882E+03     0.0000E+00     0.2318E+06     0.1294E+04     0.2318E+06     0.1293E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1058E+01     0.0000E+00     0.0000E+00     0.2218E+03     0.1794E+03     0.2218E+03     0.1793E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1467E+00     0.0000E+00     0.0000E+00     0.3539E+04     0.3358E+01
   365    12    31  2001       9       9  cha009               0.4813E+05     0.4819E+05     0.0000E+00     0.1315E+01     0.5496E+02     0.0000E+00     0.2301E+06     0.8575E+03     0.2301E+06     0.8575E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1137E-01     0.0000E+00     0.0000E+00     0.2130E+03     0.1194E+03     0.2130E+03     0.1194E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1584E-02     0.0000E+00     0.0000E+00     0.5563E+02     0.5131E-01
   365    12    31  2001      10      10  cha010               0.5047E+05     0.5225E+05     0.0000E+00     0.1671E+03     0.1940E+04     0.0000E+00     0.1887E+06     0.1009E+03     0.1887E+06     0.1008E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1559E+00     0.0000E+00     0.0000E+00     0.1794E+03     0.1388E+02     0.1794E+03     0.1386E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2145E-01     0.0000E+00     0.0000E+00     0.4836E+04     0.4575E+01
   365    12    31  2001      11      11  cha011               0.6483E+04     0.6627E+04     0.3725E+01     0.1396E+02     0.1608E+03     0.1206E+01     0.6854E+05     0.6103E+04     0.6851E+05     0.6047E+04     0.3085E+02     0.0000E+00     0.0000E+00     0.5079E+02     0.4646E+01     0.0000E+00     0.0000E+00     0.5868E+03     0.8528E+03     0.5851E+03     0.8450E+03     0.1649E+01     0.0000E+00     0.0000E+00     0.7161E+01     0.6489E+00     0.0000E+00     0.0000E+00     0.1637E+04     0.1368E+02
   365    12    31  2001      12      12  cha012               0.8305E+04     0.8205E+04     0.9016E+02     0.9391E+01     0.1752E-06     0.0000E+00     0.5851E+05     0.7793E+04     0.5811E+05     0.7605E+04     0.4016E+03     0.0000E+00     0.0000E+00     0.1839E+03     0.4147E+01     0.0000E+00     0.0000E+00     0.3240E+03     0.1099E+04     0.3209E+03     0.1072E+04     0.3054E+01     0.0000E+00     0.0000E+00     0.2591E+02     0.5856E+00     0.0000E+00     0.0000E+00     0.6737E+03     0.3847E+01
   365    12    31  2001      13      13  cha013               0.8261E+04     0.8249E+04     0.1060E+02     0.4708E+01     0.2564E+01     0.0000E+00     0.5290E+05     0.7824E+04     0.5286E+05     0.7760E+04     0.3993E+02     0.0000E+00     0.0000E+00     0.6269E+02     0.1468E+01     0.0000E+00     0.0000E+00     0.3046E+03     0.1102E+04     0.3029E+03     0.1093E+04     0.1751E+01     0.0000E+00     0.0000E+00     0.8844E+01     0.2066E+00     0.0000E+00     0.0000E+00     0.2832E+03     0.1469E+01
   365    12    31  2001      14      14  cha014               0.1442E+06     0.1585E+06     0.0000E+00     0.2118E+03     0.1457E+05     0.8030E+00     0.3958E+06     0.2394E+04     0.3958E+06     0.2393E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1658E+01     0.0000E+00     0.0000E+00     0.3747E+03     0.3646E+03     0.3747E+03     0.3643E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2523E+00     0.0000E+00     0.0000E+00     0.4907E+04     0.4509E+01
   365    12    31  2001      15      15  cha015               0.5742E+03     0.1431E+03     0.4233E+03     0.7865E+01     0.2531E-05     0.0000E+00     0.3694E+05     0.9394E+04     0.3118E+05     0.5996E+04     0.5768E+04     0.0000E+00     0.0000E+00     0.3261E+04     0.1377E+03     0.0000E+00     0.0000E+00     0.3466E+03     0.1307E+04     0.2169E+03     0.8345E+03     0.1297E+03     0.0000E+00     0.0000E+00     0.4534E+03     0.1917E+02     0.0000E+00     0.0000E+00     0.6871E+04     0.4820E+02
   365    12    31  2001      16      16  cha016               0.4065E+06     0.4165E+06     0.0000E+00     0.8498E+03     0.1078E+05     0.0000E+00     0.2015E+06     0.2259E+00     0.2015E+06     0.2257E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2100E-03     0.0000E+00     0.0000E+00     0.1601E+02     0.3394E-01     0.1601E+02     0.3391E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3185E-04     0.0000E+00     0.0000E+00     0.2154E+04     0.1537E+00
   365    12    31  2001      17      17  cha017               0.3709E+02     0.5604E+02     0.8686E+00     0.3003E+00     0.2012E+02     0.0000E+00     0.5629E+04     0.3865E+02     0.5548E+04     0.3299E+02     0.8069E+02     0.0000E+00     0.0000E+00     0.5582E+01     0.7228E-01     0.0000E+00     0.0000E+00     0.2423E+02     0.6920E+01     0.2065E+02     0.6053E+01     0.3573E+01     0.0000E+00     0.0000E+00     0.8526E+00     0.1413E-01     0.0000E+00     0.0000E+00     0.2583E+03     0.7295E+00
   365    12    31  2001      18      18  cha018               0.4466E+03     0.4145E+03     0.3141E+02     0.1743E+01     0.1011E+01     0.0000E+00     0.7687E+04     0.6316E+04     0.7655E+04     0.6059E+04     0.3196E+02     0.0000E+00     0.0000E+00     0.2456E+03     0.1150E+02     0.0000E+00     0.0000E+00     0.2748E+02     0.8719E+03     0.2441E+02     0.8364E+03     0.3070E+01     0.0000E+00     0.0000E+00     0.3394E+02     0.1589E+01     0.0000E+00     0.0000E+00     0.2329E+03     0.5562E+00
   365    12    31  2001      19      19  cha019               0.3998E+02     0.2082E+04     0.0000E+00     0.4896E+00     0.2043E+04     0.0000E+00     0.5251E+05     0.3143E+03     0.5251E+05     0.3124E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1927E+01     0.0000E+00     0.0000E+00     0.2661E+02     0.4572E+02     0.2661E+02     0.4544E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2805E+00     0.0000E+00     0.0000E+00     0.3447E+04     0.1744E+01
   365    12    31  2001      20      20  cha020               0.4318E+03     0.4111E+03     0.1898E+02     0.2515E+01     0.7541E+00     0.0000E+00     0.1865E+05     0.1576E+04     0.1854E+05     0.1457E+04     0.1064E+03     0.0000E+00     0.0000E+00     0.1162E+03     0.2880E+01     0.0000E+00     0.0000E+00     0.1539E+03     0.2243E+03     0.1466E+03     0.2074E+03     0.7244E+01     0.0000E+00     0.0000E+00     0.1652E+02     0.4101E+00     0.0000E+00     0.0000E+00     0.6344E+03     0.4270E+01
