 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
   366    12    31  2000       1       1  cha001               0.1034E+03     0.5720E+04     0.0000E+00     0.9785E+00     0.5618E+04     0.0000E+00     0.4431E+05     0.1348E+04     0.4431E+05     0.1342E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6451E+01     0.0000E+00     0.0000E+00     0.8051E+02     0.1979E+03     0.8051E+02     0.1969E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9468E+00     0.0000E+00     0.0000E+00     0.3095E+04     0.5720E+01
   366    12    31  2000       2       2  cha002               0.8648E+01     0.2403E+05     0.0000E+00     0.1756E-01     0.2403E+05     0.0000E+00     0.8438E+05     0.2689E+03     0.8438E+05     0.2686E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2665E+00     0.0000E+00     0.0000E+00     0.5609E+02     0.3758E+02     0.5609E+02     0.3754E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3725E-01     0.0000E+00     0.0000E+00     0.9711E+03     0.5645E+00
   366    12    31  2000       3       3  cha003               0.3768E+05     0.3783E+05     0.0000E+00     0.3146E+02     0.1807E+03     0.1696E+01     0.1708E+06     0.6690E+04     0.1708E+06     0.6688E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2444E+01     0.0000E+00     0.0000E+00     0.1027E+04     0.9354E+03     0.1027E+04     0.9350E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3416E+00     0.0000E+00     0.0000E+00     0.2074E+04     0.1258E+02
   366    12    31  2000       4       4  cha004               0.3331E+05     0.3326E+05     0.0000E+00     0.7015E+02     0.2519E+02     0.0000E+00     0.1543E+06     0.2220E+04     0.1543E+06     0.2218E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2001E+01     0.0000E+00     0.0000E+00     0.4552E+03     0.3127E+03     0.4552E+03     0.3124E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2820E+00     0.0000E+00     0.0000E+00     0.3537E+04     0.1047E+02
   366    12    31  2000       5       5  cha005               0.3173E+05     0.3191E+05     0.0000E+00     0.4111E+02     0.2271E+03     0.0000E+00     0.1286E+06     0.1971E+04     0.1286E+06     0.1970E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1138E+01     0.0000E+00     0.0000E+00     0.3942E+03     0.2767E+03     0.3942E+03     0.2765E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1598E+00     0.0000E+00     0.0000E+00     0.1711E+04     0.5244E+01
   366    12    31  2000       6       6  cha006               0.3187E+05     0.3173E+05     0.9660E+02     0.4618E+02     0.1057E-01     0.0000E+00     0.1293E+06     0.2050E+04     0.1278E+06     0.1971E+04     0.1483E+04     0.0000E+00     0.0000E+00     0.7826E+02     0.8535E+00     0.0000E+00     0.0000E+00     0.3722E+03     0.2878E+03     0.3659E+03     0.2767E+03     0.6305E+01     0.0000E+00     0.0000E+00     0.1096E+02     0.1199E+00     0.0000E+00     0.0000E+00     0.1764E+04     0.5002E+01
   366    12    31  2000       7       7  cha007               0.3150E+05     0.3154E+05     0.0000E+00     0.2859E+02     0.6623E+02     0.0000E+00     0.1110E+06     0.9754E+03     0.1110E+06     0.9750E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4089E+00     0.0000E+00     0.0000E+00     0.2091E+03     0.1350E+03     0.2091E+03     0.1349E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5659E-01     0.0000E+00     0.0000E+00     0.9007E+03     0.1697E+01
   366    12    31  2000       8       8  cha008               0.3083E+05     0.3104E+05     0.0000E+00     0.5342E+02     0.2616E+03     0.0000E+00     0.1085E+06     0.9658E+03     0.1085E+06     0.9650E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7797E+00     0.0000E+00     0.0000E+00     0.2064E+03     0.1336E+03     0.2064E+03     0.1335E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1079E+00     0.0000E+00     0.0000E+00     0.1643E+04     0.3126E+01
   366    12    31  2000       9       9  cha009               0.3078E+05     0.3082E+05     0.0000E+00     0.8407E+00     0.3686E+02     0.0000E+00     0.1080E+06     0.6523E+03     0.1080E+06     0.6523E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8590E-02     0.0000E+00     0.0000E+00     0.1998E+03     0.9059E+02     0.1998E+03     0.9059E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1193E-02     0.0000E+00     0.0000E+00     0.2601E+02     0.4814E-01
