name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
awc,2,0.574713,0.850573,3.14943,2.00272,0.574676,0.853367,3.15207
canmx,2,0.574713,0.850573,3.14943,1.93888,0.574157,0.790565,3.08719
cn2,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
cn3_swf,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
epco,2,0.574713,0.850573,3.14943,2.00824,0.573875,0.860492,3.15599
esco,2,0.574713,0.850573,3.14943,1.97071,0.574713,0.821289,3.12014
lat_len,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
latq_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
perco,2,0.574713,0.850573,3.14943,2,0.574713,0.850574,3.14943
petco,2,0.574713,0.850573,3.14943,2.04169,0.014971,2.01175,2.07164
revap_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
surlag,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
