 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2022       1       1  hru01                  0.000       0.000       0.000       0.311       0.001       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022       2       2  hru02                  0.005       0.000       0.000      18.051       0.000       1.603       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022       3       3  hru03                  0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022       4       4  hru04                  0.003       0.000       0.000      19.661       0.000       1.538       0.000       0.034       0.000       0.000       0.000       0.000
   365    12    31  2022       5       5  hru05                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022       6       6  hru06                  0.002       0.000       0.000      17.415       0.000       1.455       0.000       0.025       0.000       0.000       0.000       0.000
   365    12    31  2022       7       7  hru07                  0.007       0.000       0.000      18.095       0.000       1.607       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022       8       8  hru08                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022       9       9  hru09                  0.000       0.000       0.000       0.311       0.001       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      10      10  hru10                  0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      11      11  hru11                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      12      12  hru12                  0.006       0.000       0.000      18.780       0.000       1.615       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022      13      13  hru13                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      14      14  hru14                  0.005       0.000       0.000      19.973       0.000       1.580       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022      15      15  hru15                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      16      16  hru16                  0.003       0.000       0.000      19.229       0.000       1.549       0.000       0.035       0.000       0.000       0.000       0.000
   365    12    31  2022      17      17  hru17                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      18      18  hru18                  0.002       0.000       0.000      19.107       0.000       1.438       0.000       0.031       0.000       0.000       0.000       0.000
   365    12    31  2022      19      19  hru19                  0.000       0.000       0.000       0.311       0.001       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      20      20  hru20                  0.000       0.000       0.000       0.311       0.004       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      21      21  hru21                  0.014       0.000       0.000      22.005       0.000       1.880       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022      22      22  hru22                  0.000       0.000       0.000       0.311       0.004       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      23      23  hru23                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      24      24  hru24                  0.001       0.000       0.000      14.469       0.000       1.293       0.000       0.033       0.000       0.002       0.000       0.000
   365    12    31  2022      25      25  hru25                  0.001       0.000       0.000      14.261       0.000       1.361       0.000       0.035       0.000       0.001       0.000       0.000
   365    12    31  2022      26      26  hru26                  0.000       0.000       0.000       0.311       0.001       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      27      27  hru27                  0.000       0.000       0.000       0.311       0.003       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      28      28  hru28                  0.004       0.000       0.000      18.314       0.000       1.548       0.000       0.035       0.000       0.000       0.000       0.000
   365    12    31  2022      29      29  hru29                  0.001       0.000       0.000      14.963       0.000       1.257       0.000       0.022       0.000       0.012       0.000       0.000
   365    12    31  2022      30      30  hru30                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      31      31  hru31                  0.001       0.000       0.000      18.076       0.000       1.362       0.000       0.039       0.000       0.001       0.000       0.000
   365    12    31  2022      32      32  hru32                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      33      33  hru33                  0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      34      34  hru34                  0.000       0.000       0.000       0.311       0.004       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      35      35  hru35                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      36      36  hru36                  0.011       0.000       0.000       4.301       0.000       0.123       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022      37      37  hru37                  0.000       0.000       0.000       0.311       0.004       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      38      38  hru38                  0.000       0.000       0.000      15.137       0.000       1.224       0.000       0.015       0.000       0.024       0.000       0.000
   365    12    31  2022      39      39  hru39                  0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      40      40  hru40                  0.000       0.000       0.000      15.748       0.000       1.229       0.000       0.012       0.000       0.034       0.000       0.000
   365    12    31  2022      41      41  hru41                  0.001       0.000       0.000      18.892       0.000       1.434       0.000       0.023       0.000       0.000       0.000       0.000
   365    12    31  2022      42      42  hru42                  0.000       0.000       0.000       0.311       0.009       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      43      43  hru43                  0.000       0.000       0.000       0.311       0.011       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      44      44  hru44                  0.002       0.000       0.000      17.421       0.000       1.522       0.000       0.028       0.000       0.000       0.000       0.000
   365    12    31  2022      45      45  hru45                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      46      46  hru46                  0.001       0.000       0.000       3.173       0.000       0.093       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022      47      47  hru47                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      48      48  hru48                  0.008       0.000       0.000       4.199       0.000       0.121       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022      49      49  hru49                  0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2022      50      50  hru50                  0.004       0.000       0.000       3.878       0.000       0.113       0.000       0.000       0.000       0.000       0.000       0.000
