real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930,ns,pbias,rsq,rmse,mse,pcc
0,438.782,478.094,639.788,540.256,180.78,456.616,472.335,626.201,543.112,161.364,438.722,439.612,652.758,572.903,170.213,439.0,468.959,647.489,572.383,172.667,408.901,451.297,607.575,573.377,177.119,428.151,428.296,595.054,530.492,148.029,446.116,475.866,629.031,606.949,185.046,0.6975092241383019,1.1491048802266628,0.7038207504085684,113.61419236246317,12908.184706174785,0.8389402543736761
1,438.782,478.094,639.775,540.188,180.737,456.616,472.335,626.183,542.849,161.298,438.722,439.612,652.747,572.775,170.197,439.0,468.959,647.479,572.206,172.576,408.901,451.297,607.51,573.249,177.088,428.151,428.294,595.053,530.413,147.989,446.116,475.86,629.013,606.657,184.957,0.6974589739839627,1.138512066129994,0.7037607342410925,113.62362883800982,12910.329030317816,0.8389044845756235
2,438.782,478.094,639.781,540.088,180.688,456.616,472.335,626.188,542.649,161.271,438.722,439.612,652.752,572.666,170.195,439.0,468.959,647.484,572.1,172.569,408.901,451.297,607.537,572.974,177.044,428.151,428.295,595.053,530.363,147.993,446.116,475.863,629.018,606.388,184.92,0.6974023038056625,1.1307418689618023,0.7037008745131527,113.63426998953611,12912.747316054785,0.8388688064966731
3,438.782,478.094,639.75,540.234,180.755,456.616,472.335,626.155,542.87,161.235,438.722,439.612,652.706,572.82,170.163,439.0,468.959,647.44,572.139,172.414,408.901,451.294,607.358,573.276,177.058,428.151,428.287,595.05,530.316,147.899,446.116,475.835,628.999,606.348,184.797,0.6974814610035451,1.130882679783629,0.7037700295894164,113.619406097908,12909.369442041332,0.8389100247281686
4,438.782,478.094,640.659,541.911,181.516,456.616,472.335,627.974,545.529,161.663,438.722,439.612,654.934,576.157,170.347,439.0,468.959,647.51,573.893,172.861,408.901,451.295,608.3,575.072,177.352,428.151,428.289,594.716,531.561,148.103,446.116,470.62,629.373,608.542,185.191,0.6974513308167762,1.2471796176304581,0.7036017740633741,113.62506407956715,12910.65518708574,0.8388097365096414
5,438.782,478.094,640.152,541.492,181.346,456.616,472.335,627.199,544.665,161.477,438.722,439.611,653.682,575.13,170.189,439.0,467.694,644.949,572.751,172.366,408.901,451.286,606.357,574.357,177.14,428.151,427.844,592.588,530.7,147.886,445.134,468.411,628.505,607.282,184.799,0.6966236502153246,1.0995650729105122,0.7028038201463159,113.780379635399,12945.974789975518,0.8383339550240798
6,438.782,478.094,640.025,540.535,180.908,456.616,472.335,626.488,543.087,161.282,438.722,439.612,653.245,573.433,170.209,439.0,468.959,647.85,572.611,172.567,408.901,451.295,607.675,573.605,177.127,428.151,428.289,595.288,530.734,147.989,446.116,475.842,629.643,607.519,185.032,0.6975255435693561,1.1761981624449147,0.7037692322744176,113.61112756820299,12907.488307318494,0.8389095495191466
7,363.006,394.411,572.136,489.471,159.071,372.948,383.905,553.125,478.119,140.835,364.801,343.798,566.49,502.089,150.04,360.05,375.555,561.649,501.512,152.031,334.065,359.647,534.29,502.394,155.197,357.625,347.681,519.403,453.85,132.063,344.223,358.076,552.923,530.16,160.845,0.5755539227113443,-14.057497403012048,0.6924733729547892,134.58224846491333,18112.381601871664,0.8321498500599451
8,438.782,478.094,639.805,540.413,180.852,456.616,472.335,626.27,543.288,161.373,438.722,439.612,652.835,573.373,170.23,439.0,468.959,647.522,572.59,172.672,408.901,451.297,607.545,573.6,177.146,428.151,428.294,595.068,530.622,148.022,446.116,475.859,629.134,607.35,185.087,0.6975729639921018,1.1631987633933507,0.7038755022037136,113.60222152877438,12905.46473627273,0.8389728852613257
9,363.006,394.411,578.114,490.022,159.07,375.013,385.531,551.126,479.12,140.807,369.761,345.626,571.096,500.631,145.487,362.951,375.864,556.601,500.787,150.978,337.322,359.748,531.423,500.749,153.945,359.083,347.724,514.314,453.486,131.708,341.815,354.662,549.19,528.397,160.836,0.5735596848200217,-14.102812885673332,0.6907798475881675,134.89804182382375,18197.481687902102,0.8311316668183011
