real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930
0,432.847,472.096,634.977,536.351,179.09,450.683,466.214,621.881,539.203,159.891,433.557,433.201,647.424,568.651,168.6,433.474,463.321,642.278,568.228,171.166,403.654,444.419,603.425,568.802,175.469,423.08,423.779,590.701,526.939,146.718,439.495,469.825,624.642,601.139,183.053
1,432.094,471.335,634.344,535.855,178.853,449.931,465.437,621.311,538.604,159.651,432.902,432.387,646.725,568.04,168.376,432.801,462.606,641.598,567.604,170.871,402.989,443.676,602.809,568.196,175.24,422.437,423.202,590.147,526.437,146.505,438.646,469.047,624.061,600.291,182.721
2,432.146,471.387,634.396,535.886,178.867,449.983,465.49,621.357,538.668,159.686,432.947,432.444,646.78,568.088,168.398,432.848,462.655,641.652,567.669,170.928,403.035,443.728,602.879,568.234,175.261,422.481,423.243,590.186,526.486,146.534,438.705,469.105,624.109,600.391,182.774
3,433.042,472.293,635.104,536.474,179.134,450.878,466.415,621.987,539.045,159.794,433.727,433.411,647.508,568.655,168.564,433.648,463.506,642.363,568.075,170.854,403.827,444.606,603.23,568.937,175.443,423.247,423.911,590.838,526.817,146.604,439.715,469.968,624.765,600.853,182.852
4,432.279,471.522,634.486,536.149,178.995,450.116,465.628,621.497,538.912,159.677,433.063,432.587,646.859,568.841,168.417,432.967,462.781,641.728,567.941,170.814,403.153,443.855,602.808,568.698,175.308,422.595,423.333,590.291,526.684,146.501,438.855,469.204,624.22,601.361,182.862
5,432.854,472.103,634.956,536.527,179.167,450.69,466.22,621.93,539.082,159.749,433.563,433.207,647.292,569.22,168.491,433.48,463.327,642.154,568.27,170.813,403.66,444.416,602.921,569.144,175.393,423.086,423.754,590.713,526.796,146.541,439.503,469.733,624.653,601.783,182.897
6,432.024,471.264,634.279,535.924,178.89,449.86,465.364,621.246,538.553,159.58,432.841,432.311,646.608,568.276,168.323,432.739,462.539,641.484,567.582,170.696,402.927,443.603,602.577,568.309,175.202,422.377,423.138,590.091,526.386,146.42,438.567,468.942,624.013,600.522,182.664
7,432.699,471.946,634.842,536.28,179.048,450.535,466.061,621.757,539.084,159.827,433.428,433.041,647.278,568.59,168.552,433.341,463.18,642.135,568.113,171.072,403.523,444.272,603.253,568.724,175.423,422.953,423.664,590.591,526.851,146.657,439.328,469.666,624.518,601.031,182.971
8,430.976,470.203,633.453,535.295,178.607,448.812,464.282,620.609,538.189,159.427,431.928,431.178,645.748,567.989,168.113,431.802,461.542,640.643,567.221,170.687,402.001,442.573,602.094,567.682,174.987,421.48,422.191,589.356,526.057,146.305,437.384,467.908,623.27,600.459,182.581
9,425.407,464.565,628.913,531.47,176.856,443.243,458.527,616.436,534.016,157.97,427.076,425.05,640.684,563.064,166.549,426.822,456.243,635.712,562.823,169.189,397.081,436.642,598.161,562.889,173.357,416.718,417.942,584.679,522.409,145.041,431.101,461.24,619.094,594.121,180.572
