parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
alpha,log,factor,100.0000001,1.00,199,pargp,1,-100,1
awc,log,factor,100.0000001,1.00,199,pargp,1,-100,1
canmx,log,factor,100.0000001,1.00,199,pargp,1,-100,1
cn2,log,factor,100.0000001,1.00,199,pargp,1,-100,1
cn3_swf,log,factor,100.0000001,1.00,199,pargp,1,-100,1
epco,log,factor,100.0000001,1.00,199,pargp,1,-100,1
esco,log,factor,100.0000001,1.00,199,pargp,1,-100,1
lat_len,log,factor,100.0000001,1.00,199,pargp,1,-100,1
latq_co,log,factor,100.0000001,1.00,199,pargp,1,-100,1
perco,log,factor,100.0000001,1.00,199,pargp,1,-100,1
petco,log,factor,100.0000001,1.00,199,pargp,1,-100,1
revap_co,log,factor,100.0000001,1.00,199,pargp,1,-100,1
surlag,log,factor,100.0000001,1.00,199,pargp,1,-100,1
