 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    31     1    31  2016       1       1  prueba                 0.890       0.000       0.000       0.000       0.000       0.000       0.000      12.243       0.046       2.066      10.131       0.000       4.086      24.274      12.922      20.510       3.892       0.000       0.000       0.000      65.629       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -11.353       0.000       0.000       0.000       0.000
    60     2    29  2016       1       1  prueba                 3.040       0.000       0.000       0.000       0.000       0.000       0.000       5.262       0.082       1.136       4.044       0.000       4.086      12.922      10.699      17.725       0.190       0.000       0.000       0.000      89.570       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -2.222       0.000       0.000       0.000       0.000
    91     3    31  2016       1       1  prueba                18.610       0.000       0.000       0.000       0.000       0.000       0.000      18.621       0.128       0.993      17.501       0.000       4.086      10.699      10.688      18.015       1.068       0.000       0.000       0.000      97.769       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.011       0.000       0.000       0.000       0.000
   121     4    30  2016       1       1  prueba                25.970       0.000       0.000       1.879       0.000       1.879       0.000      23.845       0.134       1.370      22.342       3.759       4.086      10.688      10.933      18.479       1.995       0.000       0.000       0.000     105.977       0.000       0.000       0.000       0.000       0.000       3.759       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.246       0.000       0.000       0.000       0.000
   152     5    31  2016       1       1  prueba                21.660       0.000       0.000      85.831       0.000      85.831       0.000     132.050       0.157       1.194     130.700     171.662       4.086      10.933      50.185      25.526      14.069       0.000       0.000       0.000     139.298       0.000     280.742       0.000       0.000       0.000     171.662       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      39.252       0.000       0.000       0.000       0.000
   182     6    30  2016       1       1  prueba                 1.470       0.000       0.000     122.712       0.000     122.712       0.008     176.618       0.044       1.002     175.571     245.425       4.086      50.185      87.353      46.055      25.783       0.000       0.000       0.000     160.970       0.000     307.816       0.000       0.000       0.000     245.425       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      37.167       0.000       0.000       0.000       0.000
   213     7    31  2016       1       1  prueba                 0.300       0.000       0.000     186.006       0.000     186.006       0.072     197.206       0.178      63.669     133.359     372.012       4.086      87.353      54.211      49.597      13.452       0.000       0.000       0.000     166.675       0.000     425.785       0.000       0.000       0.000     372.012       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -33.142       0.000       0.000       0.000       0.000
   244     8    31  2016       1       1  prueba                25.590       0.000       0.000     244.064       0.000     244.064       0.046     181.570       2.229      91.368      87.973     488.129       4.086      54.211      16.187      27.848       0.712       0.000       0.000       0.000     142.247       0.000     360.136       0.000       0.000       0.000     488.129       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -38.024       0.000       0.000       0.000       0.000
   274     9    30  2016       1       1  prueba                47.460       0.000       0.000     122.314       0.000     122.314       0.002     123.973       0.710      25.668      97.595     244.627       4.086      16.187      30.802      23.084       7.117       0.000       0.000       0.000     108.310       0.000     118.579       0.000       0.000       0.000     244.627       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      14.615       0.000       0.000       0.000       0.000
