 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    31     1    31  2016       1       1  hru01                  0.890       0.000       0.000       0.000       0.000       0.000       0.000      35.079       0.761      33.878       0.440       0.000      67.016      51.398      17.210      30.857       0.852       0.000       0.000       0.000      65.628       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -34.189       0.000       0.001       0.000       0.000
    31     1    31  2016       2       2  hru02                  0.890       0.000       0.000       0.000       0.000       0.000       0.000       7.384       0.000       0.000       7.384       0.000       0.000       6.501       0.007       2.162       2.162       0.000       0.000       0.000      65.628       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -6.494       0.000       0.000       0.000       0.000
    31     1    31  2016       3       3  hru03                  0.890       0.000       0.000       0.000       0.000       0.000       0.000      35.078       0.761      33.877       0.440       0.000      67.016      51.398      17.210      30.857       0.852       0.000       0.000       0.000      65.627       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -34.188       0.000       0.002       0.000       0.000
    31     1    31  2016       4       4  hru04                  0.890       0.000       0.000       0.000       0.000       0.000       0.000       8.029       0.000       0.000       8.029       0.000       0.000       7.300       0.161       2.701       2.701       0.000       0.000       0.000      65.627       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -7.139       0.000       0.000       0.000       0.000
    31     1    31  2016       5       5  hru05                  0.890       0.000       0.000       0.000       0.000       0.000       0.000      35.079       0.761      33.878       0.440       0.000      67.016      51.398      17.209      30.856       0.852       0.000       0.000       0.000      65.629       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -34.189       0.000       0.000       0.000       0.000
    31     1    31  2016       6       6  hru06                  0.890       0.000       0.000       0.000       0.000       0.000       0.000       8.649       0.000       0.000       8.649       0.000       0.000       8.596       0.837       3.568       3.568       0.000       0.000       0.000      65.628       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -7.759       0.000       0.000       0.000       0.000
    31     1    31  2016       7       7  hru07                  0.890       0.000       0.000       0.000       0.000       0.000       0.000       7.537       0.000       0.000       7.537       0.000       0.000       6.669       0.022       2.275       2.275       0.000       0.000       0.000      65.627       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -6.647       0.000       0.000       0.000       0.000
    31     1    31  2016       8       8  hru08                  0.890       0.000       0.000       0.000       0.000       0.000       0.000      35.080       0.761      33.879       0.440       0.000      67.016      51.398      17.209      30.856       0.852       0.000       0.000       0.000      65.630       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -34.190       0.000       0.000       0.000       0.000
    31     1    31  2016       9       9  hru09                  0.890       0.000       0.000       0.000       0.000       0.000       0.000      35.079       0.761      33.878       0.440       0.000      67.016      51.398      17.209      30.856       0.852       0.000       0.000       0.000      65.629       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -34.189       0.000       0.001       0.000       0.000
