 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2016       1       1  hru01                259.710       0.000       0.000       0.000       0.000       0.000       0.000     230.707      27.581     200.572       2.554       0.000      67.016      51.398      80.403      11.987       5.113       0.000       0.000       0.000    1199.724       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      29.005       0.000       0.008       0.000       0.000
   366    12    31  2016       2       2  hru02                259.710       0.000       0.000    1232.141       0.000    1232.141       0.000    1144.742       4.007     218.175     922.561    2464.282       0.000       6.501      23.093      15.462       9.063       0.000       0.000       0.000    1199.726       0.000    2129.757       0.000       0.000       0.000    2464.282       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.591       0.000       0.000       0.000       0.000
   366    12    31  2016       3       3  hru03                259.710       0.000       0.000       0.000       0.000       0.000       0.000     230.707      27.581     200.572       2.554       0.000      67.016      51.398      80.403      11.987       5.113       0.000       0.000       0.000    1199.727       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      29.005       0.000       0.031       0.000       0.000
   366    12    31  2016       4       4  hru04                259.710       0.000       0.000    1190.862       0.000    1190.862       0.000    1169.458       4.010     226.342     939.106    2381.723       0.000       7.300      29.227      17.571       9.702       0.000       0.000       0.000    1199.727       0.000    2118.527       0.000       0.000       0.000    2381.723       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      21.927       0.000       0.000       0.000       0.000
   366    12    31  2016       5       5  hru05                259.710       0.000       0.000       0.000       0.000       0.000       0.000     230.707      27.581     200.572       2.554       0.000      67.016      51.398      80.403      11.986       5.113       0.000       0.000       0.000    1199.721       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      29.004       0.000       0.003       0.000       0.000
   366    12    31  2016       6       6  hru06                259.710       0.000       0.000    1160.705       0.000    1160.705       0.000    1194.278       4.011     235.971     954.296    2321.410       0.000       8.596      31.692      19.531      10.250       0.000       0.000       0.000    1199.726       0.000    2114.357       0.000       0.000       0.000    2321.410       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.096       0.000       0.000       0.000       0.000
   366    12    31  2016       7       7  hru07                259.710       0.000       0.000    1235.353       0.000    1235.353       0.000    1144.517       4.007     218.014     922.496    2470.705       0.000       6.669      23.021      15.442       9.067       0.000       0.000       0.000    1199.726       0.000    2132.504       0.000       0.000       0.000    2470.705       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.351       0.000       0.000       0.000       0.000
   366    12    31  2016       8       8  hru08                259.710       0.000       0.000       0.000       0.000       0.000       0.000     230.707      27.581     200.572       2.554       0.000      67.016      51.398      80.403      11.986       5.113       0.000       0.000       0.000    1199.720       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      29.004       0.000       0.005       0.000       0.000
   366    12    31  2016       9       9  hru09                259.710       0.000       0.000       0.000       0.000       0.000       0.000     230.707      27.581     200.572       2.554       0.000      67.016      51.398      80.403      11.986       5.113       0.000       0.000       0.000    1199.722       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      29.004       0.000       0.010       0.000       0.000
