 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    366    12    31  2016      1       0  rtu010                 0.002       0.000       0.000      16.459       0.000       1.630       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      2       0  rtu020                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      3       0  rtu030                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      4       0  rtu040                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      5       0  rtu050                 0.002       0.000       0.000      16.496       0.000       1.635       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      6       0  rtu060                 0.002       0.000       0.000      17.054       0.000       1.656       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      7       0  rtu070                 0.002       0.000       0.000      18.014       0.000       1.630       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      8       0  rtu080                 0.001       0.000       0.000      17.242       0.000       1.601       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      9       0  rtu090                 0.001       0.000       0.000      15.233       0.000       1.490       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     10       0  rtu100                 0.007       0.000       0.000      17.316       0.000       1.695       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     11       0  rtu110                 0.000       0.000       0.000      13.004       0.000       1.383       0.000       0.000       0.000       0.001       0.000       0.000
    366    12    31  2016     12       0  rtu120                 0.001       0.000       0.000      17.659       0.000       1.582       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     13       0  rtu130                 0.001       0.000       0.000      15.552       0.000       1.497       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     14       0  rtu140                 0.000       0.000       0.000       1.927       0.000       0.019       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     15       0  rtu150                 0.001       0.000       0.000       2.560       0.000       0.028       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     16       0  rtu160                 0.000       0.000       0.000       2.028       0.000       0.021       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     17       0  rtu170                 0.001       0.000       0.000      15.229       0.000       1.447       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     18       0  rtu180                 0.000       0.000       0.000      13.307       0.000       1.360       0.000       0.000       0.000       0.002       0.000       0.000
    366    12    31  2016     19       0  rtu190                 0.003       0.000       0.000       2.951       0.000       0.042       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     20       0  rtu200                 0.000       0.000       0.000       1.891       0.000       0.019       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     21       0  rtu210                 0.000       0.000       0.000      13.270       0.000       1.329       0.000       0.000       0.000       0.003       0.000       0.000
    366    12    31  2016     22       0  rtu220                 0.002       0.000       0.000       2.943       0.000       0.040       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     23       0  rtu230                 0.001       0.000       0.000      17.908       0.000       1.609       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     24       0  rtu240                 0.001       0.000       0.000       2.871       0.000       0.037       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     25       0  rtu250                 0.001       0.000       0.000      14.396       0.000       1.573       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     26       0  rtu260                 0.001       0.000       0.000       2.663       0.000       0.032       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     27       0  rtu270                 0.001       0.000       0.000       2.632       0.000       0.030       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     28       0  rtu280                 0.001       0.000       0.000      13.471       0.000       1.436       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     29       0  rtu290                 0.001       0.000       0.000      16.544       0.000       1.590       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     30       0  rtu300                 0.000       0.000       0.000       1.899       0.000       0.019       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     31       0  rtu310                 0.000       0.000       0.000       2.025       0.000       0.021       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     32       0  rtu320                 0.000       0.000       0.000       2.511       0.000       0.027       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     33       0  rtu330                 0.000       0.000       0.000       2.268       0.000       0.023       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     34       0  rtu340                 0.001       0.000       0.000      14.369       0.000       1.499       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     35       0  rtu350                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     36       0  rtu360                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     37       0  rtu370                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     38       0  rtu380                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     39       0  rtu390                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     40       0  rtu400                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     41       0  rtu410                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     42       0  rtu420                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     43       0  rtu430                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     44       0  rtu440                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     45       0  rtu450                 0.006       0.000       0.000      17.324       0.000       1.696       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     46       0  rtu460                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     47       0  rtu470                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     48       0  rtu480                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     49       0  rtu490                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     50       0  rtu500                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     51       0  rtu510                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     52       0  rtu520                 0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
