output,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
phi,0,0.00809467,0.000275539,0,0,0.0141146,0.12057,1.79294e-06,1.62595e-06,0.00054217,0.910666,0,0
obd_irr_paddy_20160531,0,4.3641e-05,3.73196e-07,0,0,4.69724e-05,5.75211e-05,3.99134e-11,3.11002e-11,6.46565e-06,1.02586,0,0
obd_irr_paddy_20160731,0,0.0231018,7.38653e-05,0,0,0.00536022,0.00760899,3.01464e-07,4.40717e-10,0.000371014,0.99785,0,0
obd_irr_paddy_20160630,0,0.00630646,0.000231429,0,0,0.00240012,0.00344089,4.35638e-10,3.2752e-10,0.00036243,1.02003,0,0
obd_irr_paddy_20160930,0,0.0123111,0.000257925,0,0,0.0141303,0.00309801,5.82101e-08,2.14353e-09,0.000231349,1.00698,0,0
obd_irr_paddy_20190630,0,0.0114775,5.34892e-05,0,0,0.00975017,0.120277,2.98932e-07,5.31838e-07,0.00021596,0.918308,0,0
obd_irr_paddy_20160831,0,0.025619,0.000337093,0,0,0.0297141,0.00871111,1.25474e-06,5.27228e-07,0.000364356,0.9949,0,0
obd_irr_paddy_20170531,0,0.0329204,0.000137762,0,0,0.00612171,0.0424385,1.20837e-06,7.66849e-07,0.000688033,0.9557,0,0
obd_irr_paddy_20220630,0,0.00332681,5.71024e-05,0,0,0.00687084,0.0194462,2.32723e-06,3.9678e-06,0.000138329,1.01681,0,0
obd_irr_paddy_20170731,0,0.0314139,0.00024669,0,0,0.0151511,0.032216,1.30264e-06,9.74357e-07,0.000558289,0.9765,0,0
obd_irr_paddy_20170630,0,0.0370322,0.000202185,0,0,0.00693051,0.160439,1.33588e-06,2.01391e-06,0.000511066,0.862739,0,0
obd_irr_paddy_20170831,0,0.0204833,0.000664373,0,0,0.0411816,0.0239629,1.23925e-05,4.46272e-06,0.00247927,0.981309,0,0
obd_irr_paddy_20170930,0,0.0773199,0.00173288,0,0,0.101306,0.0546982,1.72751e-06,3.60628e-06,0.00357078,0.918673,0,0
obd_irr_paddy_20180531,0,0.0494405,7.94903e-05,0,0,0.0308694,0.0508711,3.492e-06,4.63685e-06,0.000933074,0.91722,0,0
obd_irr_paddy_20180630,0,0.0472003,0.000346521,0,0,0.0609885,0.121802,6.50066e-06,7.88364e-06,0.00120142,0.861138,0,0
obd_irr_paddy_20180731,0,0.0230355,7.23459e-05,0,0,0.0126163,0.0323548,1.68829e-06,1.71246e-06,0.000617223,0.98747,0,0
obd_irr_paddy_20180831,0,0.0328159,0.000495357,0,0,0.0752599,0.0374403,7.01069e-06,7.21629e-06,0.00232204,0.944591,0,0
obd_irr_paddy_20180930,0,0.0810627,0.00734258,0,0,0.105359,0.0201012,5.29511e-05,2.75564e-05,0.00540573,0.888047,0,0
obd_irr_paddy_20190531,0,0.034856,7.12782e-05,0,0,0.00775533,0.114367,1.70058e-06,9.54637e-07,0.000655163,0.893493,0,0
obd_irr_paddy_20190731,0,0.0380757,0.000114137,0,0,0.0109121,0.0107939,2.16162e-06,1.6997e-06,0.000504241,0.984133,0,0
obd_irr_paddy_20190831,0,0.0246838,0.000656117,0,0,0.0704445,0.0351329,1.5757e-05,4.33328e-05,0.00240202,0.946659,0,0
obd_irr_paddy_20190930,0,0.0414381,0.00424271,0,0,0.0667415,0.0156279,3.49344e-05,3.39504e-05,0.00322585,0.962381,0,0
obd_irr_paddy_20200531,0,0.0508886,0.000162958,0,0,0.0314753,0.0775628,1.67698e-05,1.88578e-05,0.000710274,0.895063,0,0
obd_irr_paddy_20200630,0,0.0301206,8.78937e-05,0,0,0.0345453,0.169781,4.39008e-06,3.67719e-06,0.00038884,0.851626,0,0
obd_irr_paddy_20200731,0,0.077627,0.000405774,0,0,0.0161439,0.0332624,7.25004e-06,6.93413e-06,0.00121258,0.940044,0,0
obd_irr_paddy_20200831,0,0.0212088,0.000320017,0,0,0.0475394,0.039562,3.38227e-05,2.36231e-05,0.00189331,0.961039,0,0
obd_irr_paddy_20200930,0,0.0408578,0.000577755,0,0,0.0605428,0.0327763,4.69696e-05,4.33292e-05,0.00252878,0.968212,0,0
obd_irr_paddy_20210531,0,0.0497913,0.000162138,0,0,0.0286949,0.116312,1.45058e-05,1.56003e-05,0.000881708,0.863781,0,0
obd_irr_paddy_20210630,0,0.0195861,5.76487e-05,0,0,0.0281851,0.20046,3.39774e-06,2.99363e-06,0.000393155,0.833099,0,0
obd_irr_paddy_20210731,0,0.0590189,0.000106204,0,0,0.0116549,0.0165291,8.54348e-06,1.11288e-05,0.000627139,0.967587,0,0
obd_irr_paddy_20210831,0,0.0280327,0.00712969,0,0,0.0974561,0.0333841,0.000104132,6.5211e-05,0.00373104,0.93732,0,0
obd_irr_paddy_20210930,0,0.0368108,0.0276633,0,0,0.126631,0.0199005,0.000324343,0.000134246,0.00606326,0.893809,0,0
obd_irr_paddy_20220531,0,0.00957179,8.05441e-05,0,0,0.012642,0.0774864,1.65642e-06,2.23361e-06,0.000213034,0.955949,0,0
obd_irr_paddy_20220731,0,0.0444168,0.00017763,0,0,0.0234106,0.014614,7.682e-06,1.16267e-05,0.000897921,0.959381,0,0
obd_irr_paddy_20220831,0,0.00837864,0.000412276,0,0,0.0112844,0.00813441,1.38756e-05,1.73307e-05,0.00159572,1.00288,0,0
obd_irr_paddy_20220930,0,0.0269774,0.000854825,0,0,0.0440344,0.00913686,3.45428e-05,3.65473e-05,0.00350274,0.992282,0,0
