 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2022       1      10  aqu010                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       2      20  aqu020                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       3      30  aqu030                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       4      40  aqu040                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       5      50  aqu050                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       6      60  aqu060                    0.000          4.636        266.206          0.002          0.000         10.802          0.001          0.000          0.500          0.000          0.005          0.005          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       7      70  aqu070                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       8      80  aqu080                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022       9      90  aqu090                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      10     100  aqu100                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      11     110  aqu110                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      12     120  aqu120                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      13     130  aqu130                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      14     140  aqu140                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      15     150  aqu150                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      16     160  aqu160                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      17     170  aqu170                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      18     180  aqu180                    0.000          4.637        266.185          0.012          0.001         10.810          0.003          0.000          0.500          0.000          0.030          0.030          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      19     190  aqu190                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      20     200  aqu200                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      21     210  aqu210                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      22     220  aqu220                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
