 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2016       1       1  hru01          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016       2       2  hru02          0.000       0.000      -3.490      -9.470          120.000           13.200            0.000            0.000           17.549           -3.940            3.008            3.304            0.930            0.000            0.000           92.188           16.734            0.000            0.000
   366    12    31  2016       3       3  hru03          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016       4       4  hru04          0.000       0.000      -3.824      -9.527          120.000           13.200            0.000            0.000           18.129           -4.023            3.108            3.411            0.962            0.000            0.000           95.603           17.352            0.000            0.000
   366    12    31  2016       5       5  hru05          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016       6       6  hru06          0.000       0.000      -4.307      -9.571          120.000           13.200            0.000            0.000           18.616           -4.092            3.191            3.557            1.005            0.000            0.000          100.344           18.209            0.000            0.000
   366    12    31  2016       7       7  hru07          0.000       0.000      -3.484      -9.469          120.000           13.200            0.000            0.000           17.544           -3.947            3.007            3.301            0.929            0.000            0.000           92.115           16.721            0.000            0.000
   366    12    31  2016       8       8  hru08          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016       9       9  hru09          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016      10      10  hru10          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016      11      11  hru11          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      12      12  hru12          0.000       0.000      -3.593      -9.497          120.000           13.200            0.000            0.000           17.680           -3.957            3.031            3.328            0.937            0.000            0.000           92.939           16.870            0.000            0.000
   366    12    31  2016      13      13  hru13          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      14      14  hru14          0.000       0.000      -3.859      -9.536          120.000           13.200            0.000            0.000           17.993           -4.005            3.084            3.406            0.960            0.000            0.000           95.452           17.324            0.000            0.000
   366    12    31  2016      15      15  hru15          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      16      16  hru16          0.000       0.000      -4.010      -9.548          120.000           13.200            0.000            0.000           18.155           -4.039            3.112            3.451            0.974            0.000            0.000           96.974           17.600            0.000            0.000
   366    12    31  2016      17      17  hru17          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      18      18  hru18          0.000       0.000      -4.706      -9.621          120.000           13.200            0.000            0.000           18.972           -4.139            3.252            3.666            1.037            0.000            0.000          103.844           18.842            0.000            0.000
