 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    365    12    31  2022      1       0  rtu010                 0.005       0.000       0.000      18.051       0.000       1.603       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      2       0  rtu020                 0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022      3       0  rtu030                 0.000       0.000       0.000       0.311       0.011       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022      4       0  rtu040                 0.000       0.000       0.000       0.311       0.004       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022      5       0  rtu050                 0.007       0.000       0.000      18.095       0.000       1.607       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      6       0  rtu060                 0.006       0.000       0.000      18.780       0.000       1.615       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      7       0  rtu070                 0.005       0.000       0.000      19.973       0.000       1.580       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      8       0  rtu080                 0.003       0.000       0.000      19.229       0.000       1.549       0.000       0.035       0.000       0.000       0.000       0.000
    365    12    31  2022      9       0  rtu090                 0.002       0.000       0.000      19.107       0.000       1.438       0.000       0.031       0.000       0.000       0.000       0.000
    365    12    31  2022     10       0  rtu100                 0.014       0.000       0.000      22.005       0.000       1.880       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     11       0  rtu110                 0.001       0.000       0.000      14.469       0.000       1.293       0.000       0.033       0.000       0.002       0.000       0.000
    365    12    31  2022     12       0  rtu120                 0.003       0.000       0.000      19.661       0.000       1.538       0.000       0.034       0.000       0.000       0.000       0.000
    365    12    31  2022     13       0  rtu130                 0.001       0.000       0.000      18.892       0.000       1.434       0.000       0.023       0.000       0.000       0.000       0.000
    365    12    31  2022     14       0  rtu140                 0.001       0.000       0.000       3.244       0.000       0.094       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     15       0  rtu150                 0.004       0.000       0.000       3.997       0.000       0.107       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     16       0  rtu160                 0.001       0.000       0.000       3.484       0.000       0.096       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     17       0  rtu170                 0.001       0.000       0.000      18.076       0.000       1.362       0.000       0.039       0.000       0.001       0.000       0.000
    365    12    31  2022     18       0  rtu180                 0.001       0.000       0.000      14.963       0.000       1.257       0.000       0.022       0.000       0.012       0.000       0.000
    365    12    31  2022     19       0  rtu190                 0.011       0.000       0.000       4.301       0.000       0.123       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     20       0  rtu200                 0.001       0.000       0.000       3.173       0.000       0.093       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     21       0  rtu210                 0.000       0.000       0.000      15.137       0.000       1.224       0.000       0.015       0.000       0.024       0.000       0.000
    365    12    31  2022     22       0  rtu220                 0.008       0.000       0.000       4.199       0.000       0.121       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     23       0  rtu230                 0.003       0.000       0.000      19.943       0.000       1.561       0.000       0.033       0.000       0.000       0.000       0.000
    365    12    31  2022     24       0  rtu240                 0.006       0.000       0.000       4.050       0.000       0.117       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     25       0  rtu250                 0.002       0.000       0.000      17.421       0.000       1.522       0.000       0.028       0.000       0.000       0.000       0.000
    365    12    31  2022     26       0  rtu260                 0.004       0.000       0.000       3.878       0.000       0.113       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     27       0  rtu270                 0.004       0.000       0.000       3.865       0.000       0.111       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     28       0  rtu280                 0.001       0.000       0.000      14.261       0.000       1.361       0.000       0.035       0.000       0.001       0.000       0.000
    365    12    31  2022     29       0  rtu290                 0.004       0.000       0.000      18.314       0.000       1.548       0.000       0.035       0.000       0.000       0.000       0.000
    365    12    31  2022     30       0  rtu300                 0.001       0.000       0.000       3.189       0.000       0.093       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     31       0  rtu310                 0.001       0.000       0.000       3.480       0.000       0.096       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     32       0  rtu320                 0.003       0.000       0.000       3.945       0.000       0.106       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     33       0  rtu330                 0.002       0.000       0.000       3.762       0.000       0.101       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     34       0  rtu340                 0.002       0.000       0.000      17.415       0.000       1.455       0.000       0.025       0.000       0.000       0.000       0.000
    365    12    31  2022     35       0  rtu350                 0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022     36       0  rtu360                 0.000       0.000       0.000       0.311       0.002       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022     37       0  rtu370                 0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022     38       0  rtu380                 0.000       0.000       0.000       0.311       0.001       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022     39       0  rtu390                 0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022     40       0  rtu400                 0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
    365    12    31  2022     41       0  rtu410                 0.000       0.000       0.000       0.311       0.000       0.583       0.000       0.000       0.000       0.011       0.000       0.000
