 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   366    12    31  2016       1      10  aqu010                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016       2      20  aqu020                    0.000          3.434        328.260         20.585          1.029         21.752          0.775          0.000          0.500          0.000          6.683          6.645          0.000          0.003          0.000          0.000          0.000
   366    12    31  2016       3      30  aqu030                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016       4      40  aqu040                    0.000          3.415        329.191         20.778          1.039         21.752          0.830          0.000          0.500          0.000          7.139          7.114          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016       5      50  aqu050                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016       6      60  aqu060                    0.000          3.400        329.960         20.990          1.049         21.752          0.865          0.000          0.500          0.000          7.429          7.418          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016       7      70  aqu070                    0.000          3.434        328.248         20.581          1.029         21.752          0.774          0.000          0.500          0.000          6.679          6.641          0.000          0.003          0.000          0.000          0.000
   366    12    31  2016       8      80  aqu080                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016       9      90  aqu090                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      10     100  aqu100                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      11     110  aqu110                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      12     120  aqu120                    0.000          3.432        328.327         20.597          1.030         21.752          0.777          0.000          0.500          0.000          6.700          6.663          0.000          0.003          0.000          0.000          0.000
   366    12    31  2016      13     130  aqu130                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      14     140  aqu140                    0.000          3.420        328.918         20.738          1.037         21.752          0.814          0.000          0.500          0.000          7.010          6.980          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      15     150  aqu150                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      16     160  aqu160                    0.000          3.409        329.465         20.875          1.044         21.752          0.849          0.000          0.500          0.000          7.301          7.282          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      17     170  aqu170                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      18     180  aqu180                    0.000          3.394        330.234         21.056          1.053         21.752          0.878          0.000          0.500          0.000          7.530          7.525          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      19     190  aqu190                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      20     200  aqu200                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      21     210  aqu210                    0.000          3.448        327.550         20.222          1.011         21.752          0.745          0.000          0.500          0.000          6.437          6.392          0.000          0.003          0.000          0.000          0.000
   366    12    31  2016      22     220  aqu220                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      23     230  aqu230                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      24     240  aqu240                    0.000          3.378        331.059         21.403          1.070         21.752          0.915          0.000          0.500          0.000          7.849          7.845          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      25     250  aqu250                    0.000          3.391        330.411         21.193          1.060         21.752          0.882          0.000          0.500          0.000          7.572          7.566          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      26     260  aqu260                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      27     270  aqu270                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      28     280  aqu280                    0.000          3.414        329.236         20.799          1.040         21.752          0.827          0.000          0.500          0.000          7.111          7.089          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      29     290  aqu290                    0.000          3.366        331.625         21.735          1.087         21.752          0.953          0.000          0.500          0.000          8.171          8.169          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      30     300  aqu300                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      31     310  aqu310                    0.000          3.383        330.793         21.290          1.065         21.752          0.906          0.000          0.500          0.000          7.766          7.768          0.000          0.004          0.000          0.000          0.000
