 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                         m^3/s   
    31     1    31  2016         1     1  april24               0.4325E-01     0.0000E+00     0.6308E-01     0.4326E-01     0.4319E-05     0.2149E-05     0.2149E-05     0.0000E+00     0.2149E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1388E-01     0.0000E+00     0.2058E-01     0.8502E-02
    60     2    29  2016         1     1  april24               0.7127E-02     0.0000E+00     0.1123E-01     0.7127E-02     0.6154E-06     0.2971E-06     0.2971E-06     0.0000E+00     0.2971E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2437E-02     0.0000E+00     0.3892E-02     0.6418E-02
    91     3    31  2016         1     1  april24               0.1438E-01     0.0000E+00     0.1813E-01     0.1569E-01     0.1934E-05     0.9574E-06     0.9574E-06     0.0000E+00     0.9574E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7856E-02     0.0000E+00     0.1329E-01     0.4036E-02
   121     4    30  2016         1     1  april24               0.1526E+01     0.0000E+00     0.1403E+01     0.3167E+01     0.6212E-03     0.7300E-03     0.3106E-03     0.0000E+00     0.2909E-03     0.1681E-03     0.2513E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.5178E-05     0.5556E-03     0.0000E+00     0.7481E+01     0.0000E+00     0.7065E+01     0.2654E-01
   152     5    31  2016         1     1  april24               0.1279E+03     0.0000E+00     0.1253E+03     0.2139E+03     0.3566E+01     0.4730E+01     0.1783E+01     0.0000E+00     0.1706E+01     0.2933E+01     0.1382E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.4700E-01     0.9090E-02     0.0000E+00     0.3081E+03     0.0000E+00     0.3026E+03     0.9395E+02
   182     6    30  2016         1     1  april24               0.1867E+03     0.0000E+00     0.1829E+03     0.3113E+03     0.6391E+01     0.9450E+01     0.3196E+01     0.0000E+00     0.3030E+01     0.6237E+01     0.1678E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.9451E-01     0.9194E-02     0.0000E+00     0.4551E+03     0.0000E+00     0.4485E+03     0.1252E+03
   213     7    31  2016         1     1  april24               0.2861E+03     0.0000E+00     0.2843E+03     0.4504E+03     0.5712E+01     0.9818E+01     0.2856E+01     0.0000E+00     0.2748E+01     0.6955E+01     0.7968E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6565E-01     0.5689E-02     0.0000E+00     0.5626E+03     0.0000E+00     0.5566E+03     0.2100E+03
   244     8    31  2016         1     1  april24               0.3563E+03     0.0000E+00     0.3566E+03     0.5533E+03     0.6767E+01     0.1294E+02     0.3383E+01     0.0000E+00     0.3232E+01     0.9556E+01     0.3368E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8187E-01     0.5729E-02     0.0000E+00     0.6762E+03     0.0000E+00     0.6769E+03     0.2075E+03
   274     9    30  2016         1     1  april24               0.2058E+03     0.0000E+00     0.2108E+03     0.3184E+03     0.9347E+01     0.1521E+02     0.4673E+01     0.0000E+00     0.4416E+01     0.1053E+02     0.5501E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1247E+00     0.3194E-02     0.0000E+00     0.4114E+03     0.0000E+00     0.4163E+03     0.2833E+03
   305    10    31  2016         1     1  april24               0.7078E+00     0.0000E+00     0.9824E+00     0.7339E+00     0.1086E-01     0.5433E-02     0.5429E-02     0.0000E+00     0.5425E-02     0.0000E+00     0.3902E-05     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.9299E-06     0.0000E+00     0.3157E+00     0.0000E+00     0.4786E+00     0.4477E+01
   335    11    30  2016         1     1  april24               0.8780E+01     0.0000E+00     0.7282E+01     0.1936E+02     0.4309E-01     0.5308E-01     0.2154E-01     0.0000E+00     0.2100E-01     0.3028E-01     0.1262E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8622E-03     0.1572E-02     0.0000E+00     0.4321E+02     0.0000E+00     0.3862E+02     0.6633E+00
   366    12    31  2016         1     1  april24               0.1800E+02     0.0000E+00     0.1895E+02     0.2662E+02     0.2032E-01     0.1788E-01     0.1016E-01     0.0000E+00     0.9034E-02     0.4356E-02     0.3363E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1342E-03     0.1913E-02     0.0000E+00     0.2817E+02     0.0000E+00     0.3064E+02     0.2709E+01
    31     1    31  2017         1     1  april24               0.4680E+02     0.0000E+00     0.4550E+02     0.7970E+02     0.1157E+01     0.1305E+01     0.5785E+00     0.0000E+00     0.5526E+00     0.7207E+00     0.5589E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1584E-01     0.1708E-02     0.0000E+00     0.1159E+03     0.0000E+00     0.1129E+03     0.4013E+02
    59     2    28  2017         1     1  april24               0.1920E+01     0.0000E+00     0.2631E+01     0.2080E+01     0.1705E-01     0.8569E-02     0.8523E-02     0.0000E+00     0.8477E-02     0.0000E+00     0.4593E-04     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.1404E-04     0.0000E+00     0.1205E+01     0.0000E+00     0.1881E+01     0.7604E+01
    90     3    31  2017         1     1  april24               0.2150E+02     0.0000E+00     0.2094E+02     0.3821E+02     0.4469E+00     0.4799E+00     0.2235E+00     0.0000E+00     0.2157E+00     0.2538E+00     0.2676E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6996E-02     0.1278E-02     0.0000E+00     0.6258E+02     0.0000E+00     0.6079E+02     0.1859E+02
   120     4    30  2017         1     1  april24               0.3629E+01     0.0000E+00     0.3201E+01     0.7650E+01     0.2785E-01     0.2872E-01     0.1391E-01     0.0000E+00     0.1343E-01     0.1433E-01     0.4705E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.4232E-03     0.4880E-03     0.0000E+00     0.1675E+02     0.0000E+00     0.1568E+02     0.8468E+00
   151     5    31  2017         1     1  april24               0.1325E+03     0.0000E+00     0.1300E+03     0.2215E+03     0.4394E+01     0.5865E+01     0.2197E+01     0.0000E+00     0.2096E+01     0.3655E+01     0.1327E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.5676E-01     0.7836E-02     0.0000E+00     0.3176E+03     0.0000E+00     0.3121E+03     0.1129E+03
   181     6    30  2017         1     1  april24               0.1816E+03     0.0000E+00     0.1788E+03     0.3015E+03     0.5783E+01     0.8359E+01     0.2891E+01     0.0000E+00     0.2749E+01     0.5451E+01     0.1700E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8678E-01     0.7850E-02     0.0000E+00     0.4400E+03     0.0000E+00     0.4351E+03     0.1215E+03
   212     7    31  2017         1     1  april24               0.2835E+03     0.0000E+00     0.2807E+03     0.4486E+03     0.5748E+01     0.9965E+01     0.2874E+01     0.0000E+00     0.2766E+01     0.7084E+01     0.6786E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6732E-01     0.3507E-02     0.0000E+00     0.5661E+03     0.0000E+00     0.5584E+03     0.2061E+03
   243     8    31  2017         1     1  april24               0.3541E+03     0.0000E+00     0.3542E+03     0.5502E+03     0.6582E+01     0.1259E+02     0.3291E+01     0.0000E+00     0.3148E+01     0.9299E+01     0.2187E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.7999E-01     0.3078E-02     0.0000E+00     0.6715E+03     0.0000E+00     0.6715E+03     0.2003E+03
   273     9    30  2017         1     1  april24               0.2014E+03     0.0000E+00     0.2066E+03     0.3112E+03     0.8879E+01     0.1487E+02     0.4439E+01     0.0000E+00     0.4200E+01     0.1043E+02     0.4391E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1219E+00     0.2218E-02     0.0000E+00     0.4020E+03     0.0000E+00     0.4077E+03     0.2869E+03
   304    10    31  2017         1     1  april24               0.7292E+00     0.0000E+00     0.9497E+00     0.8225E+00     0.4029E-01     0.2015E-01     0.2014E-01     0.0000E+00     0.2014E-01     0.0000E+00     0.3375E-05     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.1726E-05     0.0000E+00     0.4968E+00     0.0000E+00     0.7731E+00     0.4120E+02
   334    11    30  2017         1     1  april24               0.6788E-05     0.0000E+00     0.5726E-05     0.1017E-04     0.4200E-07     0.1186E-07     0.1186E-07     0.0000E+00     0.1186E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2989E-04     0.0000E+00     0.1876E-04     0.4789E-03
   365    12    31  2017         1     1  april24               0.1562E-04     0.0000E+00     0.1453E-04     0.2186E-04     0.4757E-07     0.1469E-07     0.1469E-07     0.0000E+00     0.1469E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3963E-04     0.0000E+00     0.4036E-04     0.4893E-03
