 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                         m^3/s   
   365    12    31  2023       1       1  cha01                0.2381E-02     0.0000E+00     0.2138E-02     0.1109E-01     0.1810E-01     0.9055E-02     0.9049E-02     0.0000E+00     0.9048E-02     0.0000E+00     0.5781E-05     0.0000E+00     0.2692E+00     0.4574E-01     0.1000E-04     0.0000E+00     0.4311E-04     0.0000E+00     0.1019E+04     0.0000E+00     0.9156E+03     0.1045E-04
   365    12    31  2023       2       2  cha02                0.4839E-01     0.0000E+00     0.4839E-01     0.8504E-01     0.2683E-01     0.1346E-01     0.1342E-01     0.0000E+00     0.1337E-01     0.0000E+00     0.4587E-04     0.0000E+00     0.1863E+01     0.1661E+00     0.1000E-04     0.0000E+00     0.3075E-04     0.0000E+00     0.8245E+03     0.0000E+00     0.8245E+03     0.1202E-05
   365    12    31  2023       3       3  cha03                0.1482E+00     0.0000E+00     0.1482E+00     0.1482E+00     0.2745E+02     0.1387E+02     0.1373E+02     0.0000E+00     0.1362E+02     0.0000E+00     0.1379E+00     0.0000E+00     0.3588E+01     0.2571E+00     0.8100E-03     0.0000E+00     0.3245E-01     0.0000E+00     0.8468E+03     0.0000E+00     0.8468E+03     0.5534E-02
   365    12    31  2023       4       4  cha04                0.4006E-05     0.0000E+00     0.3778E-05     0.1994E-04     0.9659E-02     0.4831E-02     0.4830E-02     0.0000E+00     0.4829E-02     0.0000E+00     0.1426E-05     0.0000E+00     0.5007E-01     0.1490E-01     0.1000E-04     0.0000E+00     0.3831E-04     0.0000E+00     0.2831E+02     0.0000E+00     0.2669E+02     0.1046E-04
   365    12    31  2023       5       5  cha05                0.2428E-02     0.0000E+00     0.2374E-02     0.1131E-01     0.2498E-01     0.4774E+01     0.1249E-01     0.0000E+00     0.4203E-02     0.4752E+01     0.9699E-02     0.0000E+00     0.2681E+00     0.5156E+00     0.3290E-02     0.5479E-01     0.3003E-01     0.0000E+00     0.1047E+04     0.0000E+00     0.1023E+04     0.1120E-02
   365    12    31  2023       6       6  cha06                0.2640E-02     0.0000E+00     0.2580E-02     0.1222E-01     0.2573E-01     0.8401E+00     0.1287E-01     0.0000E+00     0.9173E-02     0.8202E+00     0.7030E-02     0.0000E+00     0.2840E+00     0.8994E-01     0.1470E-02     0.4973E-02     0.3300E-01     0.0000E+00     0.1034E+04     0.0000E+00     0.1011E+04     0.1729E-03
   365    12    31  2023       7       7  cha07                0.3552E-02     0.0000E+00     0.3474E-02     0.1600E-01     0.2653E-01     0.9016E+00     0.1327E-01     0.0000E+00     0.9186E-02     0.8812E+00     0.7136E-02     0.0000E+00     0.3436E+00     0.8311E-01     0.1340E-02     0.3444E-02     0.3135E-01     0.0000E+00     0.1013E+04     0.0000E+00     0.9903E+03     0.2288E-03
   365    12    31  2023       8       8  cha08                0.5283E-02     0.0000E+00     0.5164E-02     0.2271E-01     0.2611E-01     0.4020E+00     0.1306E-01     0.0000E+00     0.9500E-02     0.3847E+00     0.4303E-02     0.0000E+00     0.4344E+00     0.6923E-01     0.9500E-03     0.7700E-03     0.1940E-01     0.0000E+00     0.1019E+04     0.0000E+00     0.9961E+03     0.1599E-03
   365    12    31  2023       9       9  cha09                0.9920E-02     0.0000E+00     0.9869E-02     0.3784E-01     0.2375E-01     0.1270E+01     0.1187E-01     0.0000E+00     0.6109E-02     0.1245E+01     0.1259E-01     0.0000E+00     0.6398E+00     0.1055E+00     0.1330E-02     0.2936E-02     0.3173E-01     0.0000E+00     0.1004E+04     0.0000E+00     0.9985E+03     0.2535E-03
