 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    31     1    31  2016       1       1  hru01          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       2       2  hru02          0.000       0.000      -0.054      -0.873            0.000            0.000            0.000            0.000            0.928           -0.164            0.159            0.315            0.083            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       3       3  hru03          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       4       4  hru04          0.000       0.000      -0.044      -0.878            0.000            0.000            0.000            0.000            0.992           -0.169            0.170            0.324            0.086            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       5       5  hru05          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       6       6  hru06          0.000       0.000      -0.036      -0.881            0.000            0.000            0.000            0.000            1.042           -0.173            0.179            0.332            0.089            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       7       7  hru07          0.000       0.000      -0.054      -0.873            0.000            0.000            0.000            0.000            0.928           -0.164            0.159            0.315            0.083            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       8       8  hru08          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       9       9  hru09          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      10      10  hru10          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      11      11  hru11          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      12      12  hru12          0.000       0.000      -0.053      -0.876            0.000            0.000            0.000            0.000            0.934           -0.164            0.160            0.318            0.084            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      13      13  hru13          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      14      14  hru14          0.000       0.000      -0.049      -0.879            0.000            0.000            0.000            0.000            0.959           -0.166            0.164            0.324            0.086            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      15      15  hru15          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      16      16  hru16          0.000       0.000      -0.042      -0.880            0.000            0.000            0.000            0.000            1.008           -0.170            0.173            0.326            0.087            0.000            0.000            0.000            0.000            0.000            0.000
