 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   365    12    31  2023       1       1  hru01                  0.986   70311.930       0.000     125.097      18.150       0.000       0.000       0.000       0.000       0.000     254.563       5.212      47.446      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       2       2  hru02                  0.995    3564.396    7565.154     373.387      17.548       0.000       0.000       2.021      19.289       0.000       0.000       5.966       0.000      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       3       3  hru03                  0.986   70311.844       0.000     125.096      18.150       0.000       0.000       0.000       0.000       0.000     254.563       5.206      47.446      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       4       4  hru04                  0.995    3615.591    7666.445     378.359      17.548       0.000       0.000       2.021      18.094       0.000       0.000       6.312       0.000      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       5       5  hru05                  0.986   70312.008       0.000     125.098      18.150       0.000       0.000       0.000       0.000       0.000     254.563       5.214      47.446      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       6       6  hru06                  0.995    3590.893    7632.296     376.667      17.549       0.000       0.000       2.021      18.995       0.000       0.000       6.524       0.000      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       7       7  hru07                  0.995    3564.245    7564.556     373.358      17.548       0.000       0.000       2.021      19.290       0.000       0.000       5.964       0.000      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       8       8  hru08                  0.986   70312.047       0.000     125.099      18.150       0.000       0.000       0.000       0.000       0.000     254.563       5.214      47.446      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
   365    12    31  2023       9       9  hru09                  0.986   70311.977       0.000     125.098      18.150       0.000       0.000       0.000       0.000       0.000     254.563       5.212      47.446      21.794      15.020      18.407      16.755       3.133       0.736       0.477       0.000       0.000       0.000       0.000
