 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    31     1    31  2016       1       1  hru01                  0.758   73370.641       0.000     335.489      14.072       0.000       0.000       0.000       0.000       0.000     279.379       0.000      52.071      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       2       2  hru02                  0.000       0.000       0.000     559.753      12.804       0.000       0.000       0.000       0.000       0.000       0.000       0.093       0.000      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       3       3  hru03                  0.758   73370.508       0.000     335.488      14.072       0.000       0.000       0.000       0.000       0.000     279.379       0.000      52.071      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       4       4  hru04                  0.000       0.000       0.000     559.982      12.806       0.000       0.000       0.000       0.000       0.000       0.000       0.097       0.000      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       5       5  hru05                  0.758   73370.742       0.000     335.490      14.072       0.000       0.000       0.000       0.000       0.000     279.379       0.000      52.071      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       6       6  hru06                  0.000       0.000       0.000     560.032      12.809       0.000       0.000       0.000       0.000       0.000       0.000       0.102       0.000      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       7       7  hru07                  0.000       0.000       0.000     559.747      12.804       0.000       0.000       0.000       0.000       0.000       0.000       0.092       0.000      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       8       8  hru08                  0.758   73370.758       0.000     335.491      14.072       0.000       0.000       0.000       0.000       0.000     279.380       0.000      52.071      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
    31     1    31  2016       9       9  hru09                  0.758   73370.664       0.000     335.490      14.072       0.000       0.000       0.000       0.000       0.000     279.379       0.000      52.071      17.242      10.955      14.098       7.706       4.550       0.629       0.035       0.000       0.000       0.000       0.000
