 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2016       1       1  hru01                  0.984   73201.758       0.000     170.521      17.841       0.000       0.000       0.000       0.000       0.000     276.143       0.013      51.468      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       2       2  hru02                  0.971    3852.134    8547.448     419.702      17.601       0.000       0.000       1.949      12.915       0.000       0.000       6.683       0.000      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       3       3  hru03                  0.984   73201.625       0.000     170.520      17.841       0.000       0.000       0.000       0.000       0.000     276.142       0.013      51.468      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       4       4  hru04                  0.971    3867.264    8606.055     422.194      17.601       0.000       0.000       1.949      12.472       0.000       0.000       7.139       0.000      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       5       5  hru05                  0.984   73201.844       0.000     170.522      17.841       0.000       0.000       0.000       0.000       0.000     276.143       0.013      51.468      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       6       6  hru06                  0.971    3874.729    8637.007     423.502      17.602       0.000       0.000       1.949      12.234       0.000       0.000       7.429       0.000      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       7       7  hru07                  0.971    3851.897    8546.455     419.659      17.601       0.000       0.000       1.949      12.923       0.000       0.000       6.679       0.000      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       8       8  hru08                  0.984   73201.883       0.000     170.522      17.841       0.000       0.000       0.000       0.000       0.000     276.143       0.013      51.468      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
   366    12    31  2016       9       9  hru09                  0.984   73201.773       0.000     170.522      17.841       0.000       0.000       0.000       0.000       0.000     276.143       0.013      51.468      21.558      15.176      18.367      16.647       3.271       0.687       0.484       0.000       0.000       0.000       0.000
