 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2022       1       1  hru01                368.686       3.343       3.343       4.576       0.000       4.576       1.578     371.494      20.313     346.264       4.917       4.575      67.016     125.126      62.145      77.106      15.314       0.000       0.000       0.014    1161.035       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -8.962       4.308       0.673       0.000       0.000
   365    12    31  2022       2       2  hru02                368.686       3.555       3.547    1250.326       0.000    1250.326       0.000    1198.158       3.746     190.560    1003.851    2500.652       0.000      18.131      17.865      19.200      12.486       0.000       0.000       0.014    1160.998       0.000    2076.006       0.000       0.000       0.000    2500.652       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.038       0.000       0.000       0.000       0.000
   365    12    31  2022       3       3  hru03                368.686       3.343       3.343       4.576       0.001       4.577       1.578     371.493      20.313     346.262       4.917       4.575      67.016     125.125      62.146      77.104      15.314       0.000       0.000       0.014    1161.039       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000      -8.962       2.087       1.407       0.000       0.000
   365    12    31  2022       4       4  hru04                368.686       3.555       3.547    1218.548       0.000    1218.548       0.000    1225.960       3.754     199.678    1022.528    2437.097       0.000      20.608      19.439      21.265      13.102       0.000       0.000       0.014    1161.000       0.000    2071.895       0.000       0.000       0.000    2437.097       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.166       0.000       0.000       0.000       0.000
   365    12    31  2022       5       5  hru05                368.686       3.343       3.343       4.576       0.000       4.576       1.578     371.495      20.313     346.265       4.917       4.575      67.016     125.126      62.145      77.108      15.314       0.000       0.000       0.014    1161.031       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -8.962       4.692       0.412       0.000       0.000
   365    12    31  2022       6       6  hru06                368.686       3.555       3.547    1177.082       0.000    1177.082       0.003    1260.699       3.757     210.068    1046.875    2354.165       0.000      23.485      21.274      23.588      13.752       0.000       0.000       0.014    1160.998       0.000    2065.020       0.000       0.000       0.000    2354.165       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.315       0.000       0.000       0.000       0.000
   365    12    31  2022       7       7  hru07                368.686       3.555       3.547    1253.499       0.000    1253.499       0.000    1197.702       3.746     190.441    1003.514    2506.998       0.000      18.129      17.846      19.175      12.476       0.000       0.000       0.014    1160.999       0.000    2078.719       0.000       0.000       0.000    2506.998       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.040       0.000       0.000       0.000       0.000
   365    12    31  2022       8       8  hru08                368.686       3.343       3.343       4.576       0.000       4.576       1.578     371.495      20.313     346.265       4.917       4.575      67.016     125.127      62.145      77.108      15.314       0.000       0.000       0.014    1161.029       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -8.962       7.421       0.517       0.000       0.000
   365    12    31  2022       9       9  hru09                368.686       3.343       3.343       4.576       0.001       4.576       1.578     371.494      20.313     346.264       4.917       4.575      67.016     125.126      62.145      77.107      15.314       0.000       0.000       0.014    1161.032       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000      -8.962       6.069       0.756       0.000       0.000
   365    12    31  2022      10      10  hru10                368.686       3.343       3.343       4.576       0.001       4.577       1.578     371.493      20.313     346.263       4.917       4.575      67.016     125.126      62.145      77.106      15.314       0.000       0.000       0.014    1161.032       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000      -8.962       4.432       1.296       0.000       0.000
   365    12    31  2022      11      11  hru11                368.686       3.343       3.343       4.576       0.000       4.576       1.578     371.495      20.313     346.265       4.917       4.575      67.016     125.127      62.145      77.109      15.314       0.000       0.000       0.014    1161.028       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -8.962       8.303       0.000       0.000       0.000
   365    12    31  2022      12      12  hru12                368.686       3.555       3.547    1274.920       0.000    1274.920       0.000    1203.430       3.748     191.764    1007.919    2549.840       0.000      18.368      18.210      19.524      12.622       0.000       0.000       0.014    1160.997       0.000    2105.886       0.000       0.000       0.000    2549.840       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.022       0.000       0.000       0.000       0.000
   365    12    31  2022      13      13  hru13                368.686       3.343       3.343       4.576       0.000       4.576       1.578     371.495      20.313     346.265       4.917       4.575      67.016     125.127      62.145      77.109      15.314       0.000       0.000       0.014    1161.029       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -8.962       4.100       0.339       0.000       0.000
   365    12    31  2022      14      14  hru14                368.686       3.555       3.547    1252.165       0.000    1252.165       0.000    1217.713       3.753     197.649    1016.311    2504.329       0.000      19.163      18.869      20.656      12.939       0.000       0.000       0.014    1160.997       0.000    2097.389       0.000       0.000       0.000    2504.329       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.042       0.000       0.000       0.000       0.000
   365    12    31  2022      15      15  hru15                368.686       3.343       3.343       4.576       0.000       4.576       1.578     371.495      20.313     346.265       4.917       4.575      67.016     125.127      62.145      77.109      15.314       0.000       0.000       0.014    1161.029       0.000       0.000       0.000       0.000       0.000       4.575       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -8.962       3.523       0.420       0.000       0.000
