 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   365    12    31  2022       1       0  rtu010                 0.000       0.000      -1.418      -7.040          119.532           13.149            0.000            0.000           12.181           -5.287            2.087            2.907            0.787            0.000            0.000           75.011           13.617            0.000            0.000
   365    12    31  2022       2       0  rtu020                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.462           18.796           17.570            3.039          265.338           50.249            0.000            0.000          106.658           19.880            0.000            0.000
   365    12    31  2022       3       0  rtu030                 0.000       0.000      27.807      13.790            0.000            0.000            0.000           85.452           18.795           17.569            3.039          265.332           50.248            0.000            0.000          106.654           19.880            0.000            0.000
   365    12    31  2022       4       0  rtu040                 0.000       0.000      27.807      13.791            0.000            0.000            0.000           85.459           18.796           17.569            3.039          265.334           50.249            0.000            0.000          106.655           19.880            0.000            0.000
   365    12    31  2022       5       0  rtu050                 0.000       0.000      -1.415      -7.039          119.532           13.149            0.000            0.000           12.176           -5.286            2.086            2.906            0.786            0.000            0.000           74.957           13.607            0.000            0.000
   365    12    31  2022       6       0  rtu060                 0.000       0.000      -1.499      -7.077          119.532           13.149            0.000            0.000           12.273           -5.321            2.103            2.917            0.791            0.000            0.000           75.514           13.708            0.000            0.000
   365    12    31  2022       7       0  rtu070                 0.000       0.000      -1.790      -7.184          119.532           13.149            0.000            0.000           12.496           -5.401            2.141            2.977            0.812            0.000            0.000           78.054           14.167            0.000            0.000
   365    12    31  2022       8       0  rtu080                 0.000       0.000      -2.014      -7.252          119.532           13.149            0.000            0.000           12.708           -5.482            2.177            3.028            0.830            0.000            0.000           80.104           14.538            0.000            0.000
   365    12    31  2022       9       0  rtu090                 0.000       0.000      -2.631      -7.451          119.532           13.149            0.000            0.000           13.208           -5.656            2.263            3.177            0.880            0.000            0.000           85.822           15.572            0.000            0.000
   365    12    31  2022      10       0  rtu100                 0.000       0.000      -1.067      -6.927          119.532           13.149            0.000            0.000           11.783           -5.121            2.019            2.830            0.759            0.000            0.000           71.610           13.002            0.000            0.000
   365    12    31  2022      11       0  rtu110                 0.000       0.000      -3.270      -7.627          119.532           13.149            0.000           13.033           16.944           -7.293            2.902            3.415            0.959            0.000            0.000           95.048           17.251            0.000            0.000
   365    12    31  2022      12       0  rtu120                 0.000       0.000      -1.858      -7.195          119.532           13.149            0.000            0.000           12.630           -5.463            2.164            2.999            0.820            0.000            0.000           78.940           14.327            0.000            0.000
   365    12    31  2022      13       0  rtu130                 0.000       0.000      -2.900      -7.483          119.532           13.149            0.000            0.000           14.604           -6.268            2.501            3.349            0.936            0.000            0.000           92.239           16.731            0.000            0.000
   365    12    31  2022      14       0  rtu140                 0.000       0.000      -2.915      -7.546          119.532           13.149            0.000            0.000           13.487           -5.763            2.310            3.243            0.901            0.000            0.000           88.338           16.024            0.000            0.000
   365    12    31  2022      15       0  rtu150                 0.000       0.000      -2.037      -7.255          119.532           13.149            0.000            0.000           12.753           -5.497            2.185            3.039            0.833            0.000            0.000           80.526           14.614            0.000            0.000
   365    12    31  2022      16       0  rtu160                 0.000       0.000      -2.787      -7.505          119.532           13.149            0.000            0.000           13.340           -5.709            2.285            3.215            0.892            0.000            0.000           87.249           15.829            0.000            0.000
   365    12    31  2022      17       0  rtu170                 0.000       0.000      -3.226      -7.653          119.532           13.149            0.000            0.000           14.430           -6.191            2.472            3.337            0.932            0.000            0.000           91.790           16.649            0.000            0.000
   365    12    31  2022      18       0  rtu180                 0.000       0.000      -2.981      -7.561          119.532           13.149            0.000           37.392           19.191           -8.139            3.287            3.414            0.960            0.000            0.000           95.174           17.274            0.000            0.000
   365    12    31  2022      19       0  rtu190                 0.000       0.000      -1.244      -6.998          119.532           13.149            0.000            0.000           11.940           -5.204            2.046            2.857            0.769            0.000            0.000           72.799           13.217            0.000            0.000
   365    12    31  2022      20       0  rtu200                 0.000       0.000      -2.897      -7.535          119.532           13.149            0.000            0.000           13.608           -5.804            2.331            3.248            0.903            0.000            0.000           88.537           16.060            0.000            0.000
   365    12    31  2022      21       0  rtu210                 0.000       0.000      -2.873      -7.529          119.532           13.149            0.000           40.013           19.962           -8.457            3.419            3.417            0.961            0.000            0.000           95.278           17.293            0.000            0.000
   365    12    31  2022      22       0  rtu220                 0.000       0.000      -1.224      -6.982          119.532           13.149            0.000            0.000           11.996           -5.227            2.055            2.863            0.771            0.000            0.000           73.075           13.267            0.000            0.000
   365    12    31  2022      23       0  rtu230                 0.000       0.000      -1.847      -7.197          119.532           13.149            0.000            0.000           12.613           -5.457            2.161            2.992            0.817            0.000            0.000           78.674           14.279            0.000            0.000
   365    12    31  2022      24       0  rtu240                 0.000       0.000      -1.379      -7.027          119.532           13.149            0.000            0.000           12.165           -5.307            2.084            2.898            0.783            0.000            0.000           74.601           13.543            0.000            0.000
