 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    366    12    31  2016      1       0  rtu010                 0.492    1499.620    2755.910     132.110      14.076       8.263       0.000       6.568       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      2       0  rtu020                 1.635   65964.172       0.000   13166.013      12.397      95.914       0.000      76.219       0.000       0.000     262.577       0.290       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      3       0  rtu030                 1.635   65963.664       0.000   13165.921      12.397      95.915       0.000      76.219       0.000       0.000     262.574       0.289       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      4       0  rtu040                 1.635   65963.734       0.000   13165.938      12.397      95.914       0.000      76.219       0.000       0.000     262.574       0.289       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      5       0  rtu050                 0.492    1498.278    2753.723     132.005      14.075       8.295       0.000       6.568       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      6       0  rtu060                 0.492    1509.589    2772.218     132.979      14.088       8.017       0.000       6.568       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      7       0  rtu070                 0.492    1544.493    2826.389     135.759      14.153       6.980       0.000       6.568       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      8       0  rtu080                 0.492    1578.187    2886.766     138.494      14.208       6.097       0.000       6.568       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
    366    12    31  2016      9       0  rtu090                 0.492    1670.970    3067.422     146.935      14.390       2.994       0.000       6.568       0.000       0.000       0.000       0.035       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.938       0.000       0.000       0.000       0.000
