real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,87.3371,44.9555,9.97928,182.169,17.2778,67.8128,22.9265,68.1458,80.4245,139.44,96.61,97.635,138.762
1,8.02033,53.7513,18.9159,199,36.3643,67.0251,24.9298,24.5643,154.499,199,96.5895,65.6326,45.7149
2,23.9186,40.356,15.0171,108.417,47.9475,58.6896,12.2308,31.1021,77.1413,199,95.811,70.4716,199
3,144.016,44.8713,35.7908,166.566,32.7596,64.4763,22.6308,86.2274,164.782,199,96.8197,138.542,13.1331
4,199,47.8195,47.7847,59.547,4.18321,12.5703,18.344,37.1635,41.5251,199,97.5336,199,53.4263
5,11.5529,24.4678,109.701,199,11.768,14.2489,12.1177,26.1906,52.0562,199,96.049,192.209,199
6,110.083,18.7987,50.2781,199,38.2125,33.6207,11.2437,27.5081,97.1777,199,96.5951,94.6408,138.013
7,22.6816,29.1346,14.4002,199,26.9983,75.196,11.0449,29.4128,6.57821,177.894,98.5806,24.3268,58.9315
8,60.1278,47.0889,19.1415,190.216,4.94314,11.6778,18.5052,28.2546,183.968,199,99.75,36.1578,11.0397
9,68.0454,38.491,14.2354,52.1296,27.8541,69.0063,17.5025,40.1243,100.894,133.373,91.3944,67.9374,26.5258
10,172.91,107.991,56.6795,195.978,64.8273,75.4097,12.3299,27.2728,36.1043,199,97.6866,6.79661,48.6624
11,57.1931,59.7586,82.3559,199,5.67777,29.6021,12.196,54.4466,6.88321,95.8574,98.8551,9.93235,154.453
12,133.171,7.74372,64.2165,199,12.6177,23.1556,11.8879,3.32021,54.5871,199,96.7439,199,53.4862
13,164.455,55.2573,23.8016,199,41.2302,4.18049,30.1748,75.5041,199,199,95.2533,130.696,186.824
14,8.26831,42.6122,61.47,199,37.2822,47.8922,22.4748,26.3552,32.9952,169.585,94.2552,54.821,191.656
15,81.0745,32.0709,111.265,199,31.8979,11.3507,11.5174,77.5969,98.3054,199,99.4987,88.8459,47.9
16,123.201,38.8388,78.5335,199,33.203,58.9601,10.0686,26.9159,150.707,199,96.794,39.5138,199
17,73.1718,43.1758,50.7203,199,41.7516,8.2743,20.8621,53.6079,89.1046,199,95.0003,137.039,185.544
18,18.2261,20.3727,12.5137,199,58.1823,17.9489,17.2837,8.89323,51.3219,34.8454,55.8597,5.01365,199
19,123.685,102.709,22.7683,110.09,19.6383,9.00615,10.7305,14.82,182.767,199,99.3432,83.098,47.5704
20,16.6439,39.3556,53.2155,199,36.7378,68.4288,16.1432,12.4753,152.119,199,96.2889,169.251,199
21,118.418,36.9976,89.8808,199,6.61341,21.6873,4.89231,4.00053,40.1894,199,98.3823,122.765,137.831
22,170.069,39.6177,111.388,199,30.9757,12.9379,21.9645,13.1397,17.2163,125.9,94.8734,112.163,62.1403
23,113.896,97.0812,36.0109,59.7935,28.4422,55.0896,13.2752,67.8532,64.208,199,103.365,132.498,83.662
24,85.0869,72.0263,22.452,199,45.4192,4.46831,19.3998,26.3363,39.0823,36.7778,95.4909,62.1815,52.9602
25,125.876,126.651,98.155,119.545,30.7389,35.3668,10.9987,51.4782,67.6179,199,98.4809,49.3336,199
26,38.0457,37.3593,42.2895,199,6.95866,16.7648,4.93497,69.8094,19.4771,199,96.6597,16.7838,152.289
27,114.597,49.6618,33.2908,17.5171,10.3204,90.9535,18.6534,78.3352,159.599,199,99.9271,27.9562,188.594
28,31.5511,4.24576,80.7399,157.259,35.817,64.2758,23.1785,91.412,44.566,49.5993,96.0209,68.1807,199
29,138.017,53.1308,30.6274,178.059,10.9859,16.9462,21.439,81.702,132.392,199,97.3423,101.237,24.0779
30,16.2513,13.1769,50.1452,107.505,11.7516,17.4147,10.6438,22.882,78.7685,199,94.3258,85.7302,199
31,87.1014,17.5654,99.2513,199,53.892,78.6945,11.5377,84.1803,19.8233,199,99.8809,33.8143,6.46534
32,13.6396,41.3532,8.87096,146.423,2.55426,7.96537,15.5558,73.2047,27.4503,199,95.5082,29.5345,195.107
33,99.7794,60.1626,21.8401,83.9156,17.7871,59.5576,20.9693,96.4713,8.83176,199,96.9489,13.8825,62.1722
34,116.104,45.4109,44.4992,199,13.3531,92.8561,19.045,17.3564,4.57846,19.3427,95.207,199,35.4083
35,17.8221,28.4656,81.2903,199,40.3716,30.6658,17.0181,13.4996,31.1503,198.548,97.3627,4.21686,60.1952
36,189.329,164.172,73.3597,199,13.3832,57.1198,10.1008,27.4329,42.8837,199,99.5614,44.257,159.47
37,156.714,59.7907,29.235,81.4929,38.2881,62.3975,19.0411,45.2675,199,199,95.4656,44.5953,199
38,138.013,6.30181,50.623,199,37.121,19.5644,15.8674,108.398,195.507,32.1375,97.6917,82.0429,199
39,9.92555,41.9459,91.9863,189.013,40.5692,27.8383,17.4863,15.8225,44.9202,195.092,98.5062,58.0175,199
40,182.974,20.3357,51.2508,58.0667,41.1986,60.7633,15.0607,80.8495,165.219,199,96.0614,151.313,35.365
41,101.988,40.8629,116.077,199,17.2885,68.0156,36.2713,23.6941,108.008,130.68,95.7241,31.7625,63.5169
42,116.953,75.996,87.4871,199,12.523,34.3602,15.8689,65.8665,91.9843,199,67.5306,127.073,20.9939
43,53.5246,33.6503,20.0888,199,45.5063,67.2719,5.56368,92.787,31.2198,199,99.1244,40.4562,57.0425
44,137.339,68.156,32.7535,199,38.286,65.6545,8.50054,25.6301,43.9053,35.3831,94.0084,159.697,71.2383
45,7.36832,147.269,20.952,199,72.15,12.2694,11.7099,25.718,20.9741,199,97.4352,157.197,199
46,39.1851,47.1485,20.4485,199,15.9762,56.7027,27.3846,36.2545,149.15,199,95.3044,34.2291,92.3566
47,127.863,63.4952,79.1411,199,42.1151,96.1963,15.0268,27.1819,187.116,199,98.9048,148.324,177.256
48,84.3509,13.0075,99.8766,199,16.7865,10.177,15.7735,34.3827,104.147,199,89.9344,199,181.64
49,73.886,48.1672,133.096,199,14.4092,69.4771,8.00319,14.7871,82.7429,199,100.321,97.3873,20.5686
50,37.3196,65.6954,62.911,199,23.7211,6.52898,19.5059,40.7202,146.062,199,98.0202,58.7114,199
51,144.702,22.4053,35.2188,199,4.62984,68.0083,11.7346,7.8837,121.167,199,97.1429,199,196.802
52,191.495,109.615,88.1161,199,4.10862,35.5935,10.8545,70.7812,71.1279,199,96.3709,178.466,162.961
53,44.4485,86.5807,81.67,199,50.9081,17.2551,12.1105,20.64,85.0162,199,116.619,57.1173,24.4637
54,101.726,44.284,112.555,49.3214,4.22534,55.8052,23.1305,13.4817,166.645,199,95.8654,9.72861,8.27841
55,6.60877,14.8646,30.7418,199,1.08758,23.576,16.8134,9.91829,121.408,199,98.6591,49.9861,30.9803
56,4.60533,52.1709,86.0763,199,35.8639,35.3473,15.1726,66.9413,73.3054,199,97.5841,132.405,199
57,30.1338,50.98,54.1726,199,42.9872,27.4401,11.2701,102.967,23.6312,199,99.7462,87.7839,199
58,56.3364,36.0872,72.0954,182.107,4.65477,91.0959,20.984,55.6247,54.0034,199,110.526,39.2972,199
59,47.8744,62.7748,125.902,199,40.4374,2.79385,10.6871,12.4835,35.7999,199,96.749,163.413,34.8555
60,78.0345,43.4542,28.3818,199,1.09238,42.0663,8.78368,20.3223,39.9905,93.8391,97.1436,52.573,170.592
61,2.04335,43.0992,96.2466,75.6481,37.6639,72.8971,14.6722,31.6475,50.366,199,98.3047,54.003,164.934
62,61.713,40.3681,58.5026,94.5169,37.4048,7.77635,20.6065,44.405,186.712,199,94.9149,16.369,57.958
63,5.82852,41.1058,74.6432,199,20.3495,68.2799,28.0695,88.3854,55.5032,86.9455,96.0662,36.4655,184.01
64,19.8353,37.262,39.1277,199,7.20554,98.2333,21.2038,44.7553,21.3872,199,102.337,175.215,199
65,9.00677,98.4003,25.6343,199,10.8048,49.1218,18.115,58.7073,12.8003,199,95.8184,173.7,199
66,52.9866,51.6707,69.959,199,31.9605,4.14458,23.1443,68.7802,126.21,125.577,99.69,45.8319,103.422
67,145.426,60.7071,43.587,199,32.3517,61.6968,13.4091,22.1114,48.1266,199,97.9979,25.7237,199
68,153.722,66.8868,47.7636,54.3206,3.87769,26.0659,17.995,41.6185,120.858,199,95.8353,110.557,178.627
69,144.208,72.5042,82.5284,25.4166,23.1854,56.0118,7.70587,23.3112,8.63515,28.9805,95.9488,98.2367,24.8838
70,88.962,63.003,101.129,99.6223,28.8113,31.6197,20.4093,21.7092,182.045,199,98.16,72.8271,199
71,170.231,66.4767,6.98531,199,4.091,67.9936,13.4267,32.9952,56.7446,164.535,98.7597,44.9404,161.708
72,38.632,35.1824,57.2075,126.769,4.78853,65.3211,10.9603,13.132,112.597,145.244,98.5174,142.97,199
73,78.5537,51.3041,92.9827,199,44.4579,56.0245,11.1565,63.0148,61.6446,199,100.071,174.544,140.492
74,59.4202,99.1988,31.1827,139.032,38.0345,32.3719,12.3029,77.2161,60.7006,199,98.6296,87.0435,199
75,56.7323,21.4087,24.7186,199,35.7381,65.2521,11.3315,9.52488,166.272,199,96.9952,183.973,161.091
76,55.2254,29.9435,89.5028,69.0245,23.4255,69.7916,14.9017,22.8749,16.2535,37.2402,95.2798,101.381,90.9434
