name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
CHA049_20170515,0.241324,0.0228811,0.183238,0.287881,0.264205,0.218443,0.117551,0.0375391,0.0755,0.1743,0.15509,0.0800116,0.00893767
CHA049_20170603,0.240979,0.0270682,0.175451,0.314097,0.268047,0.21391,0.114816,0.0301491,0.0843,0.1617,0.144965,0.0846667,0.0137511
CHA049_20170629,0.202115,0.0242458,0.132076,0.251286,0.226361,0.177869,0.349187,0.0836072,0.2658,0.4645,0.432794,0.26558,0.0145144
CHA049_20170630,0.158799,0.0271928,0.0786662,0.229045,0.185992,0.131606,0.400919,0.0745472,0.3237,0.5052,0.475467,0.326372,0.0946551
CHA049_20170715,0.362878,0.0251794,0.297266,0.435505,0.388058,0.337699,0.24524,0.0285244,0.2114,0.2937,0.273765,0.216716,0.00356631
CHA049_20170718,0.405508,0.0284179,0.344716,0.476023,0.433926,0.37709,0.545048,0.0343252,0.5073,0.6009,0.579373,0.510723,0.0312771
CHA049_20170719,0.446146,0.0234631,0.394656,0.498539,0.469609,0.422683,0.570194,0.0333275,0.5344,0.6242,0.603521,0.536866,0.0358613
CHA049_20170720,0.442612,0.0251995,0.389398,0.504139,0.467812,0.417413,0.590809,0.031887,0.5568,0.6428,0.622696,0.558922,0.0526615
CHA049_20170721,0.487986,0.0255894,0.426888,0.556583,0.513576,0.462397,0.60534,0.0309873,0.5724,0.6563,0.636328,0.574353,0.0158167
CHA049_20170724,0.443626,0.0272573,0.353209,0.51916,0.470883,0.416369,0.615627,0.0332894,0.5815,0.6694,0.648917,0.582338,0.0623398
CHA049_20170725,0.449159,0.0266959,0.34501,0.499095,0.475855,0.422463,0.612438,0.0350571,0.5768,0.668,0.647495,0.577381,0.0777053
CHA049_20170726,0.44591,0.023429,0.369154,0.50062,0.469339,0.422481,0.61716,0.0346404,0.5821,0.6733,0.6518,0.582519,0.0814799
OBD_IRR_PADDY_20160531,23.4236,23.5625,-27.7236,98.0554,46.9861,-0.13892,497.388,59.156,387.672,551.637,556.544,438.232,289.617
OBD_IRR_PADDY_20160930,32.3268,22.4953,-17.8127,100.464,54.8221,9.83151,166.159,19.4424,140.226,183.354,185.601,146.716,39.762
OBD_IRR_PADDY_20200531,158.282,22.6799,95.3816,208.53,180.962,135.602,470.982,56.203,322.979,520.591,527.185,414.779,114.449
OBD_IRR_PADDY_20200930,215.76,24.3858,143.587,283.383,240.146,191.374,123.891,16.3375,102.052,138.633,140.228,107.553,4.95351
OBD_IRR_PADDY_20210930,247.249,20.017,203.672,298.104,267.266,227.232,121.011,26.3841,85.4431,145.121,147.396,94.6274,58.5508
