iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,base
0,77,2554.07,354.177,1818.17,3100.14,2903.13,2859.84,2808.22,3100.14,2994.28,2840.75,2647.3,2317.95,2928.33,2389.33,2290.87,2923.09,2704.26,2885.01,2021.7,2443.14,2415.45,2874.57,2295.71,2303.74,2868.33,2397.53,2982.13,2306.01,2965.39,2906.84,2302.3,1834.28,2768.56,2504.99,2583.99,2343.48,1933.59,2688.2,2471.04,2723.79,2980.38,2920.58,1837.14,2789.71,2887.85,1976.01,2313.27,1914.5,2919.82,2232.93,2309,2232.36,2245.61,2544.34,2740.36,1977.44,2957.69,2383.82,2875.8,2740.92,2997.36,1818.17,2336.92,2387.07,2743.46,3027.94,2317.73,3085.5,2371.44,2124.96,2110.68,2722.42,2208.11,2942.35,2429.71,2983.9,2353.3,2250.12,3011.83,2820.65,2313.11,,,,,,,,,,,,,,,,,,,,,,,
1,186,2067.16,276.317,1777.52,2925.35,1875.52,1807.85,1803.78,1933.15,1819.58,1822.84,2290.84,2419.02,1814.27,2433.82,2312.44,1896.23,1777.52,1828.76,2167.94,2481.58,2442.63,1800.21,2333.55,2024.89,1808.42,2388.16,2060.24,2390.58,1805.05,2469.88,2310.12,2080.82,1876.22,2442.95,2487.66,1863.54,2039.13,1889.2,1950.68,1880.48,1831,1831.31,1822.5,1848.76,2316.9,1997.78,2312.88,1873.48,1859.04,2236.18,1881.68,1949.09,2250.02,1866.2,1916.61,2301.53,1844.41,2475.39,1810.4,2345.64,2248.38,1838.11,2382.71,2083.89,1789.87,1841.91,2234.33,1824.41,2413.24,1974.64,2847.12,1806.74,1833.03,1892.17,1865.32,1864.39,2450.34,2925.35,1858.73,1831.39,1965.18,,,,,,,,,,,,,,,,,,,,,,,
2,295,1923.1,213.488,1772.77,2529.59,1799.49,1804.81,1826.03,1828.3,1825.14,1791.81,1830.69,2403.63,1805.35,2433.79,2329.69,1830.43,1785.96,1819.64,1824.19,2154.98,1806.94,1796.6,2336.62,1901.5,1805.34,1790.85,1864.94,2404.14,1816.31,1824.41,2330.35,1841.86,1858.32,1798.61,2529.59,1798.35,1815.19,1825.56,1838.73,1825.46,1836.63,1832.16,1795.09,1832.8,1803.15,1822.53,2348.91,1772.77,1843.87,1961.79,1860.82,1825.52,2295.85,1795.52,1804.78,1805.7,1808.38,2458.88,1810.21,1785.32,1824.47,1837.27,2389.04,1817.13,1782.69,1832.97,1836.93,1841.49,2417.31,1838.7,1809.17,1815.45,1827.87,1869.47,1857,1853.66,2227.7,1828.21,1866.02,1819.48,1882.5,,,,,,,,,,,,,,,,,,,,,,,
3,404,1881.74,173.445,1749.92,2468.47,1828.84,1793.1,1825.61,1812.72,1826.54,1783.64,1793.98,1819.98,1812.14,2320.96,1858.1,1835.54,1761.83,1804.72,1830.81,1869.65,1824.55,1801.83,2351.06,1799.13,1793.53,1784.36,1830.65,2294.26,1828.75,1832.22,1749.92,1843.37,1855.23,1793.86,2394.4,1801.03,1812.4,1808.83,1823.63,1827.25,1854.39,1810.71,1789.86,1837.25,1821.59,1819.44,2292.67,1770.19,1828.95,1854.26,1842.51,1847.87,2257.25,1801.4,1803.24,1803.09,1816.1,2468.47,1816.01,1781.73,1831.92,1830.24,2414.24,1804.6,1776.59,1841.77,1818.57,1802.94,2322.32,1818.39,1847.09,1814.26,1846.42,1871.63,1805.19,1814.95,1895.28,1855.42,1850.19,1803.78,1882.7,,,,,,,,,,,,,,,,,,,,,,,
4,513,1862.76,163.566,1713.36,2475.89,1823.22,1792.68,1814.4,1809.88,1827.87,1766.46,1782.96,1808.31,1811.43,1839.52,1855.31,1851.66,1752.51,1775.55,1824.95,1805.94,1820.12,1809.02,2370.96,1797.23,1797.06,1730.35,1827.2,2331.83,1795.37,1826.37,1713.36,1812.2,1856.2,1798.24,1771.55,1823.41,1815.18,1798.99,1819.85,1825.98,1862.97,1787.42,1802.25,1826.77,1829.27,1817.96,2339.91,1763.9,1805.95,1817.48,1860.34,1800.49,2292.25,1801.39,1810.68,1800.18,1807.4,2475.89,1805.28,1775.34,1837.2,1830.53,2419.14,1822.51,1784.94,1849.37,1820.96,1807.52,2327.69,1845.25,1819.73,1817.89,1846.43,1868.09,1801.38,1797.57,1798.13,1871.85,1822.5,1790.77,1886.44,,,,,,,,,,,,,,,,,,,,,,,
5,622,1817.01,118.655,1740.61,2498.01,1786.84,1789.61,1763.8,1795.1,1803.46,1779.91,1777.82,1783.83,1774.43,1804.21,1803.5,1803.72,1763.31,1827.22,1786.05,1775.03,1795.36,1781.72,2452.41,1782.24,1783.26,1740.61,1800.8,1862.05,1810.58,1803.76,1767.22,1793.21,1786.2,1781.74,1740.64,1767.47,1773.75,1788.63,1820.34,1768.71,1817.29,1781.06,1792.98,1776.43,1765.39,1821.06,2498.01,1758.72,1795.31,1813.54,1818.12,1837.15,1808.39,1766.78,1804.01,1773.6,1784.67,2094.04,1807.39,1742.53,1770.49,1804.93,2018.38,1804.86,1785.88,1775.26,1792.51,1810.41,1879.01,1801.11,1807.25,1786.5,1804.45,1826.83,1792.19,1802.67,1783.85,1812.25,1795.99,1780.7,1799.22,,,,,,,,,,,,,,,,,,,,,,,
6,731,1758.86,42.7827,1653.47,2025.13,1781.38,1760.21,1735.49,1771.26,1775.47,1733.52,1737.18,1713.5,1715.28,1739,1792.87,1773.1,1729.72,1741.92,1765.88,1736.16,1753.68,1763.04,2025.13,1767.39,1775.62,1696.86,1705.1,1792.81,1792.77,1779.25,1653.47,1787.31,1782.2,1790.97,1728.03,1746.01,1742.39,1735.06,1795.45,1733.03,1784.74,1763.91,1782.27,1743.81,1718.53,1770.64,1834.74,1692.93,1746.4,1767.46,1767.94,1771.46,1734.42,1753.24,1764.48,1751.85,1732.57,1758.27,1783.62,1750.22,1762.81,1772.9,1703,1741.91,1735.81,1787.47,1752.34,1758.74,1735.33,1771.32,1794.74,1783.25,1797.51,1726.72,1774.97,1774.58,1716.04,1779.75,1779.37,1740.17,1722.5,,,,,,,,,,,,,,,,,,,,,,,
7,840,1641.14,20.7109,1569.97,1682.43,1631.67,1679.23,1656.55,1634.6,1647.03,1668.02,1631.77,1660.21,1621.96,1636.57,1678.55,1614.18,1601.59,1624.93,1670.22,1624.45,1628.97,1645.36,1648.01,1632.9,1660.17,1569.97,1635.88,1632.09,1631.91,1652.22,1612.96,1619.24,1682.43,1631.34,1655.72,1647.13,1660.4,1651.41,1621.83,1669.01,1648.51,1625.14,1650.71,1669.04,1605.19,1657.74,1633.2,1627.96,1632.91,1659.77,1668.21,1619.62,1630.87,1624.43,1656.84,1635.09,1637.94,1634.71,1641.93,1678.37,1642.01,1645.1,1632.03,1634.25,1622.19,1670.06,1642.64,1665.45,1657.02,1677.42,1668.54,1630.3,1634.21,1619.37,1642.56,1613.93,1628.86,1630.25,1624.08,1628.85,1650.1,,,,,,,,,,,,,,,,,,,,,,,
8,949,1613.68,19.6578,1561.06,1654.57,1624.8,1585.87,1600.18,1636.44,1634.48,1588.27,1632.6,1629.86,1624.89,1595.72,1620.42,1593.36,1603.29,1631.77,1604.08,1612.81,1594.01,1581.31,1612.79,1629.21,1607.61,1604.53,1626.54,1619.41,1618.9,1631.76,1638.11,1623.69,1632.52,1620.91,1608.52,1654.57,1563.33,1609.99,1592.26,1616.18,1637.43,1561.06,1610.95,1626.96,1604.59,1612.7,1585.58,1643.17,1598.01,1626.75,1606.17,1646.66,1580.49,1597.54,1590.46,1636.6,1583.94,1629.72,1618.35,1601.36,1632.44,1622.26,1607.93,1636.39,1599.68,1652.86,1622.1,1599.12,1624.17,1614.42,1586.56,1615.97,1621.4,1635.97,1600.04,1630,1602.14,1594.3,1618.33,1632.91,1600.94,,,,,,,,,,,,,,,,,,,,,,,
9,985,1613.53,19.8807,1561.06,1654.57,1624.8,1585.87,1600.18,1636.44,1634.48,1588.27,1632.6,1629.86,1624.89,1595.72,1620.42,1593.36,1603.29,1631.77,1604.08,1612.81,1594.01,1581.31,1612.79,1629.21,1607.61,1604.53,1626.54,1619.41,1618.9,1631.76,1638.11,1623.69,1632.52,1629.43,1608.52,1654.57,1563.33,1609.99,1592.26,1616.18,1637.43,1561.06,1610.95,1626.96,1604.59,1612.7,1585.58,1643.17,1598.01,1626.75,1606.17,1641.59,1586.56,1576.1,1590.46,1636.6,1583.94,1629.72,1618.35,1601.36,1632.44,1622.26,1607.93,1636.39,1599.68,1652.86,1622.1,1599.12,1624.17,1614.42,1586.56,1615.97,1621.4,1635.97,1600.04,1630,1602.14,1594.3,1618.33,1632.91,1600.94,,,,,,,,,,,,,,,,,,,,,,,
