iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,base
0,77,2710.15,351.598,1857.49,3333.73,3060.48,3055.22,2801.96,3158.52,2921.7,3044.13,2940.54,2655.15,2952.7,2600.67,2357.82,3289.98,2861.25,3136.34,2118.13,2679.23,2694.46,3006.67,2473.17,2500.44,3006.77,2575.5,3197.21,2411.22,3061.6,2912.24,2409.21,2137.86,2883.09,2789.09,2545.38,2715.65,2011.69,2839.29,2558.81,2926.89,3076.95,3093.04,1905.57,2962.33,3220.34,2159.38,2435.86,2105.96,3196.43,2389.73,2592.01,2473.99,2500.48,2667.21,2858.58,2240.93,3117.81,2386.71,3022.59,2637.96,3333.73,1857.49,2561.42,2599.76,2645.23,3014.28,2443.74,3215.14,2606.32,2343.44,2211.3,2892.74,2290.53,3118.73,2597.63,2977.29,2419,2510.75,3081.97,2925.88,2701.23,,,,,,,,,,,,,,,,,,,,,,,
1,186,2212.67,286.527,1735.2,2907.28,2099.34,2086.75,1820.89,2121.37,1835.21,2020.37,2444.48,2708,1872.26,2645.58,2377.69,2257.83,1876.98,2036.05,2218.71,2716.66,2580.18,1936.18,2498.8,2193,1959.46,2569.48,2155.29,2494.63,1811.12,2693.17,2416.36,2371.28,1931.81,2753.09,2459.72,2161.64,2209.89,1984.07,2053.42,2097.95,2028.24,1928.23,1896.99,2054.52,2483,2152.73,2437.14,2056.09,1947.83,2383.74,2171.68,2123.03,2506.73,2010.16,2032.87,2584.4,2018.07,2457.3,1984.51,2277.73,2578.65,1856.86,2618.36,2297.18,1735.2,1936.57,2421.16,1928.22,2640.86,2264.54,2651.71,1894.74,1883.17,2023.58,2006.12,1967.05,2520.16,2907.28,1957.62,1923.31,2359.53,,,,,,,,,,,,,,,,,,,,,,,
2,295,2071.73,231.987,1694.32,2693.78,2030.51,2077.95,1835.04,1975.16,1837.68,1989.97,2026.76,2693.78,1866,2643.24,2393.08,2195.2,1884.07,2027.83,1908.28,2379.94,2010.85,1933.67,2502.14,2006.5,1953.37,2017.23,1986.56,2508.01,1822.67,1988.13,2431.86,2156.74,1916.16,2094.55,2498.39,2116.97,1923.25,1900.99,1934.49,2048.99,2017.01,1918.75,1881.38,2047.29,2016.47,1995.23,2470.55,1962.88,1962.02,2103.95,2154.53,2027.41,2548.45,1949.3,1917.85,2076.6,1973.89,2442.7,1984.42,1694.32,2128.7,1857.18,2630.25,2011.85,1724.66,1927.3,1992.56,1944.64,2648.38,2081,1834.13,1888.76,1867.76,2008.21,1988.33,1909.12,2305.09,1948.95,1967.15,1906.72,2291.4,,,,,,,,,,,,,,,,,,,,,,,
3,404,2028.31,197.539,1688.29,2652.29,2048.43,2063.12,1837.04,1971.74,1838.72,1979.31,1987.79,2132.92,1865.24,2537.75,1902.09,2196.1,1862.65,2012.86,1907.77,2067.63,2018.16,1926.67,2512.49,1923.78,1942.89,2020.67,1949.14,2395.49,1834.29,1969.22,1860.27,2146.1,1912.2,2086.01,2377.98,2113.84,1924.47,1888.31,1920.53,2046.93,2034.75,1901.22,1869.33,2049.78,2034.66,1990.49,2416.79,1960.49,1940.91,1952.14,2142.72,2041.18,2513.2,1955.47,1913.51,2075.51,1980.58,2453.17,1992.77,1688.29,2130.08,1849.73,2652.29,2000.17,1720.92,1929.61,1988.16,1904.77,2546.43,2072.82,1799.97,1887.75,1884.17,2009.83,1946.29,1886.27,1991.63,1957.37,1953.76,1891.77,2288.28,,,,,,,,,,,,,,,,,,,,,,,
4,513,2012.32,193.267,1681.06,2656.23,2046.49,2059.6,1824.27,1968.75,1842.98,1959,1981.96,2111.83,1861.22,2164.28,1895.73,2204.94,1852.96,1973.52,1901.8,2010.03,2007.17,1936.38,2526.11,1910.13,1949.47,1961.77,1940.74,2430.44,1783.06,1971.96,1832.27,2118.96,1912.74,2090.91,1865.28,2139.87,1923.54,1877.13,1915.96,2047.83,2042.95,1874.98,1884.39,2040.3,2043.19,1988.19,2462.69,1955.67,1918.58,1922.83,2158.17,2001,2545.56,1952.86,1920.57,2072.84,1969.2,2455.64,1983.69,1681.06,2147.46,1849.76,2656.23,2022.43,1724.32,1948.81,1989.82,1914.18,2553.34,2093.82,1805.91,1893,1891.72,2008,1935.9,1867.24,1887.68,1977.65,1929.69,1883.54,2292.94,,,,,,,,,,,,,,,,,,,,,,,
5,622,1968.11,152.915,1661.64,2634.19,2017.39,2052.74,1762.82,1941.41,1797.71,1975.78,1990.51,2067.84,1812.08,2073.23,1843.75,2148.93,1866.34,2061.33,1864.16,1974.04,1986.14,1907.2,2587,1888.51,1941.62,1949.48,1900.29,2019.16,1800.83,1933.17,1878.22,2085.9,1852.61,2078.2,1826.19,2080.53,1879.47,1873.38,1914.36,1986.97,1968.22,1877.91,1884.34,1990.43,1985.06,1995.98,2634.19,1946.16,1906.94,1885.4,2095.13,2041.61,2159.09,1924.68,1912.3,2026.02,1945.98,2195.06,1968.32,1661.64,2079.32,1833.09,2226.88,2009.45,1715.35,1868.06,1936.94,1914.72,2141.74,2080.52,1792.08,1862.57,1890.64,1962.32,1932.32,1873.77,1872.3,1907.95,1923.77,1888.49,2208.13,,,,,,,,,,,,,,,,,,,,,,,
6,731,1908.55,102.935,1657.35,2207.68,2004.02,2034.93,1730.74,1933.47,1779.77,1929.9,1944.85,1989.45,1751.27,2024.53,1810.88,2109.96,1836.81,1959.16,1856.77,1925.85,1956.51,1906.88,2207.68,1868.59,1933.92,1906.33,1801.08,1937.7,1788.34,1932.18,1779.71,2081.86,1849.98,2081.73,1808.31,2060.4,1849.1,1821.85,1884.25,1949.72,1926.88,1850.52,1872.72,1957.32,1937.81,1975.64,1927.52,1871.63,1867.13,1845.39,2028.69,1967.17,2108.83,1908.43,1871.27,2000.66,1885.66,1793.02,1959.11,1677.82,2059.26,1800.67,1924.73,1941.79,1657.35,1864.75,1917.35,1876.57,1982.59,2038.39,1778.47,1860.77,1872.18,1857.27,1913.92,1834.33,1798.4,1864.24,1886.78,1842.09,2124.4,,,,,,,,,,,,,,,,,,,,,,,
7,840,1796.2,97.5936,1554.06,2047.98,1860.06,1961.33,1654.15,1803.5,1667.01,1879.46,1844.76,1942.78,1660.78,1912.64,1714.99,1937.86,1716.12,1840.37,1774.39,1813.08,1817.85,1793.47,1961.69,1744.73,1827.59,1791.55,1745.58,1784.7,1625.98,1818.28,1729.94,1893.73,1757.22,1924.07,1754.86,1961.62,1787.3,1745.03,1708.34,1892.26,1796.4,1707.81,1749.32,1886.57,1839.06,1872.14,1730.36,1798.23,1751.43,1742.68,1945.69,1803.52,1991.66,1778.39,1752.52,1880.74,1806.03,1694.82,1828.55,1607.44,1922.27,1680.81,1851.83,1838.59,1554.06,1748.12,1806.75,1779.89,1908.42,1949.88,1684.92,1708.24,1718.62,1755.29,1780.31,1669.61,1715.41,1726.2,1724.72,1723.4,2047.98,,,,,,,,,,,,,,,,,,,,,,,
8,949,1767.67,98.1079,1528.85,1992.95,1842.31,1864.63,1593.87,1793.92,1644.19,1791.69,1850.94,1903.22,1662.34,1857.38,1650.14,1917.48,1719.38,1850.31,1703.17,1805.92,1782.57,1730.87,1919.39,1740.24,1774.25,1812.34,1745.37,1775.23,1619.58,1795.95,1754.42,1899.53,1715.46,1915.73,1693.43,1962.61,1691.46,1708.15,1673.63,1829.35,1777.7,1645.76,1710.84,1839.06,1830.33,1827.48,1685.46,1807.84,1717.46,1714.21,1876.08,1828.67,1946.84,1752.21,1694.41,1886.54,1746.24,1696.2,1808.28,1532.69,1911.81,1659.22,1834.5,1851.75,1528.85,1726.49,1786.91,1718.81,1874.85,1881.71,1598.53,1700.92,1704.06,1769.24,1742.77,1683.78,1694.03,1683.42,1722.55,1728.65,1992.95,,,,,,,,,,,,,,,,,,,,,,,
9,985,1767.48,98.5393,1528.85,1992.95,1842.31,1864.63,1593.87,1793.92,1644.19,1791.69,1850.94,1903.22,1662.34,1857.38,1650.14,1917.48,1719.38,1850.31,1703.17,1805.92,1782.57,1730.87,1919.39,1740.24,1774.25,1812.34,1745.37,1775.23,1619.58,1795.95,1754.42,1899.53,1715.46,1923.03,1693.43,1962.61,1691.46,1708.15,1673.63,1829.35,1777.7,1645.76,1710.84,1839.06,1830.33,1827.48,1685.46,1807.84,1717.46,1714.21,1876.08,1834.26,1951.1,1720.62,1694.41,1886.54,1746.24,1696.2,1808.28,1532.69,1911.81,1659.22,1834.5,1851.75,1528.85,1726.49,1786.91,1718.81,1874.85,1881.71,1598.53,1700.92,1704.06,1769.24,1742.77,1683.78,1694.03,1683.42,1722.55,1728.65,1992.95,,,,,,,,,,,,,,,,,,,,,,,
10,1094,1764.28,93.7062,1529.25,1994.9,1846.79,1882.01,1596.29,1743.64,1634.85,1812.88,1811.61,1863.61,1636.16,1879.49,1626.02,1919.03,1735.98,1781.45,1701.44,1785.34,1782.36,1777.02,1949.56,1710.14,1786.63,1815.53,1764.1,1770.82,1591.66,1736.94,1709.41,1882.65,1702.68,1905.7,1684.56,1914.23,1716.23,1713.35,1708.29,1828.24,1771.94,1704.06,1714.38,1854.08,1837.2,1823.58,1731.81,1759.32,1705.1,1732.96,1885.9,1819.14,1943.31,1769.9,1739.08,1881.87,1768.31,1655.56,1798.14,1529.25,1878.36,1666.64,1807.97,1778.29,1570.18,1693.02,1780.12,1716.51,1860.76,1900.14,1645.99,1701.82,1706.76,1737.78,1753.06,1655.82,1700.82,1730.53,1729.88,1708.73,1994.9,,,,,,,,,,,,,,,,,,,,,,,
11,1203,1757.63,95.1965,1521.69,1980.84,1818.39,1877.26,1630.11,1767.28,1640.37,1855.45,1811.95,1873.23,1661,1873.91,1637.91,1935.1,1681.27,1802.7,1699.27,1807.44,1800.6,1750.52,1922.96,1714.04,1772.43,1824.76,1721.02,1760.48,1594.6,1771.9,1726.94,1887.45,1684.71,1917.56,1680.84,1912.73,1714.63,1736.6,1676.3,1806.86,1756.11,1668.39,1708.45,1798.48,1819.43,1831.34,1716.58,1762.9,1715.2,1686.67,1915.43,1778.36,1914.41,1769.39,1691.06,1843.39,1769.11,1659.2,1784.93,1525.71,1873.6,1631.64,1810.86,1830.05,1521.69,1675.78,1757.09,1714.9,1852.16,1862.08,1620.44,1691.48,1683.14,1738.67,1759.5,1690.47,1665.73,1703.25,1690.61,1718.4,1980.84,,,,,,,,,,,,,,,,,,,,,,,
