iteration,total_runs,obs_realization,par_realization,cha049,obd_irr_paddy
0,77,0,0,1587.76,1315.36
0,77,1,1,1541.71,1318.13
0,77,2,2,1483.08,1325.14
0,77,3,3,1691.92,1408.22
0,77,4,4,1664.63,1329.66
0,77,5,5,1516.4,1324.35
0,77,6,6,1315.5,1331.8
0,77,7,7,1103.62,1214.32
0,77,8,8,1541.53,1386.81
0,77,9,9,1054.56,1334.76
0,77,10,10,1111.5,1179.38
0,77,11,11,1541.03,1382.05
0,77,12,12,1374.24,1330.02
0,77,13,13,1556.42,1328.6
0,77,14,14,968.241,1053.46
0,77,15,15,1139.72,1303.42
0,77,16,16,1223.36,1192.09
0,77,17,17,1555.07,1319.5
0,77,18,18,1053.68,1242.03
0,77,19,19,1120.38,1183.37
0,77,20,20,1548.76,1319.56
0,77,21,21,1120.63,1276.9
0,77,22,22,1598.91,1383.22
0,77,23,23,1117.26,1188.75
0,77,24,24,1593.55,1371.84
0,77,25,25,1566.17,1340.67
0,77,26,26,1074.43,1227.87
0,77,27,27,782.033,1052.25
0,77,28,28,1456.81,1311.74
0,77,29,29,1326.69,1178.3
0,77,30,30,1329.84,1254.15
0,77,31,31,1145.88,1197.59
0,77,32,32,907.706,1025.88
0,77,33,33,1358.61,1329.58
0,77,34,34,1100.29,1370.75
0,77,35,35,1403.83,1319.96
0,77,36,36,1583.5,1396.89
0,77,37,37,1547.77,1372.81
0,77,38,38,850.81,986.328
0,77,39,39,1469.97,1319.74
0,77,40,40,1554.81,1333.04
0,77,41,41,953.773,1022.23
0,77,42,42,1114.68,1198.59
0,77,43,43,900.02,1014.48
0,77,44,44,1578.4,1341.43
0,77,45,45,1051.69,1181.23
0,77,46,46,1027.88,1281.12
0,77,47,47,1011.55,1220.81
0,77,48,48,1027.21,1218.4
0,77,49,49,1246.52,1297.83
0,77,50,50,1415.61,1324.75
0,77,51,51,952.4,1025.04
0,77,52,52,1563.29,1394.4
0,77,53,53,1131.49,1252.33
0,77,54,54,1538.44,1337.37
0,77,55,55,1415.22,1325.7
0,77,56,56,1599.58,1397.78
0,77,57,57,830.576,987.594
0,77,58,58,1051.34,1285.59
0,77,59,59,1059.23,1327.84
0,77,60,60,1436.45,1307.02
0,77,61,61,1632.59,1395.35
0,77,62,62,1109.39,1208.35
0,77,63,63,1680.17,1405.32
0,77,64,64,1132.64,1238.8
0,77,65,65,1058.74,1066.22
0,77,66,66,902.342,1208.34
0,77,67,67,1395.9,1326.53
0,77,68,68,1012.46,1195.65
0,77,69,69,1584.75,1357.6
0,77,70,70,1166.86,1262.85
0,77,71,71,1593.84,1390.05
0,77,72,72,1126.4,1226.9
0,77,73,73,996.308,1253.81
0,77,74,74,1611.27,1400.56
0,77,75,75,1496.35,1324.3
0,77,76,76,1037.51,1275.6
1,186,0,0,877.912,997.606
1,186,1,1,793.144,1014.7
1,186,2,2,796.563,1007.22
1,186,3,3,815.418,1117.73
1,186,4,4,860.391,959.193
1,186,5,5,794.813,1028.03
1,186,6,6,1126.58,1164.26
