 april24                  
  SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2022       1    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022       2    rice140                                          2612.193    1186.681      27.960       4.421
   365    12    31  2022       3    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022       4    rice140                                          2753.567    1250.704      29.530       4.656
   365    12    31  2022       5    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022       6    rice140                                          2916.857    1324.701      31.337       4.927
   365    12    31  2022       7    rice140                                          2610.149    1185.755      27.938       4.418
   365    12    31  2022       8    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022       9    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      10    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      11    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      12    rice140                                          2633.046    1196.123      28.193       4.456
   365    12    31  2022      13    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      14    rice140                                          2726.445    1238.420      29.230       4.611
   365    12    31  2022      15    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      16    rice140                                          2795.315    1269.621      29.993       4.725
   365    12    31  2022      17    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      18    rice140                                          2996.644    1360.858      32.219       5.060
   365    12    31  2022      19    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      20    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      21    rice140                                          2491.329    1131.948      26.617       4.221
   365    12    31  2022      22    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      23    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      24    rice140                                          3311.456    1503.534      35.664       5.581
   365    12    31  2022      25    rice140                                          3128.391    1420.568      33.669       5.277
   365    12    31  2022      26    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      27    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      28    rice140                                          2761.753    1254.413      29.621       4.669
   365    12    31  2022      29    rice140                                          3318.023    1506.509      35.724       5.589
   365    12    31  2022      30    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      31    rice140                                          3203.132    1454.441      34.494       5.402
   365    12    31  2022      32    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      33    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      34    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      35    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      36    rice140                                          2534.137    1151.329      27.093       4.292
   365    12    31  2022      37    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      38    rice140                                          3321.282    1507.985      35.760       5.595
   365    12    31  2022      39    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      40    rice140                                          3328.321    1511.175      35.837       5.607
   365    12    31  2022      41    rice140                                          3218.105    1461.229      34.660       5.427
   365    12    31  2022      42    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      43    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      44    rice140                                          2875.250    1305.846      30.877       4.858
   365    12    31  2022      45    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      46    rice140                                          3092.870    1404.469      33.277       5.218
   365    12    31  2022      47    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      48    rice140                                          2542.785    1155.245      27.189       4.307
   365    12    31  2022      49    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      50    rice140                                          2709.913    1230.931      29.047       4.583
   365    12    31  2022      51    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      52    rice140                                          3090.738    1403.503      33.253       5.214
   365    12    31  2022      53    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      54    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      55    rice140                                          3086.658    1401.652      33.208       5.208
   365    12    31  2022      56    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      57    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      58    rice140                                          2745.279    1246.949      29.439       4.642
   365    12    31  2022      59    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      60    rice140                                          2737.360    1243.362      29.351       4.629
   365    12    31  2022      61    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      62    rice140                                          2596.565    1179.603      27.786       4.396
   365    12    31  2022      63    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      64    rice140                                          3052.812    1386.312      32.841       5.153
   365    12    31  2022      65    rice140                                          2810.178    1276.357      30.157       4.750
   365    12    31  2022      66    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      67    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      68    rice140                                          2826.777    1283.879      30.341       4.777
   365    12    31  2022      69    rice140                                          2966.868    1347.361      31.890       5.010
   365    12    31  2022      70    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      71    rice140                                          3052.013    1385.950      32.832       5.151
   365    12    31  2022      72    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      73    rice140                                          3046.863    1383.616      32.775       5.143
   365    12    31  2022      74    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      75    wetm                                                0.000       0.000       0.000       0.000
   365    12    31  2022      76    rice140                                          2490.896    1131.752      26.612       4.221
   365    12    31  2022      77    wetm                                                0.000       0.000       0.000       0.000
