 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2016       1       1  hru01          0.000       0.000      13.003      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.530           10.543            0.000            0.000
   366    12    31  2016       2       2  hru02          0.000       0.000      -2.493      -9.286          120.000           13.200            0.000            0.000           13.713           -2.714            2.351            3.083            0.835            0.000            0.000           80.819           14.676            0.000            0.000
   366    12    31  2016       3       3  hru03          0.000       0.000      13.003      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.529           10.543            0.000            0.000
   366    12    31  2016       4       4  hru04          0.000       0.000      -2.865      -9.353          120.000           13.200            0.000            0.000           14.306           -2.815            2.453            3.164            0.865            0.000            0.000           84.516           15.344            0.000            0.000
   366    12    31  2016       5       5  hru05          0.000       0.000      13.002      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.530           10.543            0.000            0.000
   366    12    31  2016       6       6  hru06          0.000       0.000      -3.415      -9.412          120.000           13.200            0.000            0.000           14.776           -2.891            2.533            3.292            0.908            0.000            0.000           89.746           16.290            0.000            0.000
   366    12    31  2016       7       7  hru07          0.000       0.000      -2.486      -9.286          120.000           13.200            0.000            0.000           13.709           -2.714            2.350            3.081            0.834            0.000            0.000           80.734           14.661            0.000            0.000
   366    12    31  2016       8       8  hru08          0.000       0.000      13.002      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.530           10.543            0.000            0.000
   366    12    31  2016       9       9  hru09          0.000       0.000      13.002      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.530           10.543            0.000            0.000
   366    12    31  2016      10      10  hru10          0.000       0.000      13.002      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.529           10.543            0.000            0.000
   366    12    31  2016      11      11  hru11          0.000       0.000      13.003      -1.254            0.000            0.000            0.000           15.953           13.665            3.877            2.326          141.900           26.830            0.000            0.000           56.530           10.543            0.000            0.000
   366    12    31  2016      12      12  hru12          0.000       0.000      -2.593      -9.314          120.000           13.200            0.000            0.000           13.767           -2.720            2.360            3.099            0.840            0.000            0.000           81.459           14.792            0.000            0.000
