 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2022      1       0  rtu010                 0.495    1410.854    2592.099     127.652      12.971      10.304       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      2       0  rtu020                 1.591  111746.031       0.000   24720.074      12.104      53.175       0.000      99.945       0.000       0.024     547.778       2.979       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      3       0  rtu030                 1.591  111743.852       0.000   24719.500      12.104      53.177       0.000      99.945       0.000       0.024     547.767       2.978       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      4       0  rtu040                 1.591  111744.539       0.000   24719.678      12.104      53.177       0.000      99.945       0.000       0.024     547.771       2.978       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      5       0  rtu050                 0.495    1409.975    2590.758     127.584      12.970      10.325       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      6       0  rtu060                 0.495    1419.599    2603.385     128.224      12.983      10.105       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      7       0  rtu070                 0.496    1462.720    2667.560     131.408      13.024       9.046       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      8       0  rtu080                 0.496    1494.965    2721.021     134.008      13.070       8.241       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022      9       0  rtu090                 0.497    1580.791    2872.927     141.498      13.182       5.871       0.000       8.696       0.000       0.000       0.000       0.015       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     10       0  rtu100                 0.494    1353.271    2508.340     123.504      12.901      11.638       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     11       0  rtu110                 0.497    1709.112    3127.781     153.705      13.784       0.952       0.000       8.696       0.000       0.000       0.000       0.318       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     12       0  rtu120                 0.496    1477.165    2690.627     132.507      13.050       8.696       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     13       0  rtu130                 0.497    1667.922    3047.499     150.074      13.406       2.524       0.000       8.696       0.000       0.000       0.000       0.114       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     14       0  rtu140                 0.497    1616.130    2941.803     144.886      13.238       4.616       0.000       8.696       0.000       0.000       0.000       0.039       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     15       0  rtu150                 0.497    1501.074    2732.190     134.568      13.077       8.070       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     16       0  rtu160                 0.497    1600.618    2911.289     143.402      13.213       5.147       0.000       8.696       0.000       0.000       0.000       0.029       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     17       0  rtu170                 0.497    1662.509    3035.276     149.471      13.383       2.792       0.000       8.696       0.000       0.000       0.000       0.087       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     18       0  rtu180                 0.497    1712.087    3132.596     153.904      14.303       0.825       0.000       8.696       0.000       0.000       0.000       1.259       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     19       0  rtu190                 0.494    1374.305    2537.405     124.955      12.924      11.168       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     20       0  rtu200                 0.497    1618.768    2947.009     145.140      13.246       4.511       0.000       8.696       0.000       0.000       0.000       0.043       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     21       0  rtu210                 0.497    1713.772    3135.495     154.026      14.435       0.770       0.000       8.696       0.000       0.000       0.000       1.264       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     22       0  rtu220                 0.495    1379.110    2544.199     125.278      12.933      11.062       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     23       0  rtu230                 0.496    1473.075    2683.571     132.166      13.043       8.796       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     24       0  rtu240                 0.495    1404.168    2582.057     127.146      12.966      10.463       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     25       0  rtu250                 0.497    1529.653    2782.130     137.050      13.111       7.292       0.000       8.696       0.000       0.000       0.000       0.001       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     26       0  rtu260                 0.496    1455.731    2656.401     130.845      13.016       9.222       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     27       0  rtu270                 0.496    1468.960    2677.200     131.865      13.037       8.899       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     28       0  rtu280                 0.497    1632.848    2974.965     146.531      13.273       3.968       0.000       8.696       0.000       0.000       0.000       0.053       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     29       0  rtu290                 0.496    1480.873    2696.923     132.815      13.056       8.601       0.000       8.696       0.000       0.000       0.000       0.000       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     30       0  rtu300                 0.497    1617.886    2945.203     145.050      13.244       4.548       0.000       8.696       0.000       0.000       0.000       0.042       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
    365    12    31  2022     31       0  rtu310                 0.497    1600.997    2911.989     143.435      13.214       5.135       0.000       8.696       0.000       0.000       0.000       0.029       0.000      22.355       9.648      16.002      16.657       1.909       0.702       0.818       0.000       0.000       0.000       0.000
