 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    366    12    31  2016      1       0  rtu010               255.700       0.000       0.000    1213.126       0.000    1213.126       0.000    1170.825       2.074     194.100     974.651    2426.253       0.000      18.131      25.976      21.282      11.970       0.000       0.000       0.000    1199.826       0.000    2134.022       0.000       0.000       0.000    2426.253       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       7.845       0.000       0.000       0.000       0.000
    366    12    31  2016      2       0  rtu020               255.700       0.000       0.000       0.000       0.000       0.001       0.634     273.025      18.749     240.245      14.031       0.000      67.016     125.126     107.167      85.418      10.309       0.000       0.000       0.000    1199.819       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -17.959       0.000       0.368       0.000       0.000
    366    12    31  2016      3       0  rtu030               255.700       0.000       0.000       0.000       0.002       0.003       0.634     273.021      18.750     240.240      14.031       0.000      67.016     125.124     107.166      85.416      10.309       0.000       0.000       0.000    1199.825       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.002       0.000       0.000       0.000       0.000       0.000     -17.957       0.000       1.437       0.000       0.000
    366    12    31  2016      4       0  rtu040               255.700       0.000       0.000       0.000       0.001       0.001       0.634     273.023      18.750     240.243      14.031       0.000      67.016     125.125     107.167      85.417      10.309       0.000       0.000       0.000    1199.828       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000     -17.958       0.000       0.705       0.000       0.000
    366    12    31  2016      5       0  rtu050               255.700       0.000       0.000    1216.301       0.000    1216.301       0.000    1170.437       2.074     193.927     974.437    2432.603       0.000      18.129      25.895      21.267      11.963       0.000       0.000       0.000    1199.826       0.000    2136.730       0.000       0.000       0.000    2432.603       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       7.766       0.000       0.000       0.000       0.000
    366    12    31  2016      6       0  rtu060               255.700       0.000       0.000    1237.545       0.000    1237.545       0.000    1176.274       2.074     195.471     978.729    2475.090       0.000      18.368      27.045      21.564      12.063       0.000       0.000       0.000    1199.825       0.000    2164.722       0.000       0.000       0.000    2475.090       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       8.677       0.000       0.000       0.000       0.000
    366    12    31  2016      7       0  rtu070               255.700       0.000       0.000    1219.014       0.000    1219.014       0.000    1185.717       2.074     201.693     981.950    2438.028       0.000      19.163      30.540      22.832      12.312       0.000       0.000       0.000    1199.825       0.000    2158.334       0.000       0.000       0.000    2438.028       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      11.377       0.000       0.000       0.000       0.000
    366    12    31  2016      8       0  rtu080               255.700       0.000       0.000    1195.643       0.000    1195.643       0.000    1200.502       2.074     206.542     991.886    2391.285       0.000      21.417      29.573      24.518      12.469       0.000       0.000       0.000    1199.826       0.000    2146.525       0.000       0.000       0.000    2391.285       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       8.156       0.000       0.000       0.000       0.000
    366    12    31  2016      9       0  rtu090               255.700       0.000       0.000    1148.252       0.000    1148.252       0.035    1239.182       2.074     223.198    1013.909    2296.504       0.000      24.539      34.957      28.325      13.206       0.000       0.000       0.000    1199.825       0.000    2140.111       0.000       0.000       0.000    2296.504       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      10.418       0.000       0.000       0.000       0.000
    366    12    31  2016     10       0  rtu100               255.700       0.000       0.000    1249.285       0.000    1249.285       0.000    1131.019       2.070     185.328     943.621    2498.571       0.000      14.985      19.959      18.449      11.217       0.000       0.000       0.000    1199.829       0.000    2127.508       0.000       0.000       0.000    2498.571       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.974       0.000       0.000       0.000       0.000
    366    12    31  2016     11       0  rtu110               255.700       0.000       0.000    1087.448       0.000    1087.448       0.166    1284.328       2.075     232.252    1050.001    2174.897       0.000      39.474      66.113      45.527      14.107       0.000       0.000       0.000    1199.822       0.000    2140.807       0.000       0.000       0.000    2174.897       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.639       0.000       0.000       0.000       0.000
    366    12    31  2016     12       0  rtu120               255.700       0.000       0.000    1174.804       0.000    1174.804       0.000    1197.617       2.074     203.351     992.192    2349.607       0.000      20.608      32.126      24.048      12.486       0.000       0.000       0.000    1199.827       0.000    2126.164       0.000       0.000       0.000    2349.607       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      11.518       0.000       0.000       0.000       0.000
