 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    365    12    31  2022      1       0  rtu010                 0.003       0.000       0.000      20.718       0.000       1.698       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      2       0  rtu020                 0.000       0.000       0.000       0.019       0.002       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022      3       0  rtu030                 0.000       0.001       0.000       0.019       0.013       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022      4       0  rtu040                 0.000       0.000       0.000       0.019       0.005       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022      5       0  rtu050                 0.004       0.000       0.000      20.761       0.000       1.702       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      6       0  rtu060                 0.003       0.000       0.000      21.520       0.000       1.724       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      7       0  rtu070                 0.003       0.000       0.000      23.187       0.000       1.685       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      8       0  rtu080                 0.002       0.000       0.000      22.809       0.000       1.650       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022      9       0  rtu090                 0.001       0.000       0.000      22.812       0.000       1.527       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     10       0  rtu100                 0.009       0.000       0.000      22.903       0.000       1.775       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     11       0  rtu110                 0.000       0.000       0.000      17.582       0.000       1.379       0.000       0.000       0.000       0.002       0.000       0.000
    365    12    31  2022     12       0  rtu120                 0.002       0.000       0.000      23.115       0.000       1.644       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     13       0  rtu130                 0.000       0.000       0.000      15.961       0.000       1.021       0.000       0.000       0.000       0.001       0.000       0.000
    365    12    31  2022     14       0  rtu140                 0.001       0.000       0.000      21.258       0.000       1.500       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     15       0  rtu150                 0.001       0.000       0.000      21.166       0.000       1.617       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     16       0  rtu160                 0.001       0.000       0.000      21.869       0.000       1.500       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     17       0  rtu170                 0.001       0.000       0.000      22.101       0.000       1.455       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     18       0  rtu180                 0.000       0.000       0.000      18.303       0.000       1.353       0.000       0.000       0.000       0.016       0.000       0.000
    365    12    31  2022     19       0  rtu190                 0.005       0.000       0.000      24.186       0.000       1.814       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     20       0  rtu200                 0.001       0.000       0.000      20.818       0.000       1.465       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     21       0  rtu210                 0.000       0.000       0.000      18.503       0.000       1.320       0.000       0.000       0.000       0.027       0.000       0.000
    365    12    31  2022     22       0  rtu220                 0.003       0.000       0.000      23.428       0.000       1.754       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     23       0  rtu230                 0.001       0.000       0.000      23.371       0.000       1.671       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     24       0  rtu240                 0.002       0.000       0.000      22.494       0.000       1.716       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     25       0  rtu250                 0.001       0.000       0.000      20.912       0.000       1.623       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     26       0  rtu260                 0.002       0.000       0.000      23.454       0.000       1.719       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     27       0  rtu270                 0.001       0.000       0.000      18.473       0.000       1.625       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     28       0  rtu280                 0.001       0.000       0.000      17.478       0.000       1.446       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     29       0  rtu290                 0.002       0.000       0.000      21.500       0.000       1.642       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     30       0  rtu300                 0.001       0.000       0.000      20.994       0.000       1.476       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     31       0  rtu310                 0.001       0.000       0.000      21.839       0.000       1.497       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     32       0  rtu320                 0.001       0.000       0.000      21.619       0.000       1.619       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     33       0  rtu330                 0.001       0.000       0.000      23.210       0.000       1.530       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     34       0  rtu340                 0.001       0.000       0.000      20.899       0.000       1.539       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2022     35       0  rtu350                 0.000       0.000       0.000       0.019       0.003       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022     36       0  rtu360                 0.000       0.000       0.000       0.019       0.002       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022     37       0  rtu370                 0.000       0.000       0.000       0.019       0.001       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022     38       0  rtu380                 0.000       0.000       0.000       0.019       0.001       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022     39       0  rtu390                 0.000       0.000       0.000       0.019       0.000       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022     40       0  rtu400                 0.000       0.000       0.000       0.019       0.000       0.037       0.000       0.000       0.000       0.013       0.000       0.000
    365    12    31  2022     41       0  rtu410                 0.000       0.000       0.000       0.019       0.000       0.037       0.000       0.000       0.000       0.013       0.000       0.000
