 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2023       1      10  aqu010                    0.000          4.623        266.963          3.270          0.164         11.947          0.612          0.000          0.500          0.000          5.212          5.209          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023       2      20  aqu020                    0.000          3.624        316.851         20.444          1.022         22.331          0.695          0.000          0.500          0.000          5.966          5.958          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023       3      30  aqu030                    0.000          4.623        266.962          3.268          0.163         11.945          0.611          0.000          0.500          0.000          5.206          5.203          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023       4      40  aqu040                    0.000          3.592        318.442         20.668          1.033         22.331          0.736          0.000          0.500          0.000          6.312          6.305          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023       5      50  aqu050                    0.000          4.623        266.963          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.214          5.211          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023       6      60  aqu060                    0.000          3.558        320.136         20.922          1.046         22.331          0.761          0.000          0.500          0.000          6.524          6.519          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023       7      70  aqu070                    0.000          3.624        316.837         20.443          1.022         22.331          0.695          0.000          0.500          0.000          5.964          5.955          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023       8      80  aqu080                    0.000          4.623        266.963          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.214          5.211          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023       9      90  aqu090                    0.000          4.623        266.963          3.270          0.164         11.947          0.612          0.000          0.500          0.000          5.212          5.209          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      10     100  aqu100                    0.000          4.623        266.962          3.268          0.163         11.945          0.611          0.000          0.500          0.000          5.208          5.205          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      11     110  aqu110                    0.000          4.623        266.935          3.272          0.164         11.949          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      12     120  aqu120                    0.000          3.621        317.028         20.477          1.024         22.331          0.699          0.000          0.500          0.000          6.002          5.993          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      13     130  aqu130                    0.000          4.623        266.963          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.215          5.212          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      14     140  aqu140                    0.000          3.600        318.070         20.634          1.032         22.331          0.728          0.000          0.500          0.000          6.242          6.234          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      15     150  aqu150                    0.000          4.623        266.963          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.214          5.211          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      16     160  aqu160                    0.000          3.578        319.141         20.780          1.039         22.331          0.747          0.000          0.500          0.000          6.409          6.402          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      17     170  aqu170                    0.000          4.623        266.937          3.271          0.164         11.945          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      18     180  aqu180                    0.000          3.547        320.687         21.008          1.050         22.331          0.771          0.000          0.500          0.000          6.614          6.609          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      19     190  aqu190                    0.000          4.623        266.963          3.270          0.164         11.947          0.612          0.000          0.500          0.000          5.212          5.209          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      20     200  aqu200                    0.000          4.623        266.958          3.265          0.163         11.944          0.610          0.000          0.500          0.000          5.198          5.195          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      21     210  aqu210                    0.000          3.657        315.205         20.146          1.007         22.331          0.757          0.000          0.500          0.000          6.497          6.486          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      22     220  aqu220                    0.000          4.623        266.960          3.266          0.163         11.943          0.610          0.000          0.500          0.000          5.200          5.197          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      23     230  aqu230                    0.000          4.623        266.963          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.214          5.211          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      24     240  aqu240                    0.000          3.486        323.758         21.536          1.077         22.331          0.821          0.000          0.500          0.000          7.032          7.029          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      25     250  aqu250                    0.000          3.526        321.761         21.242          1.062         22.331          0.784          0.000          0.500          0.000          6.717          6.713          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      26     260  aqu260                    0.000          4.623        266.965          3.270          0.164         11.944          0.612          0.000          0.500          0.000          5.213          5.210          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      27     270  aqu270                    0.000          4.623        266.961          3.267          0.163         11.944          0.611          0.000          0.500          0.000          5.204          5.201          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      28     280  aqu280                    0.000          3.589        318.585         20.696          1.035         22.331          0.734          0.000          0.500          0.000          6.294          6.287          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      29     290  aqu290                    0.000          3.451        325.491         21.793          1.090         22.331          0.847          0.000          0.500          0.000          7.252          7.254          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      30     300  aqu300                    0.000          4.623        266.938          3.271          0.164         11.943          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      31     310  aqu310                    0.000          3.509        322.595         21.356          1.068         22.331          0.804          0.000          0.500          0.000          6.890          6.886          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      32     320  aqu320                    0.000          4.623        266.963          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.214          5.211          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      33     330  aqu330                    0.000          4.623        266.962          3.268          0.163         11.945          0.611          0.000          0.500          0.000          5.206          5.203          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      34     340  aqu340                    0.000          4.623        266.960          3.266          0.163         11.942          0.610          0.000          0.500          0.000          5.200          5.197          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      35     350  aqu350                    0.000          4.623        266.937          3.271          0.164         11.945          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      36     360  aqu360                    0.000          4.615        267.321          4.874          0.244         13.647          0.334          0.000          0.500          0.000          2.866          2.861          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      37     370  aqu370                    0.000          4.623        266.963          3.265          0.163         11.936          0.610          0.000          0.500          0.000          5.198          5.195          0.000          0.002          0.000          0.000          0.000
