 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    31     1    31  2016       1       1  hru01                  0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.272       0.000      24.047       2.225       0.000      67.016      53.667      27.395      36.999      21.080       0.000       0.000       0.000     104.903       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -26.272       0.000       0.003       0.000       0.000
    31     1    31  2016       2       2  hru02                  0.000       0.000       0.000       0.000       0.000       0.000       1.399      43.002       0.000       0.000      43.002       0.000       0.000     226.958     182.556     198.631       8.562       0.000       0.000       0.000     104.902       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -44.401       0.000       0.007       0.000       0.000
    31     1    31  2016       3       3  hru03                  0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.271       0.000      24.046       2.225       0.000      67.016      53.666      27.395      36.999      21.080       0.000       0.000       0.000     104.901       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -26.271       0.000       0.005       0.000       0.000
    31     1    31  2016       4       4  hru04                  0.000       0.000       0.000       0.000       0.000       0.000       1.411      45.476       0.000       0.000      45.476       0.000       0.000     231.696     184.808     201.758       9.562       0.000       0.000       0.000     104.901       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -46.887       0.000       0.032       0.000       0.000
    31     1    31  2016       5       5  hru05                  0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.272       0.000      24.047       2.225       0.000      67.016      53.667      27.396      36.999      21.080       0.000       0.000       0.000     104.904       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -26.272       0.000       0.001       0.000       0.000
    31     1    31  2016       6       6  hru06                  0.000       0.000       0.000       0.000       0.000       0.000       1.422      50.018       0.000       0.000      50.018       0.000       0.000     240.610     189.170     207.470      11.334       0.000       0.000       0.000     104.902       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -51.440       0.000       0.015       0.000       0.000
    31     1    31  2016       7       7  hru07                  0.000       0.000       0.000       0.000       0.000       0.000       1.398      42.956       0.000       0.000      42.956       0.000       0.000     226.861     182.507     198.563       8.547       0.000       0.000       0.000     104.902       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -44.354       0.000       0.049       0.000       0.000
    31     1    31  2016       8       8  hru08                  0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.272       0.000      24.047       2.225       0.000      67.016      53.667      27.396      36.999      21.080       0.000       0.000       0.000     104.904       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -26.272       0.000       0.002       0.000       0.000
    31     1    31  2016       9       9  hru09                  0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.272       0.000      24.047       2.225       0.000      67.016      53.667      27.396      36.999      21.080       0.000       0.000       0.000     104.903       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -26.272       0.000       0.003       0.000       0.000
    31     1    31  2016      10      10  hru10                  0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.272       0.000      24.047       2.225       0.000      67.016      53.667      27.396      36.999      21.080       0.000       0.000       0.000     104.903       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -26.272       0.000       0.005       0.000       0.000
