name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
awc,2,0.574713,0.850573,3.14943,2.04133,0.574094,0.893144,3.18952
canmx,2,0.574713,0.850573,3.14943,1.95775,0.574178,0.809395,3.10611
cn2,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
cn3_swf,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
epco,2,0.574713,0.850573,3.14943,2.04963,0.574037,0.90156,3.19771
esco,2,0.574713,0.850573,3.14943,2.01034,0.574065,0.862208,3.15847
lat_len,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
latq_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
perco,2,0.574713,0.850573,3.14943,2,0.574713,0.850574,3.14943
petco,2,0.574713,0.850573,3.14943,2.03024,0.00924216,2.01176,2.04873
revap_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
surlag,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
