time,elapsed_seconds,message
13:42:15,9.05e-05,PEST++ performance logger started
13:42:15,0.0006861,starting to process control file
13:42:15,0.0101294,finished processing control file
13:42:15,0.0099449,loading parcov
13:42:15,0.0043244,beginning iteration 1
13:42:15,9.56e-05,commencing to build jacobian parameter sets
13:42:15,0.0021434,jacobian parameter sets built, commencing model runs
13:42:35,19.6387,jacobian runs complete, processing runs
13:42:35,0.0004135,processing jacobian runs complete
13:42:35,1.15e-05,saving jacobian and sen files
13:42:35,0.0014406,commencing calculation of upgrade vector
13:42:35,0.0001188,forming JtQJ matrix
13:42:35,3.48e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,1.53e-05,starting REDSVD
13:42:35,0.0001638,retrieving REDSVD components
13:42:35,2.64e-05,triming REDSVD components to 5elements
13:42:35,1.53e-05,done REDSVD
13:42:35,4.72e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,6.9e-06,JS
13:42:35,1.64e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,4.56e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,6.8e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.6e-06,starting REDSVD
13:42:35,3.29e-05,retrieving REDSVD components
13:42:35,1.13e-05,triming REDSVD components to 5elements
13:42:35,7.9e-06,done REDSVD
13:42:35,5.5e-06,SVD factorization complete
13:42:35,0.0001275,commencing linear algebra multiplication to compute ugrade
13:42:35,7.9e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,1.56e-05,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,7.3e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,4.95e-05,linear algebra multiplication to compute ugrade complete
13:42:35,7.15e-05,commencing check of parameter bounds and gradients
13:42:35,0.0012359,beginning upgrade vector calculations, lambda = 0.1
13:42:35,6.91e-05,commencing calculation of upgrade vector
13:42:35,0.0001203,forming JtQJ matrix
13:42:35,1.81e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,6.7e-06,starting REDSVD
13:42:35,3.83e-05,retrieving REDSVD components
13:42:35,1.09e-05,triming REDSVD components to 5elements
13:42:35,8.4e-06,done REDSVD
13:42:35,1.56e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,6.3e-06,JS
13:42:35,9.3e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.88e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.9e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.5e-06,starting REDSVD
13:42:35,3.13e-05,retrieving REDSVD components
13:42:35,1.05e-05,triming REDSVD components to 5elements
13:42:35,8.4e-06,done REDSVD
13:42:35,5.5e-06,SVD factorization complete
13:42:35,0.000103,commencing linear algebra multiplication to compute ugrade
13:42:35,7.1e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.7e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,6.7e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.25e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.93e-05,commencing check of parameter bounds and gradients
13:42:35,2.36e-05,commencing calculation of upgrade vector
13:42:35,8.42e-05,forming JtQJ matrix
13:42:35,1.72e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,6.2e-06,starting REDSVD
13:42:35,2.88e-05,retrieving REDSVD components
13:42:35,1.08e-05,triming REDSVD components to 5elements
13:42:35,8.6e-06,done REDSVD
13:42:35,1.34e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5e-06,JS
13:42:35,8.4e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.69e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.8e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.2e-06,starting REDSVD
13:42:35,2.71e-05,retrieving REDSVD components
13:42:35,9.1e-06,triming REDSVD components to 5elements
13:42:35,5.57e-05,done REDSVD
13:42:35,1.14e-05,SVD factorization complete
13:42:35,0.0001674,commencing linear algebra multiplication to compute ugrade
13:42:35,1.08e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,7.6e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,7.5e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.41e-05,linear algebra multiplication to compute ugrade complete
13:42:35,2.04e-05,commencing check of parameter bounds
13:42:35,9.2e-06,limiting out of bounds pars
13:42:35,3.62e-05,change limit/bound enforement for lambda 0.1: upper change limit,ESCO, scaling factor: 3.33695e-144
13:42:35,0.0005153,checking for denormal floating point values
13:42:35,1.75e-05,transforming upgrade pars to model pars
13:42:35,9.2e-06,writing upgrade vector to csv file
13:42:35,0.0002814,beginning upgrade vector calculations, lambda = 1
13:42:35,5.52e-05,commencing calculation of upgrade vector
13:42:35,0.0001015,forming JtQJ matrix
13:42:35,1.59e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.7e-06,starting REDSVD
13:42:35,3.46e-05,retrieving REDSVD components
13:42:35,1.13e-05,triming REDSVD components to 5elements
13:42:35,7.9e-06,done REDSVD
13:42:35,1.44e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.6e-06,JS
13:42:35,9e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.8e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.8e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.1e-06,starting REDSVD
13:42:35,2.83e-05,retrieving REDSVD components
13:42:35,9.9e-06,triming REDSVD components to 5elements
13:42:35,7.3e-06,done REDSVD
13:42:35,6.1e-06,SVD factorization complete
13:42:35,0.0001054,commencing linear algebra multiplication to compute ugrade
13:42:35,7.2e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.9e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,7.4e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.1e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.75e-05,commencing check of parameter bounds and gradients
13:42:35,8.7e-06,commencing calculation of upgrade vector
13:42:35,7.73e-05,forming JtQJ matrix
13:42:35,1.4e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.1e-06,starting REDSVD
13:42:35,2.74e-05,retrieving REDSVD components
13:42:35,9.5e-06,triming REDSVD components to 5elements
13:42:35,7.3e-06,done REDSVD
13:42:35,1.26e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.6e-06,JS
13:42:35,8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.65e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.2e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,4.8e-06,starting REDSVD
13:42:35,2.93e-05,retrieving REDSVD components
13:42:35,9.4e-06,triming REDSVD components to 5elements
13:42:35,8.9e-06,done REDSVD
13:42:35,5.4e-06,SVD factorization complete
13:42:35,0.0001105,commencing linear algebra multiplication to compute ugrade
13:42:35,6.9e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,7e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,8e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.15e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.89e-05,commencing check of parameter bounds
13:42:35,7.1e-06,limiting out of bounds pars
13:42:35,1.59e-05,change limit/bound enforement for lambda 1: upper change limit,ESCO, scaling factor: 5.39916e-20
13:42:35,0.0003983,checking for denormal floating point values
13:42:35,8.4e-06,transforming upgrade pars to model pars
13:42:35,8e-06,writing upgrade vector to csv file
13:42:35,0.0001679,beginning upgrade vector calculations, lambda = 10
13:42:35,0.0005489,commencing calculation of upgrade vector
13:42:35,8.87e-05,forming JtQJ matrix
13:42:35,1.58e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.8e-06,starting REDSVD
13:42:35,3.93e-05,retrieving REDSVD components
13:42:35,1.08e-05,triming REDSVD components to 5elements
13:42:35,7.7e-06,done REDSVD
13:42:35,1.38e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.2e-06,JS
13:42:35,7.9e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.67e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.6e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.1e-06,starting REDSVD
13:42:35,2.68e-05,retrieving REDSVD components
13:42:35,9e-06,triming REDSVD components to 5elements
13:42:35,7e-06,done REDSVD
13:42:35,5.5e-06,SVD factorization complete
13:42:35,0.0001307,commencing linear algebra multiplication to compute ugrade
13:42:35,8.2e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.7e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,6.6e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.16e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.75e-05,commencing check of parameter bounds and gradients
13:42:35,8.5e-06,commencing calculation of upgrade vector
13:42:35,7.86e-05,forming JtQJ matrix
13:42:35,1.46e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.7e-06,starting REDSVD
13:42:35,2.82e-05,retrieving REDSVD components
13:42:35,9.7e-06,triming REDSVD components to 5elements
13:42:35,7.4e-06,done REDSVD
13:42:35,1.27e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.1e-06,JS
13:42:35,8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.67e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.5e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.1e-06,starting REDSVD
13:42:35,2.67e-05,retrieving REDSVD components
13:42:35,9.1e-06,triming REDSVD components to 5elements
13:42:35,6.9e-06,done REDSVD
13:42:35,5.5e-06,SVD factorization complete
13:42:35,0.0001019,commencing linear algebra multiplication to compute ugrade
13:42:35,7.3e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.9e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,7.8e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.21e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.9e-05,commencing check of parameter bounds
13:42:35,7.8e-06,limiting out of bounds pars
13:42:35,1.56e-05,change limit/bound enforement for lambda 10: upper change limit,ESCO, scaling factor: 8.81881e-05
13:42:35,0.0004279,checking for denormal floating point values
13:42:35,8.1e-06,transforming upgrade pars to model pars
13:42:35,7.7e-06,writing upgrade vector to csv file
13:42:35,0.0001832,beginning upgrade vector calculations, lambda = 100
13:42:35,6.69e-05,commencing calculation of upgrade vector
13:42:35,8.49e-05,forming JtQJ matrix
13:42:35,1.59e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.6e-06,starting REDSVD
13:42:35,3.41e-05,retrieving REDSVD components
13:42:35,1.1e-05,triming REDSVD components to 5elements
13:42:35,8e-06,done REDSVD
