 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                         m^3/s   
    31     1    31  2016         1     1  prueba                0.2887E-01     0.0000E+00     0.4155E-01     0.2888E-01     0.2821E-05     0.1400E-05     0.1400E-05     0.0000E+00     0.1400E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.9646E-02     0.0000E+00     0.1433E-01     0.3596E-02
    60     2    29  2016         1     1  prueba                0.7334E-05     0.0000E+00     0.7214E-05     0.7729E-05     0.4071E-07     0.8582E-08     0.8582E-08     0.0000E+00     0.8582E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7348E-05     0.0000E+00     0.3601E-05     0.2375E-02
    91     3    31  2016         1     1  prueba                0.5008E-05     0.0000E+00     0.5155E-05     0.7456E-05     0.3901E-07     0.9350E-08     0.9350E-08     0.0000E+00     0.9350E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1006E-04     0.0000E+00     0.1035E-04     0.4914E-03
   121     4    30  2016         1     1  prueba                0.1405E+01     0.0000E+00     0.1265E+01     0.3073E+01     0.6392E-03     0.7733E-03     0.3196E-03     0.0000E+00     0.3027E-03     0.2328E-03     0.2208E-03     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.7171E-05     0.6012E-03     0.0000E+00     0.7598E+01     0.0000E+00     0.7149E+01     0.3145E-01
   152     5    31  2016         1     1  prueba                0.9849E+02     0.0000E+00     0.9606E+02     0.1599E+03     0.3528E+01     0.3608E+01     0.1764E+01     0.0000E+00     0.1701E+01     0.1831E+01     0.1311E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.4181E-01     0.8468E-02     0.0000E+00     0.2198E+03     0.0000E+00     0.2148E+03     0.9440E+02
   182     6    30  2016         1     1  prueba                0.1428E+03     0.0000E+00     0.1394E+03     0.2306E+03     0.6237E+01     0.6730E+01     0.3119E+01     0.0000E+00     0.2984E+01     0.3594E+01     0.1695E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.8286E-01     0.8477E-02     0.0000E+00     0.3206E+03     0.0000E+00     0.3143E+03     0.1243E+03
   213     7    31  2016         1     1  prueba                0.2245E+03     0.0000E+00     0.2228E+03     0.3398E+03     0.4900E+01     0.4887E+01     0.2450E+01     0.0000E+00     0.2391E+01     0.2418E+01     0.1884E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.4582E-01     0.8572E-02     0.0000E+00     0.3883E+03     0.0000E+00     0.3829E+03     0.1896E+03
   244     8    31  2016         1     1  prueba                0.3084E+03     0.0000E+00     0.3083E+03     0.4654E+03     0.7966E+01     0.8291E+01     0.3983E+01     0.0000E+00     0.3806E+01     0.4282E+01     0.2625E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.7957E-01     0.1207E-01     0.0000E+00     0.5418E+03     0.0000E+00     0.5415E+03     0.2342E+03
   274     9    30  2016         1     1  prueba                0.1731E+03     0.0000E+00     0.1781E+03     0.2587E+03     0.9754E+01     0.1012E+02     0.4877E+01     0.0000E+00     0.4638E+01     0.5220E+01     0.1848E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.1110E+00     0.7268E-02     0.0000E+00     0.3133E+03     0.0000E+00     0.3180E+03     0.2907E+03
   305    10    31  2016         1     1  prueba                0.5990E+00     0.0000E+00     0.8595E+00     0.6459E+00     0.8567E-02     0.4306E-02     0.4283E-02     0.0000E+00     0.4261E-02     0.0000E+00     0.2249E-04     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.0000E+00     0.1004E-04     0.0000E+00     0.2932E+00     0.0000E+00     0.4474E+00     0.2907E+01
   335    11    30  2016         1     1  prueba                0.8143E+01     0.0000E+00     0.6600E+01     0.1881E+02     0.4294E-01     0.5300E-01     0.2146E-01     0.0000E+00     0.2091E-01     0.3028E-01     0.1255E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.8624E-03     0.1869E-02     0.0000E+00     0.4360E+02     0.0000E+00     0.3887E+02     0.5190E+00
   366    12    31  2016         1     1  prueba                0.1715E+02     0.0000E+00     0.1814E+02     0.2613E+02     0.2010E-01     0.1773E-01     0.1005E-01     0.0000E+00     0.8977E-02     0.4514E-02     0.3172E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.1390E-03     0.1933E-02     0.0000E+00     0.2852E+02     0.0000E+00     0.3121E+02     0.2691E+01
    31     1    31  2017         1     1  prueba                0.4345E+02     0.0000E+00     0.4203E+02     0.7646E+02     0.1156E+01     0.1225E+01     0.5778E+00     0.0000E+00     0.5526E+00     0.6411E+00     0.6171E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.1563E-01     0.1873E-02     0.0000E+00     0.1157E+03     0.0000E+00     0.1124E+03     0.4017E+02
    59     2    28  2017         1     1  prueba                0.1840E+01     0.0000E+00     0.2567E+01     0.2120E+01     0.1714E-01     0.8673E-02     0.8571E-02     0.0000E+00     0.8468E-02     0.0000E+00     0.1025E-03     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.0000E+00     0.4566E-04     0.0000E+00     0.1283E+01     0.0000E+00     0.2057E+01     0.7656E+01
    90     3    31  2017         1     1  prueba                0.1994E+02     0.0000E+00     0.1933E+02     0.3678E+02     0.4445E+00     0.4778E+00     0.2223E+00     0.0000E+00     0.2146E+00     0.2532E+00     0.2373E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.6984E-02     0.1378E-02     0.0000E+00     0.6263E+02     0.0000E+00     0.6079E+02     0.1859E+02
   120     4    30  2017         1     1  prueba                0.3373E+01     0.0000E+00     0.2936E+01     0.7422E+01     0.2777E-01     0.2864E-01     0.1387E-01     0.0000E+00     0.1340E-01     0.1436E-01     0.4116E-03     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.4238E-03     0.4516E-03     0.0000E+00     0.1683E+02     0.0000E+00     0.1571E+02     0.8581E+00
   151     5    31  2017         1     1  prueba                0.1015E+03     0.0000E+00     0.9926E+02     0.1644E+03     0.4339E+01     0.4436E+01     0.2170E+01     0.0000E+00     0.2089E+01     0.2253E+01     0.1324E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.5134E-01     0.7698E-02     0.0000E+00     0.2244E+03     0.0000E+00     0.2194E+03     0.1134E+03
   181     6    30  2017         1     1  prueba                0.1382E+03     0.0000E+00     0.1357E+03     0.2219E+03     0.5510E+01     0.5917E+01     0.2755E+01     0.0000E+00     0.2644E+01     0.3144E+01     0.1751E-01     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.7565E-01     0.7672E-02     0.0000E+00     0.3074E+03     0.0000E+00     0.3026E+03     0.1188E+03
   212     7    31  2017         1     1  prueba                0.2240E+03     0.0000E+00     0.2213E+03     0.3416E+03     0.5134E+01     0.5196E+01     0.2567E+01     0.0000E+00     0.2500E+01     0.2621E+01     0.8168E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.4973E-01     0.3691E-02     0.0000E+00     0.3972E+03     0.0000E+00     0.3902E+03     0.1891E+03
   243     8    31  2017         1     1  prueba                0.3074E+03     0.0000E+00     0.3074E+03     0.4637E+03     0.7877E+01     0.8174E+01     0.3938E+01     0.0000E+00     0.3763E+01     0.4232E+01     0.3208E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.7842E-01     0.2937E-02     0.0000E+00     0.5384E+03     0.0000E+00     0.5382E+03     0.2331E+03
   273     9    30  2017         1     1  prueba                0.1635E+03     0.0000E+00     0.1681E+03     0.2439E+03     0.8822E+01     0.9214E+01     0.4411E+01     0.0000E+00     0.4200E+01     0.4797E+01     0.6655E-02     0.0000E+00     0.4743E+01     0.3097E+00     0.1850E-02     0.1018E+00     0.2631E-02     0.0000E+00     0.2933E+03     0.0000E+00     0.2978E+03     0.2871E+03
