 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    31     1    31  2016       1       1  hru01          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       2       2  hru02          0.000       0.000      -0.041      -0.895            0.000            0.000            0.000            0.000            0.996           -0.252            0.171            0.342            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       3       3  hru03          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       4       4  hru04          0.000       0.000      -0.036      -0.899            0.000            0.000            0.000            0.000            1.022           -0.257            0.175            0.353            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       5       5  hru05          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       6       6  hru06          0.000       0.000      -0.030      -0.901            0.000            0.000            0.000            0.000            1.049           -0.260            0.180            0.363            0.102            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       7       7  hru07          0.000       0.000      -0.040      -0.895            0.000            0.000            0.000            0.000            1.002           -0.253            0.172            0.342            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       8       8  hru08          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016       9       9  hru09          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      10      10  hru10          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      11      11  hru11          0.000       0.000       3.434      -0.234            0.000            0.000            0.000            0.000            1.749            0.259            0.299           21.137            4.002            0.000            0.000            0.000            0.000            0.000            0.000
