real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930
0,438.782,478.094,639.788,540.256,180.78,456.616,472.335,626.201,543.112,161.364,438.722,439.612,652.758,572.903,170.213,439,468.959,647.489,572.383,172.667,408.901,451.297,607.575,573.377,177.119,428.151,428.296,595.054,530.492,148.029,446.116,475.866,629.031,606.949,185.046
1,438.782,478.094,639.775,540.188,180.737,456.616,472.335,626.183,542.849,161.298,438.722,439.612,652.747,572.775,170.197,439,468.959,647.479,572.206,172.576,408.901,451.297,607.51,573.249,177.088,428.151,428.294,595.053,530.413,147.989,446.116,475.86,629.013,606.657,184.957
2,438.782,478.094,639.781,540.088,180.688,456.616,472.335,626.188,542.649,161.271,438.722,439.612,652.752,572.666,170.195,439,468.959,647.484,572.1,172.569,408.901,451.297,607.537,572.974,177.044,428.151,428.295,595.053,530.363,147.993,446.116,475.863,629.018,606.388,184.92
3,438.782,478.094,639.75,540.234,180.755,456.616,472.335,626.155,542.87,161.235,438.722,439.612,652.706,572.82,170.163,439,468.959,647.44,572.139,172.414,408.901,451.294,607.358,573.276,177.058,428.151,428.287,595.05,530.316,147.899,446.116,475.835,628.999,606.348,184.797
4,438.782,478.094,640.659,541.911,181.516,456.616,472.335,627.974,545.529,161.663,438.722,439.612,654.934,576.157,170.347,439,468.959,647.51,573.893,172.861,408.901,451.295,608.3,575.072,177.352,428.151,428.289,594.716,531.561,148.103,446.116,470.62,629.373,608.542,185.191
5,438.782,478.094,640.152,541.492,181.346,456.616,472.335,627.199,544.665,161.477,438.722,439.611,653.682,575.13,170.189,439,467.694,644.949,572.751,172.366,408.901,451.286,606.357,574.357,177.14,428.151,427.844,592.588,530.7,147.886,445.134,468.411,628.505,607.282,184.799
6,438.782,478.094,640.025,540.535,180.908,456.616,472.335,626.488,543.087,161.282,438.722,439.612,653.245,573.433,170.209,439,468.959,647.85,572.611,172.567,408.901,451.295,607.675,573.605,177.127,428.151,428.289,595.288,530.734,147.989,446.116,475.842,629.643,607.519,185.032
7,363.006,394.411,572.136,489.471,159.071,372.948,383.905,553.125,478.119,140.835,364.801,343.798,566.49,502.089,150.04,360.05,375.555,561.649,501.512,152.031,334.065,359.647,534.29,502.394,155.197,357.625,347.681,519.403,453.85,132.063,344.223,358.076,552.923,530.16,160.845
8,438.782,478.094,639.805,540.413,180.852,456.616,472.335,626.27,543.288,161.373,438.722,439.612,652.835,573.373,170.23,439,468.959,647.522,572.59,172.672,408.901,451.297,607.545,573.6,177.146,428.151,428.294,595.068,530.622,148.022,446.116,475.859,629.134,607.35,185.087
9,363.006,394.411,578.114,490.022,159.07,375.013,385.531,551.126,479.12,140.807,369.761,345.626,571.096,500.631,145.487,362.951,375.864,556.601,500.787,150.978,337.322,359.748,531.423,500.749,153.945,359.083,347.724,514.314,453.486,131.708,341.815,354.662,549.19,528.397,160.836
10,363.006,394.411,579.963,491.995,159.06,376.66,390.512,571.934,492.516,142.796,369.761,359.035,583.646,513.775,149.222,369.573,383.86,551.213,513.967,152.544,339.363,369.565,548.496,506.374,153.1,363.382,357.622,517.41,462.685,132.845,347.56,356.945,546.217,528.791,160.604
11,438.782,478.094,639.75,540.262,180.769,456.616,472.335,626.156,542.569,161.139,438.722,439.611,652.594,572.749,170.054,439,468.958,647.332,572.013,172.187,408.901,451.286,606.98,573.282,176.961,428.151,428.265,595.041,530.033,147.784,446.116,475.764,629.002,606.027,184.573
12,438.782,478.094,640.883,541.465,181.334,456.616,472.335,628.139,544.647,161.518,438.722,439.611,654.365,574.892,170.262,439,467.976,646.21,572.769,172.523,408.901,451.293,606.972,573.94,177.151,428.151,427.439,593.583,530.784,147.952,443.726,467.622,629.418,607.163,184.918
13,438.782,478.094,640.13,541.512,181.354,456.616,472.335,627.05,545.035,161.633,438.722,439.612,653.97,575.667,170.34,439,468.959,648.056,573.982,172.953,408.901,451.296,607.99,575.22,177.393,428.151,428.292,595.477,531.925,148.19,446.116,475.853,629.465,610.481,185.591
14,411.467,450.414,617.501,522.034,172.609,429.276,443.083,606.188,523.801,154.297,414.909,409.719,627.957,552.006,162.611,414.143,442.934,623.297,552.327,165.296,381.356,422.868,588.158,551.527,169.302,404.647,405.6,573.883,513.621,141.608,415.242,445.981,608.672,580.031,175.706
15,363.006,394.41,571.842,489.243,159.059,369.444,366.945,550.758,483.443,138.038,365.774,343.433,565.482,511.54,138.073,352.44,353.183,553.668,511.75,148.488,329.876,347.36,530.102,510.135,151.661,349.581,323.018,512.007,468.277,128.505,318.28,346.398,561.07,529.169,155.85
16,429.084,468.289,631.892,533.612,177.81,446.921,462.328,619.103,535.845,158.712,430.281,429.109,643.94,565.237,167.465,430.111,459.742,638.893,564.933,169.785,400.329,440.703,600.515,565.396,174.266,419.863,420.737,587.929,524.329,145.724,435.251,465.239,621.821,596.819,181.516
17,438.782,478.094,640.065,541.331,181.276,456.616,472.335,626.75,544.604,161.553,438.722,439.612,653.612,575.34,170.317,439,468.959,647.927,573.631,172.844,408.901,451.295,607.84,574.754,177.316,428.151,428.291,593.851,531.559,148.127,446.116,471.399,628.643,609.332,185.378
18,363.006,394.411,573.228,491.488,159.067,373.355,384.121,558.077,484.131,139.525,365.365,343.824,571.018,509.935,138.644,360.824,375.577,565.278,511.705,149.812,335.077,359.608,538.782,509.719,152.567,358.195,347.636,520.847,471.576,126.746,344.165,359.747,560.826,529.725,156.573
19,363.006,394.411,579.98,491.995,159.06,376.66,390.513,571.955,492.664,142.883,369.761,359.036,581.599,512.894,146.659,369.573,383.298,552.931,516.335,151.211,339.363,367.868,546.128,508.019,153.144,363.382,355.571,516.137,469.665,127.707,345.489,356.316,550.481,530.464,156.573
20,438.782,478.094,639.75,540.176,180.725,456.616,472.335,626.154,542.688,161.201,438.722,439.612,652.701,572.689,170.151,439,468.959,647.436,572.012,172.366,408.901,451.294,607.342,573.21,177.042,428.151,428.286,595.05,530.281,147.886,446.116,475.832,628.998,606.306,184.783
21,363.006,394.411,579.963,491.995,159.06,372.052,371.685,544.233,483.255,138.583,369.761,346.286,551.912,512.845,138.386,357.067,358.576,538.48,514.046,148.471,335.216,346.406,513.689,509.122,151.636,354.618,327.334,500.12,467.329,126.112,326.132,348.767,552.816,531.121,158.268
22,438.782,478.094,639.75,540.504,180.893,456.616,472.335,626.163,542.955,161.207,438.722,439.611,652.618,573.082,170.075,439,468.958,647.332,572.261,172.252,408.901,451.286,606.98,573.63,177.023,428.151,428.265,595.042,530.193,147.811,446.116,475.764,629.024,606.396,184.644
23,363.006,394.411,579.967,491.995,159.06,376.66,390.513,570.204,489.535,142.772,369.761,355.976,581.608,511.107,146.412,369.573,383.207,549.547,515.299,152.406,339.363,368.893,544.328,505.333,153.081,363.382,355.157,509.569,462.141,131.625,346.442,356.144,548.23,528.274,160.353
24,438.782,478.094,639.791,540.904,181.081,456.616,472.335,626.278,544.072,161.499,438.722,439.612,652.909,574.296,170.277,439,468.959,647.507,573.131,172.79,408.901,451.296,607.521,574.27,177.254,428.151,428.293,595.071,531.077,148.084,446.116,475.857,629.167,608.524,185.288
25,438.782,478.094,639.75,540.092,180.681,456.616,472.335,626.154,542.142,161.061,438.722,439.611,652.588,572.457,170.037,439,468.958,647.331,571.737,172.112,408.901,451.286,606.98,572.938,176.9,428.151,428.265,595.04,529.95,147.77,446.116,475.764,628.998,605.76,184.52
26,363.006,394.411,579.787,490.153,159.056,373.461,362.621,545.145,488.779,140.806,369.247,343.062,556.209,512.874,145.421,352.891,352.111,549.036,513.47,151.774,334.678,340.37,517.58,512.021,154.19,354.367,321.223,505.484,477.166,128.703,319.311,346.079,554.88,534.866,160.151
27,384.839,422.988,595.488,504.376,164.665,400.091,410.368,586.419,505.408,147.555,391.605,379.987,600.323,530.874,155.205,389.97,407.552,584.097,527.862,158.485,353.514,394.668,560.512,524.176,161.734,381.162,381.836,536.12,482.667,134.467,382.692,387.607,570.753,551.003,166.869
28,438.782,478.094,639.75,540.02,180.641,456.616,472.335,626.158,542.038,161.041,438.722,439.611,652.589,572.32,170.028,439,468.958,647.332,571.693,172.1,408.901,451.286,606.981,572.891,176.891,428.151,428.265,595.041,529.946,147.769,446.116,475.764,629.001,605.723,184.512
29,427.438,466.623,630.555,532.909,177.519,445.275,460.628,617.92,535.579,158.484,428.847,427.294,642.547,565.08,167.122,428.639,458.176,637.495,564.468,169.702,398.875,439.082,599.534,564.728,173.959,418.456,419.491,586.722,523.826,145.497,433.394,463.3,620.649,596.668,181.313
30,363.006,391.782,571.662,487.572,157.086,364.976,355.428,558.269,482.289,138.351,358.041,343.24,573.461,509.753,137.928,348.848,352.419,563.09,510.565,148.535,326.077,335.393,537.605,509.668,151.838,343.368,318.438,520.927,471.028,126.224,318.069,347.51,568.789,528.222,155.92
31,363.006,393.504,570.753,484.492,159.06,369.913,382.378,554.665,476.314,139.037,362.024,343.245,567.799,500.875,142.066,357.576,375.525,562.666,502.26,151.649,328.364,359.545,537.462,502.518,154.363,351.778,347.57,522.678,449.383,133.546,343.384,357.302,555.686,529.874,159.225
32,379.177,410.084,590.806,500.743,163.044,391.188,398.096,575.111,499.094,143.468,384.505,363.496,590.901,525.961,146.458,377.595,386.364,584.528,526.125,153.916,344.473,375.832,557.91,523.683,156.864,372.247,363.143,536.401,486.871,130.179,361.978,382.945,576.744,545.285,161.384
33,438.782,478.094,639.775,540.186,180.736,456.616,472.335,626.183,542.696,161.271,438.722,439.612,652.747,572.76,170.197,439,468.959,647.479,572.181,172.57,408.901,451.297,607.51,573.232,177.085,428.151,428.294,595.053,530.417,147.991,446.116,475.86,629.013,606.665,184.958
34,363.006,394.411,574.276,487.309,159.06,370.752,383.865,550.35,476.216,139.832,368.652,343.94,568.361,499.049,141.196,359.722,369.932,555.563,499.906,149.999,333.849,359.573,531.147,500.024,153.119,353.995,347.7,513.333,449.073,133.019,331.766,351.09,549.623,527.9,160.531
