real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,178.171,199,1.12597,13.2153,43.037,1,199,163.554,199,62.9595,122.961,15.5292,41.5967
1,25.4751,199,2.905,60.111,90.1175,1,199,162.695,199,140.254,122.88,9.3605,11.4874
2,65.4246,199,2.16395,10.6918,89.3418,1,199,162.89,199,179.661,122.748,11.1733,67.6243
3,178.474,199,10.712,14.5849,89.7766,1,199,164.271,199,180.966,122.933,24.283,3.23461
4,176.716,199,8.904,4.47848,9.07186,1,199,165.003,153.379,181.848,122.797,24.1523,15.3027
5,34.4931,199,17.257,59.7337,38.8465,1,199,163.662,199,180.346,122.923,24.3582,71.2214
6,177.306,199,8.70263,59.5163,91.4383,1,199,163.551,199,180.003,122.828,14.7268,30.6211
7,46.845,199,2.37873,59.9523,40.7466,1,199,163.081,47.9398,96.9953,122.959,2.20136,10.3554
8,152.213,199,3.15588,17.4708,10.2756,1,199,164.251,199,180.982,122.505,5.05832,3.24278
9,155.562,199,2.81625,4.75246,53.1953,1,199,160.756,199,54.2742,123.235,9.48565,5.52176
10,179.257,199,14.936,12.4724,90.2033,1,199,163.793,165.691,180.724,122.709,1.30668,11.073
11,168.47,199,17.6098,21.8456,20.7293,1,199,163.626,50.4256,54.0766,122.876,1.48435,42.7676
12,174.337,199,14.6928,31.246,42.0841,1,199,30.7092,199,180.545,122.904,23.9377,11.7891
13,174.728,199,5.23164,45.6311,92.8152,1,199,165.383,199,181.854,122.982,18.9575,72.1056
14,24.2962,199,17.6156,62.3195,90.8644,1,199,164.472,199,78.4606,122.992,9.24458,65.7697
15,176.487,199,17.3816,51.585,72.6065,1,199,164.62,199,102.165,122.703,12.4401,7.48469
16,178.028,199,16.6082,35.5683,90.4982,1,199,163.663,199,127.656,122.734,5.48846,69.0623
17,174.594,199,6.66407,60.3819,93.7705,1,199,165.047,199,127.889,122.561,19.1194,59.3797
18,96.0593,199,4.38744,32.3648,98.8897,1,199,96.3627,199,29.6194,123.404,1.24697,65.7335
19,175.637,199,5.28821,9.59166,38.5992,1,199,117.088,199,181.733,122.771,12.1363,10.954
20,49.7419,199,11.3743,61.352,91.5576,1,199,122.103,199,180.962,122.599,24.1995,72.2645
21,179.408,199,17.5818,48.6317,11.9259,1,199,35.8053,199,180.512,122.794,23.6966,48.3269
22,176.138,199,18.3346,20.1537,69.422,1,199,165.283,78.7401,52.5585,122.87,20.0782,23.8791
23,178.27,199,8.2371,6.13508,62.296,1,199,149.602,188.09,174.505,123.835,14.2784,23.0594
24,175.654,199,3.87722,61.022,92.381,1,199,164.561,199,22.8333,122.712,9.45262,18.0299
25,170.566,199,17.311,15.6112,102.174,1,199,157.514,199,176.05,123.517,5.84671,70.7521
26,153.082,199,10.0201,45.7965,9.41874,1,199,163.201,105.109,179.69,122.726,2.25519,38.2267
27,177.447,199,16.6909,1.89665,30.6327,1,199,164.268,199,180.922,122.818,3.48955,64.971
28,80.7029,148.281,17.4118,15.4493,90.2342,1,199,163.084,194.655,24.6031,122.417,8.57579,70.1245
29,176.303,199,7.88651,20.0601,30.7136,1,199,164.857,199,181.789,122.817,13.6751,5.30337
30,86.1741,199,16.8417,13.5536,23.4629,1,199,160.424,199,177.745,122.9,7.2945,27.1499
31,178.611,199,17.3295,16.6653,88.9504,1,199,163.769,103.568,180.563,122.976,3.32642,1.20966
32,47.1169,199,1.86519,12.7946,4.07273,1,199,164.648,138.866,180.975,122.62,3.77785,57.964
33,179.331,199,2.95807,8.57762,42.8809,1,199,163.168,56.4447,179.453,122.554,1.54393,14.457
34,177.936,199,17.6405,56.8923,31.2692,1,199,100.085,34.4959,10.1446,122.912,26.1943,5.03274
