real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
0,178.171,199,1.12597,13.2153,43.037,1,199,163.554,199,62.9595,122.961,15.5292,41.5967,0.699119427,-0.259899407,0.706199468,113.3113963,12839.47253,0.84035675
1,25.4751,199,2.905,60.111,90.1175,1,199,162.695,199,140.254,122.88,9.3605,11.4874,0.699120049,-0.277468757,0.706221707,113.3112792,12839.44598,0.840369982
2,65.4246,199,2.16395,10.6918,89.3418,1,199,162.89,199,179.661,122.748,11.1733,67.6243,0.699124015,-0.304805258,0.706261508,113.3105325,12839.27677,0.840393662
3,178.474,199,10.712,14.5849,89.7766,1,199,164.271,199,180.966,122.933,24.283,3.23461,0.699106639,-0.269039309,0.706193808,113.3138042,12840.01823,0.840353383
4,176.716,199,8.904,4.47848,9.07186,1,199,165.003,153.379,181.848,122.797,24.1523,15.3027,0.69911347,-0.296939054,0.706237631,113.3125181,12839.72675,0.840379456
5,34.4931,199,17.257,59.7337,38.8465,1,199,163.662,199,180.346,122.923,24.3582,71.2214,0.69909861,-0.273417246,0.706188548,113.3153162,12840.36088,0.840350253
6,177.306,199,8.70263,59.5163,91.4383,1,199,163.551,199,180.003,122.828,14.7268,30.6211,0.699112709,-0.290474557,0.70622854,113.3126612,12839.7592,0.840374047
7,46.845,199,2.37873,59.9523,40.7466,1,199,163.081,47.9398,96.9953,122.959,2.20136,10.3554,0.699117893,-0.260750672,0.706198491,113.3116852,12839.53801,0.840356169
8,152.213,199,3.15588,17.4708,10.2756,1,199,164.251,199,180.982,122.505,5.05832,3.24278,0.699126909,-0.355874783,0.70633233,113.3099875,12839.15327,0.840435798
9,155.562,199,2.81625,4.75246,53.1953,1,199,160.756,199,54.2742,123.235,9.48565,5.52176,0.699106353,-0.203267855,0.706115349,113.3138581,12840.03043,0.840306699
10,179.257,199,14.936,12.4724,90.2033,1,199,163.793,165.691,180.724,122.709,1.30668,11.073,0.699107645,-0.317427028,0.706256047,113.3136149,12839.97532,0.840390413
11,168.47,199,17.6098,21.8456,20.7293,1,199,163.626,50.4256,54.0766,122.876,1.48435,42.7676,0.6990996,-0.28336361,0.706202164,113.3151297,12840.31862,0.840358354
12,174.337,199,14.6928,31.246,42.0841,1,199,30.7092,199,180.545,122.904,23.9377,11.7891,0.699102332,-0.276611091,0.706197538,113.3146153,12840.20203,0.840355602
13,174.728,199,5.23164,45.6311,92.8152,1,199,165.383,199,181.854,122.982,18.9575,72.1056,0.699113014,-0.257102392,0.706187587,113.3126039,12839.74621,0.840349682
14,24.2962,199,17.6156,62.3195,90.8644,1,199,164.472,199,78.4606,122.992,9.24458,65.7697,0.699096546,-0.259073743,0.706168059,113.3157048,12840.44896,0.840338062
15,176.487,199,17.3816,51.585,72.6065,1,199,164.62,199,102.165,122.703,12.4401,7.48469,0.699105085,-0.31939838,0.706255043,113.3140969,12840.08457,0.840389816
16,178.028,199,16.6082,35.5683,90.4982,1,199,163.663,199,127.656,122.734,5.48846,69.0623,0.699104749,-0.312716266,0.706246151,113.3141601,12840.09888,0.840384526
17,174.594,199,6.66407,60.3819,93.7705,1,199,165.047,199,127.889,122.561,19.1194,59.3797,0.699121522,-0.345512387,0.706311363,113.3110018,12839.38314,0.840423323
18,96.0593,199,4.38744,32.3648,98.8897,1,199,96.3627,199,29.6194,123.404,1.24697,65.7335,0.699095082,-0.16846198,0.706061593,113.3159805,12840.51144,0.840274713
19,175.637,199,5.28821,9.59166,38.5992,1,199,117.088,199,181.733,122.771,12.1363,10.954,0.699119383,-0.301176179,0.706250858,113.3114047,12839.47443,0.840387326
20,49.7419,199,11.3743,61.352,91.5576,1,199,122.103,199,180.962,122.599,24.1995,72.2645,0.699113906,-0.339214303,0.706292955,113.3124359,12839.70812,0.840412372
