name,value,group,weight
obd_irr_paddy_20160531,25.7465,obgnme,1
obd_irr_paddy_20160630,497.425,obgnme,1
obd_irr_paddy_20160731,658.431,obgnme,1
obd_irr_paddy_20160831,662.53,obgnme,1
obd_irr_paddy_20160930,30.7721,obgnme,1
obd_irr_paddy_20170531,425.832,obgnme,1
obd_irr_paddy_20170630,534.505,obgnme,1
obd_irr_paddy_20170731,622.614,obgnme,1
obd_irr_paddy_20170831,611.115,obgnme,1
obd_irr_paddy_20170930,179.509,obgnme,1
obd_irr_paddy_20180531,383.078,obgnme,1
obd_irr_paddy_20180630,483.244,obgnme,1
obd_irr_paddy_20180731,652.866,obgnme,1
obd_irr_paddy_20180831,598.416,obgnme,1
obd_irr_paddy_20180930,90.014,obgnme,1
obd_irr_paddy_20190531,340.345,obgnme,1
obd_irr_paddy_20190630,603.729,obgnme,1
obd_irr_paddy_20190731,564.813,obgnme,1
obd_irr_paddy_20190831,665.598,obgnme,1
obd_irr_paddy_20190930,174.085,obgnme,1
obd_irr_paddy_20200531,157.781,obgnme,1
obd_irr_paddy_20200630,477.194,obgnme,1
obd_irr_paddy_20200731,620.522,obgnme,1
obd_irr_paddy_20200831,683.924,obgnme,1
obd_irr_paddy_20200930,218.706,obgnme,1
obd_irr_paddy_20210531,294.105,obgnme,1
obd_irr_paddy_20210630,562.552,obgnme,1
obd_irr_paddy_20210731,588.575,obgnme,1
obd_irr_paddy_20210831,666.598,obgnme,1
obd_irr_paddy_20210930,260.414,obgnme,1
obd_irr_paddy_20220531,442.302,obgnme,1
obd_irr_paddy_20220630,608.313,obgnme,1
obd_irr_paddy_20220731,619.337,obgnme,1
obd_irr_paddy_20220831,515.761,obgnme,1
obd_irr_paddy_20220930,103.05,obgnme,1
