real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930
0,26.2175,498.343,659.034,662.357,32.5888,426.99,534.133,621.824,612.829,179.269,381.471,483.054,654.267,599.107,89.1232,339.726,603.752,566.919,666.317,173.818,157.681,475.436,622.571,683.634,217.124,294.326,562.548,587.881,665.634,263.072,443.346,608.337,619.901,516.085,102.893
1,26.4897,497.153,656.842,661.759,30.5418,425.385,534.658,620.749,612.542,181.109,383.08,482.358,652.782,599.167,89.0584,340.082,603.802,565.147,666.426,174.534,156.305,477.402,621.489,684.514,219.068,292.537,562.143,589.446,667.064,261.467,443.025,609.409,621.332,516.893,101.932
2,25.498,496.892,656.641,663.056,30.1128,425.675,533.673,621.912,613.22,178.457,382.623,483.404,654.045,598.63,90.0639,339.712,602.719,563.341,665.998,174.3,158.876,477.097,621.326,685.287,217.92,293.815,563.118,588.16,666.092,261.2,441.415,609.345,619.331,516.795,102.269
3,25.7527,498.487,660.581,663.349,29.8879,426.759,534.387,623.254,610.705,176.859,382.576,483.064,653.977,598.355,88.458,341.914,602.631,564.089,664.319,173.984,157.678,477.556,620.714,684.16,218.434,295.497,564.124,587.228,666.83,258.456,442.08,607.938,619.824,516.45,102.709
4,27.3608,495.894,658.658,663.851,32.4583,427.113,535.45,622.811,610.291,178.618,382.95,484.017,653.709,598.853,90.7315,340.445,604.216,566.047,665.747,173.767,155.729,476.665,618.333,683.633,219.132,293.361,562.448,588.074,665.839,258.903,444.936,607.793,619.144,515.178,103.194
5,24.6646,498.004,658.562,663.822,31.7642,425.864,535.236,623.714,612.737,179.475,382.554,483.599,650.586,598.483,89.7908,341.304,604.147,563.68,665.694,173.597,158.45,477.732,621.203,684.866,217.674,295.458,562.212,586.822,667.851,261.1,441.475,609.228,619.584,517.44,103.501
6,25.1172,499.869,658.305,662.002,31.5988,424.418,535.559,625.024,609.518,179.138,383.409,483.352,651.658,598.383,88.9051,340.078,603.336,565.634,666.268,176.034,157.214,475.532,620.416,686.13,219.027,294.26,563.396,589.071,663.892,262.038,441.765,608.945,618.907,516.443,103.507
7,24.5108,497.331,657,663.548,30.9805,423.708,535.962,621.91,611.532,181.195,382.679,483.637,653.456,600.415,91.8376,342.837,603.377,565.872,666.588,174.378,158.192,477.914,620.319,683.605,217.7,293.722,561.94,589.387,667.744,259.945,441.396,609.441,618.85,516.41,103.406
8,25.6204,495.636,659.266,661.809,28.3702,423.38,534.819,620.914,612.41,179.406,382.174,482.651,654.978,596.714,88.7107,342.611,605.725,562.887,665.222,176.167,155.365,477.798,620.142,684.25,217.968,294.72,561.434,586.636,667.7,260.769,442.279,609.214,618.595,515.903,103.959
9,26.9106,498.099,659.153,663.229,31.3619,425.607,535.023,622.398,612.133,179.532,381.242,484.508,653.86,600.807,89.8514,341.248,603.985,566.177,665.812,174.839,155.901,478.605,619.771,684.162,217.258,293.094,562.668,588.062,664.512,259.287,441.27,608.919,619.369,515.464,102.509
10,26.5803,497.494,659.969,662.263,31.029,424.198,533.521,622.075,611.164,177.568,382.858,484.466,655.108,597.765,89.8715,338.151,603.805,565.19,665.371,174.493,157.592,478.31,619.943,683.096,217.894,295.011,562.994,587.119,666.776,259.046,441.54,606.398,619.418,517.067,102.198
11,27.3498,498.042,658.203,660.726,31.2143,426.251,535.137,623.682,609.968,178.842,382.577,483.637,653.581,598.558,88.4281,339.679,604.857,565.248,665.145,173.717,157.035,476.607,621.011,685.46,221.438,292.542,562.018,588.162,666.93,257.53,442.677,607.791,620.344,517.272,103.481
12,28.218,497.643,658.384,661.512,30.216,425.586,534.488,623.608,613.298,181.654,382.364,482.457,651.943,596.632,89.0694,340.178,602.453,565.642,665.174,173.277,157.811,476.7,620.945,684.889,219.87,294.588,563.648,587.339,665.887,260.048,442.315,610.68,618.889,514.819,103.234
13,26.6716,499.21,661.022,662.252,32.3587,425.165,534.677,623.213,611.73,180.792,384.88,482.674,653.412,598.593,87.8111,341.786,605.004,565.614,666.922,172.785,158.314,475.222,620.887,684.189,219.748,293.555,561.848,589.43,665.769,262.346,442.75,609.185,619.869,514.316,105.301
14,25.959,497.145,658.69,662.4,30.2858,424.895,535.714,623.371,610.231,180.944,383.771,484.07,654.175,597.363,91.1349,340.58,604.323,565.279,664.274,174.13,157.241,476.188,619.731,683.752,218.319,295.546,563.187,589.286,665.96,262.234,443.853,608.094,620.218,516.265,103.831
15,26.6918,495.159,658.417,663.748,31.0476,424.639,534.544,622.669,611.858,180.126,381.479,484.529,652.743,597.234,89.1757,340.519,604.833,566.016,663.873,173.707,157.629,477.928,621.806,682.078,218.743,292.737,562.511,587.602,666.111,262.834,443.376,608.887,618.088,516.104,103.85
16,25.9901,498.228,658.722,661.729,31.1414,425.134,534.622,623.035,612.577,178.385,383.75,483.435,653.556,597.694,88.5554,340.069,601.68,563.624,666.53,173.09,158.058,477.535,618.863,684.205,219.201,293.428,561.365,587.457,668.365,260.935,442.46,608.162,619.744,515.517,102.766
17,25.3226,498.527,658.496,662.961,29.9696,426.203,535.115,622.435,609.492,179.291,383.017,483.779,652.357,597.121,89.8195,338.059,603.433,564.553,665.52,174.695,154.671,478.067,619.825,685.073,218.038,294.196,560.621,588.809,667.899,261.962,443.997,608.914,618.134,514.904,103.116
18,24.2707,497.115,659.786,661.395,30.9659,426.561,536.603,620.93,611.166,178.803,381.687,484.231,653.747,599.033,89.5309,340.591,602.496,565.421,665.803,174.952,158.048,478.01,621.375,683.031,218.983,294.043,563.365,590.153,667.03,259.439,443.63,608.324,620.892,514.742,102.977
19,24.1192,499.93,658.547,662.372,30.0945,426.291,534.482,622.985,611.445,179.141,381.111,484.717,654.311,598.846,89.4542,340.328,605.916,566.151,667.261,173.218,156.828,477.021,620.828,684.191,217.069,293.55,563.291,589.467,666.586,260.806,440.908,608.578,617.324,514.338,103.204
20,26.5469,497.676,657.813,662.633,30.1015,424.712,533.092,621.463,611.393,179.842,382.278,482.627,652.374,598.466,88.5376,339.134,602.025,564.184,666.893,174.007,158.129,479.561,619.391,684.137,218.091,293.249,561.023,587.947,666.207,259.661,442.018,609.181,621.527,514.804,102.794
21,26.8055,495.898,659.591,663.663,31.2826,426.733,535.801,624.185,611.153,179.15,381.849,483.163,652.81,599.459,91.6254,340.966,603.042,564.322,665.586,176.104,158.525,477.05,619.277,684.997,217.359,293.73,561.539,589.191,667.458,261.352,440.778,607.503,619.079,516.227,101.504
22,27.2574,497.231,659.404,661.864,29.9665,426.584,534.955,622.818,610.62,180.326,382.562,483.693,653.098,598.367,91.1337,340.134,603.571,565.207,666.086,171.335,155.95,479.499,619.509,683.486,221.414,294.383,562.526,587.854,665.875,259.278,442.914,609.138,619.793,515.302,104.42
23,26.0551,498.597,659.214,662.226,31.7628,425.964,535.067,623.738,612.103,180.38,383.568,483.219,652.977,598.185,90.0458,341.312,605.101,565.857,664.689,174.25,158.461,478.231,621.367,685.436,218.679,293.4,562.645,588.627,664.564,258.805,443.359,606.355,621.053,515.697,102.39
24,26.265,497.785,659.08,662.637,29.5706,425.876,532.706,622.527,609.664,180.26,384.247,484.585,651.793,598.319,92.084,340.283,603.663,565.575,664.524,174.668,155.627,478.759,621.276,684.964,216.198,293.5,563.494,588.219,667.337,259.428,441.803,607.647,620.678,517.071,103.232
25,25.3414,497.314,659.485,662.75,30.6436,426.501,535.17,622.366,610.548,180.58,382.157,482.371,651.604,597.733,89.5904,338.906,605.804,564.873,668.186,174.871,158.825,479.224,620.352,684.229,218.221,293.857,560.985,590.043,666.12,260.658,442.377,608.55,619.574,516.307,105.373
