name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
OBD_IRR_PADDY_20160531,25.8671,1.02223,23.249,28.8528,26.8893,24.8449,401.72,35.8631,363.006,438.782,437.583,365.857,334.153
OBD_IRR_PADDY_20160630,497.452,1.01758,494.484,500.436,498.469,496.434,437.438,39.6269,391.782,478.095,477.065,397.812,16.3898
OBD_IRR_PADDY_20160731,658.595,1.00002,656.118,661.022,659.595,657.595,609.003,30.1245,570.053,643.269,639.127,578.878,12.8493
OBD_IRR_PADDY_20160831,662.526,0.996459,660.11,665.712,663.522,661.529,515.932,23.9139,480.941,544.944,539.846,492.018,115.166
OBD_IRR_PADDY_20160930,30.7371,1.02128,27.6489,33.1711,31.7584,29.7158,170.087,10.4559,156.497,182.29,180.542,159.631,123.326
OBD_IRR_PADDY_20170630,534.592,0.938272,531.822,536.992,535.531,533.654,429.605,41.7395,347.982,472.335,471.344,387.865,59.4868
OBD_IRR_PADDY_20170831,611.188,0.972594,608.393,613.524,612.16,610.215,514.524,28.2673,476.187,547.834,542.792,486.257,60.5591
OBD_IRR_PADDY_20170930,179.504,0.955093,176.859,181.673,180.459,178.549,151.221,9.86732,137.696,161.887,161.088,141.354,14.9714
OBD_IRR_PADDY_20180630,483.308,0.973129,481.109,485.905,484.281,482.335,395.62,42.8648,337.49,439.612,438.484,352.755,41.4966
OBD_IRR_PADDY_20180831,598.443,0.950122,596.052,601.278,599.393,597.493,541.736,31.1867,499.049,578.732,572.923,510.549,17.3207
OBD_IRR_PADDY_20180930,89.9941,1.08318,86.3584,92.9935,91.0773,88.9109,157.457,12.89,137.928,170.431,170.347,144.567,44.9349
OBD_IRR_PADDY_20190630,603.774,0.958083,601.501,606.752,604.733,602.816,423.274,44.7437,350.257,468.959,468.018,378.531,132.542
OBD_IRR_PADDY_20190831,665.648,0.989456,662.825,668.186,666.637,664.658,541.824,30.1743,499.906,576.219,571.998,511.65,86.6055
OBD_IRR_PADDY_20200531,157.681,1.0488,154.671,160.143,158.73,156.632,372.728,34.8765,325.07,408.901,407.604,337.851,164.927
OBD_IRR_PADDY_20200630,477.232,1.04389,474.536,479.561,478.276,476.188,407.368,42.7478,331.09,451.297,450.116,364.621,23.2391
OBD_IRR_PADDY_20200731,620.645,1.01897,616.601,623.148,621.664,619.626,573.152,34.1458,508.683,608.3,607.298,539.006,8.30135
OBD_IRR_PADDY_20200831,683.974,0.981514,680.983,686.782,684.956,682.993,540.861,32.0831,500.024,577.622,572.944,508.778,103.361
OBD_IRR_PADDY_20200930,218.788,1.11487,215.228,221.526,219.903,217.673,165.566,11.2823,151.636,177.73,176.848,154.284,37.4971
OBD_IRR_PADDY_20210531,294.025,0.999671,290.977,296.863,295.025,293.025,394.191,33.0398,341.108,428.151,427.231,361.152,44.2454
OBD_IRR_PADDY_20210630,562.519,1.02214,559.694,565.407,563.541,561.497,388.939,38.7786,316.348,428.296,427.718,350.16,131.398
OBD_IRR_PADDY_20210831,666.527,1.07679,662.326,669.806,667.604,665.451,497.689,33.1154,449.073,532.519,530.804,464.574,129.806
OBD_IRR_PADDY_20210930,260.38,0.993701,257.433,263.072,261.374,259.387,139.392,8.47091,126.112,148.274,147.863,130.921,109.159
OBD_IRR_PADDY_20220630,608.291,1.04558,604.743,610.68,609.336,607.245,416.97,57.0402,346.079,475.866,474.011,359.93,128.877
OBD_IRR_PADDY_20220831,515.816,0.997871,513.129,518.438,516.814,514.819,569.193,36.8423,524.375,614.035,606.036,532.351,5.9379
OBD_IRR_PADDY_20220930,103.18,1.00609,100.628,105.546,104.186,102.174,172.209,12.3529,155.722,185.985,184.562,159.856,50.176
