 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    31     1    31  2016       1       1  hru01                  1.567   74208.648       0.000   23054.123      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       2       2  hru02                  0.000       0.000       0.000     181.407      15.531       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       3       3  hru03                  1.567   74208.531       0.000   23054.090      15.167       0.000       0.000       0.000       0.000       0.000     282.296       0.000      52.626      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       4       4  hru04                  0.000       0.000       0.000     187.598      15.498       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       5       5  hru05                  1.567   74208.742       0.000   23054.139      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       6       6  hru06                  0.000       0.000       0.000     192.886      15.444       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       7       7  hru07                  0.000       0.000       0.000     181.254      15.523       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       8       8  hru08                  1.567   74208.758       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016       9       9  hru09                  1.567   74208.719       0.000   23054.135      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      10      10  hru10                  1.567   74208.727       0.000   23054.135      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      11      11  hru11                  1.567   74208.758       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      12      12  hru12                  0.000       0.000       0.000     183.202      15.519       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      13      13  hru13                  1.567   74208.758       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      14      14  hru14                  0.000       0.000       0.000     187.007      15.524       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      15      15  hru15                  1.567   74208.758       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      16      16  hru16                  0.000       0.000       0.000     188.385      15.473       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      17      17  hru17                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      18      18  hru18                  0.000       0.000       0.000     196.721      15.426       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      19      19  hru19                  1.567   74208.758       0.000   23054.150      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      20      20  hru20                  1.567   74208.508       0.000   23054.078      15.167       0.000       0.000       0.000       0.000       0.000     282.296       0.000      52.626      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      21      21  hru21                  0.000       0.000       0.000     176.839      15.633       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      22      22  hru22                  1.567   74208.641       0.000   23054.123      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      23      23  hru23                  1.567   74208.742       0.000   23054.139      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      24      24  hru24                  0.000       0.000       0.000     202.503      14.839       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      25      25  hru25                  0.000       0.000       0.000     200.107      15.400       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      26      26  hru26                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      27      27  hru27                  1.567   74208.758       0.000   23054.146      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      28      28  hru28                  0.000       0.000       0.000     187.600      15.489       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      29      29  hru29                  0.000       0.000       0.000     202.333      14.507       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      30      30  hru30                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      31      31  hru31                  0.000       0.000       0.000     202.584      15.304       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      32      32  hru32                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      33      33  hru33                  1.567   74208.758       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      34      34  hru34                  1.567   74208.742       0.000   23054.143      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      35      35  hru35                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      36      36  hru36                  0.000       0.000       0.000      14.816      15.084       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      37      37  hru37                  1.567   74208.742       0.000   23054.139      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      38      38  hru38                  0.000       0.000       0.000     202.069      14.281       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      39      39  hru39                  1.567   74208.758       0.000   23054.143      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      40      40  hru40                  0.000       0.000       0.000     202.051      14.223       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      41      41  hru41                  0.000       0.000       0.000     199.705      15.413       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      42      42  hru42                  1.567   74208.664       0.000   23054.127      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      43      43  hru43                  1.567   74208.641       0.000   23054.123      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      44      44  hru44                  0.000       0.000       0.000     192.138      15.459       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      45      45  hru45                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      46      46  hru46                  0.000       0.000       0.000      14.332      14.909       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      47      47  hru47                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      48      48  hru48                  0.000       0.000       0.000      14.753      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      49      49  hru49                  1.567   74208.773       0.000   23054.158      15.167       0.000       0.000       0.000       0.000       0.000     282.297       0.000      52.627      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
    31     1    31  2016      50      50  hru50                  0.000       0.000       0.000      14.673      15.022       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.452       0.638       0.033       0.000       0.000       0.000       0.000
