 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2016       1       1  hru01                  2.314   79967.430       0.000   15556.489      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       2       2  hru02                  0.595    1400.421    3032.481     145.545      18.626      10.244       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       3       3  hru03                  2.314   79967.320       0.000   15556.463      18.070     194.723       0.000      85.281       0.000       0.000     332.919       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       4       4  hru04                  0.596    1443.325    3133.266     150.323      18.639       8.870       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       5       5  hru05                  2.314   79967.547       0.000   15556.511      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       6       6  hru06                  0.596    1497.527    3277.356     156.891      18.669       6.913       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       7       7  hru07                  0.595    1399.426    3030.321     145.439      18.625      10.272       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       8       8  hru08                  2.314   79967.602       0.000   15556.524      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016       9       9  hru09                  2.314   79967.500       0.000   15556.506      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      10      10  hru10                  2.314   79967.508       0.000   15556.506      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      11      11  hru11                  2.314   79967.602       0.000   15556.524      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      12      12  hru12                  0.596    1410.331    3054.488     146.658      18.629       9.946       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      13      13  hru13                  2.314   79967.602       0.000   15556.521      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      14      14  hru14                  0.596    1441.511    3129.622     150.169      18.644       8.928       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      15      15  hru15                  2.314   79967.602       0.000   15556.524      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      16      16  hru16                  0.596    1459.455    3174.832     152.145      18.657       8.339       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      17      17  hru17                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      18      18  hru18                  0.596    1532.668    3384.636     161.761      18.695       5.337       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      19      19  hru19                  2.314   79967.602       0.000   15556.520      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      20      20  hru20                  2.314   79967.297       0.000   15556.459      18.070     194.723       0.000      85.281       0.000       0.000     332.919       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      21      21  hru21                  0.594    1355.405    2940.859     141.202      18.622      11.539       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      22      22  hru22                  2.314   79967.430       0.000   15556.489      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      23      23  hru23                  2.314   79967.547       0.000   15556.511      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      24      24  hru24                  0.596    1607.620    3667.217     173.804      18.658       0.214       0.000       6.688       0.000       0.000       0.000       0.141       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      25      25  hru25                  0.596    1561.259    3480.656     165.867      18.713       3.874       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      26      26  hru26                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      27      27  hru27                  2.314   79967.594       0.000   15556.520      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      28      28  hru28                  0.596    1446.230    3141.536     150.672      18.644       8.762       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      29      29  hru29                  0.596    1610.097    3673.141     173.933      18.604       0.130       0.000       6.688       0.000       0.000       0.000       0.259       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      30      30  hru30                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      31      31  hru31                  0.596    1590.752    3595.167     170.846      18.726       1.853       0.000       6.688       0.000       0.000       0.000       0.030       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      32      32  hru32                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      33      33  hru33                  2.314   79967.602       0.000   15556.524      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      34      34  hru34                  2.314   79967.555       0.000   15556.517      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      35      35  hru35                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      36      36  hru36                  0.000       0.000       0.000       4.552      18.384       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      37      37  hru37                  2.314   79967.539       0.000   15556.510      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      38      38  hru38                  0.596    1610.097    3673.141     173.836      18.570       0.130       0.000       6.688       0.000       0.000       0.000       0.302       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      39      39  hru39                  2.314   79967.586       0.000   15556.518      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      40      40  hru40                  0.596    1610.097    3673.141     173.793      18.572       0.130       0.000       6.688       0.000       0.000       0.000       0.413       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      41      41  hru41                  0.596    1541.505    3411.990     163.115      18.698       4.933       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      42      42  hru42                  2.314   79967.461       0.000   15556.493      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      43      43  hru43                  2.314   79967.430       0.000   15556.489      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      44      44  hru44                  0.596    1487.427    3248.619     155.617      18.665       7.336       0.000       6.688       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      45      45  hru45                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      46      46  hru46                  0.000       0.000       0.000       4.399      18.337       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      47      47  hru47                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      48      48  hru48                  0.000       0.000       0.000       4.532      18.380       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      49      49  hru49                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      50      50  hru50                  0.000       0.000       0.000       4.508      18.358       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      51      51  hru51                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      52      52  hru52                  0.000       0.000       0.000       4.399      18.338       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      53      53  hru53                  2.314   79967.617       0.000   15556.527      18.070     194.723       0.000      85.281       0.000       0.000     332.921       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      54      54  hru54                  2.314   79967.461       0.000   15556.494      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      55      55  hru55                  0.000       0.000       0.000       4.399      18.338       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
   366    12    31  2016      56      56  hru56                  2.314   79967.469       0.000   15556.501      18.070     194.723       0.000      85.281       0.000       0.000     332.920       0.000      62.045      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
