date,obd_irr_paddy
1/31/2016,-999
2/29/2016,-999
3/31/2016,-999
4/30/2016,-999
5/31/2016,25.74650017
6/30/2016,497.4250831
7/31/2016,658.4308318
8/31/2016,662.5304393
9/30/2016,30.77213036
10/31/2016,-999
11/30/2016,-999
12/31/2016,-999
1/31/2017,-999
2/28/2017,-999
3/31/2017,-999
4/30/2017,-999
5/31/2017,425.8318971
6/30/2017,534.5045756
7/31/2017,622.6136124
8/31/2017,611.1149411
9/30/2017,179.5094126
10/31/2017,-999
11/30/2017,-999
12/31/2017,-999
1/31/2018,-999
2/28/2018,-999
3/31/2018,-999
4/30/2018,-999
5/31/2018,383.0782916
6/30/2018,483.2438593
7/31/2018,652.8659113
8/31/2018,598.4164878
9/30/2018,90.01401043
10/31/2018,-999
11/30/2018,-999
12/31/2018,-999
1/31/2019,-999
2/28/2019,-999
3/31/2019,-999
4/30/2019,-999
5/31/2019,340.345257
6/30/2019,603.7286647
7/31/2019,564.8125827
8/31/2019,665.5978339
9/30/2019,174.0847075
10/31/2019,-999
11/30/2019,-999
12/31/2019,-999
1/31/2020,-999
2/29/2020,-999
3/31/2020,-999
4/30/2020,-999
5/31/2020,157.78057
6/30/2020,477.193911
7/31/2020,620.5216105
8/31/2020,683.9243659
9/30/2020,218.7055919
10/31/2020,-999
11/30/2020,-999
12/31/2020,-999
1/31/2021,-999
2/28/2021,-999
3/31/2021,-999
4/30/2021,-999
5/31/2021,294.1051672
6/30/2021,562.5524557
7/31/2021,588.5747167
8/31/2021,666.5979118
9/30/2021,260.4137525
10/31/2021,-999
11/30/2021,-999
12/31/2021,-999
1/31/2022,-999
2/28/2022,-999
3/31/2022,-999
4/30/2022,-999
5/31/2022,442.3016023
6/30/2022,608.3128551
7/31/2022,619.3368396
8/31/2022,515.7611778
9/30/2022,103.0496036
10/31/2022,-999
11/30/2022,-999
12/31/2022,-999
