 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2022      1       0  rtu010               501.151       0.000       0.000    1452.093       0.000    1452.093       0.000    1160.865       4.948     206.785     949.131    2904.185       0.000       6.501       9.943      16.770      11.066       0.000       0.000       0.000    1162.946       0.000    2107.347       0.000       0.000       0.000    2904.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.490       0.000       0.000       0.000       0.000
    365    12    31  2022      2       0  rtu020               501.151       0.000       0.000      44.307       0.001      44.308       1.494     457.086      37.627     418.505       0.953      44.307      67.016      51.398      39.200      61.419       8.658       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000      44.307       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000      -1.736      12.053       1.269       0.000       0.000
    365    12    31  2022      3       0  rtu030               501.151       0.000       0.000      44.307       0.007      44.314       1.494     457.078      37.627     418.498       0.953      44.307      67.016      51.398      39.201      61.417       8.658       0.000       0.000       0.000    1162.944       0.000       0.000       0.000       0.000       0.000      44.307       0.000       0.000       0.007       0.000       0.000       0.000       0.000       0.000      -1.736      10.456       4.361       0.000       0.000
    365    12    31  2022      4       0  rtu040               501.151       0.000       0.000      44.307       0.003      44.310       1.494     457.083      37.627     418.503       0.953      44.307      67.016      51.398      39.202      61.418       8.658       0.000       0.000       0.000    1162.948       0.000       0.000       0.000       0.000       0.000      44.307       0.000       0.000       0.003       0.000       0.000       0.000       0.000       0.000      -1.735      13.607       2.460       0.000       0.000
    365    12    31  2022      5       0  rtu050               501.151       0.000       0.000    1455.369       0.000    1455.369       0.000    1160.366       4.948     206.640     948.778    2910.739       0.000       6.669       9.907      16.753      11.056       0.000       0.000       0.000    1162.947       0.000    2110.096       0.000       0.000       0.000    2910.739       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      6       0  rtu060               501.151       0.000       0.000    1474.944       0.000    1474.944       0.000    1167.979       4.951     209.103     953.926    2949.889       0.000       6.793      10.237      17.275      11.248       0.000       0.000       0.000    1162.945       0.000    2137.311       0.000       0.000       0.000    2949.889       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.490       0.000       0.000       0.000       0.000
    365    12    31  2022      7       0  rtu070               501.151       0.000       0.000    1449.665       0.000    1449.665       0.000    1184.070       4.958     215.655     963.457    2899.331       0.000       6.708      11.598      18.591      11.671       0.000       0.000       0.000    1162.945       0.000    2128.322       0.000       0.000       0.000    2899.331       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.696       0.000       0.000       0.000       0.000
    365    12    31  2022      8       0  rtu080               501.151       0.000       0.000    1421.565       0.000    1421.565       0.000    1202.610       4.959     218.654     978.997    2843.130       0.000       7.875      11.947      19.426      12.070       0.000       0.000       0.000    1162.946       0.000    2118.643       0.000       0.000       0.000    2843.130       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.580       0.000       0.000       0.000       0.000
    365    12    31  2022      9       0  rtu090               501.151       0.000       0.000    1365.436       0.000    1365.436       0.012    1249.869       4.961     232.772    1012.136    2730.872       0.000       9.070      13.371      23.395      13.126       0.000       0.000       0.000    1162.944       0.000    2109.816       0.000       0.000       0.000    2730.872       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.612       0.000       0.000       0.000       0.000
    365    12    31  2022     10       0  rtu100               501.151       0.000       0.000    1499.143       0.000    1499.143       0.000    1116.319       4.934     198.174     913.212    2998.286       0.000       3.808       6.957      14.696      10.095       0.000       0.000       0.000    1162.950       0.000    2109.825       0.000       0.000       0.000    2998.286       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.448       0.000       0.000       0.000       0.000
    365    12    31  2022     11       0  rtu110               501.151       0.000       0.000    1268.308       0.000    1268.308       0.168    1332.111       4.963     255.439    1071.709    2536.616       0.000      21.628      47.609      39.473      14.870       0.000       0.000       0.000    1162.941       0.000    2098.170       0.000       0.000       0.000    2536.616       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       3.697       0.000       0.000       0.000       0.000
    365    12    31  2022     12       0  rtu120               501.151       0.000       0.000    1413.708       0.000    1413.708       0.000    1194.060       4.958     216.543     972.559    2827.417       0.000       7.300      11.289      18.989      11.905       0.000       0.000       0.000    1162.948       0.000    2102.227       0.000       0.000       0.000    2827.417       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.568       0.000       0.000       0.000       0.000
    365    12    31  2022     13       0  rtu130               501.151       0.000       0.000    1354.721       0.000    1354.721       0.029    1271.877       4.962     237.878    1029.037    2709.442       0.000       9.404      13.713      25.328      13.545       0.000       0.000       0.000    1162.940       0.000    2121.127       0.000       0.000       0.000    2709.442       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.613       0.000       0.000       0.000       0.000
    365    12    31  2022     14       0  rtu140               501.151       0.000       0.000     229.994       0.000     229.994       0.000     270.502       0.000       0.000     270.502     459.988       0.000      17.058      21.668      15.610       6.575       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     459.988       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.656       0.000       0.000       0.000       0.000
    365    12    31  2022     15       0  rtu150               501.151       0.000       0.000     266.442       0.000     266.442       0.000     234.039       0.000       0.000     234.039     532.885       0.000      15.296      20.006      14.212       5.655       0.000       0.000       0.000    1162.940       0.000       0.000       0.000       0.000       0.000     532.885       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.670       0.000       0.000       0.000       0.000
    365    12    31  2022     16       0  rtu160               501.151       0.000       0.000     235.702       0.000     235.702       0.000     264.777       0.000       0.000     264.777     471.405       0.000      16.859      21.585      15.382       6.452       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     471.405       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.673       0.000       0.000       0.000       0.000
    365    12    31  2022     17       0  rtu170               501.151       0.000       0.000    1312.243       0.000    1312.243       0.094    1307.987       4.963     249.905    1053.119    2624.486       0.000      11.437      27.129      31.332      14.350       0.000       0.000       0.000    1162.942       0.000    2116.443       0.000       0.000       0.000    2624.486       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.233       0.000       0.000       0.000       0.000
    365    12    31  2022     18       0  rtu180               501.151       0.000       0.000    1240.011       0.000    1240.011       1.144    1357.309       4.964     258.309    1094.036    2480.021       0.000      31.119     114.365      75.270      15.478       0.000       0.000       0.000    1162.941       0.000    2104.193       0.000       0.000       0.000    2480.021       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      11.846       0.000       0.000       0.000       0.000
    365    12    31  2022     19       0  rtu190               501.151       0.000       0.000     308.559       0.000     308.559       0.000     191.930       0.000       0.000     191.930     617.118       0.000      11.899      16.556      12.560       4.381       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     617.118       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.663       0.000       0.000       0.000       0.000
    365    12    31  2022     20       0  rtu200               501.151       0.000       0.000     228.404       0.000     228.404       0.000     272.099       0.000       0.000     272.099     456.808       0.000      17.143      21.706      15.667       6.603       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     456.808       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.649       0.000       0.000       0.000       0.000
    365    12    31  2022     21       0  rtu210               501.151       0.000       0.000    1208.015       0.000    1208.015       2.598    1374.115       4.964     258.891    1110.260    2416.030       0.000      38.679     163.712     106.735      15.968       0.000       0.000       0.000    1162.941       0.000    2096.405       0.000       0.000       0.000    2416.030       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      17.792       0.000       0.001       0.000       0.000
    365    12    31  2022     22       0  rtu220               501.151       0.000       0.000     304.098       0.000     304.098       0.000     196.484       0.000       0.000     196.484     608.197       0.000      12.634      16.636      12.763       4.519       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     608.197       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.570       0.000       0.000       0.000       0.000
    365    12    31  2022     23       0  rtu230               501.151       0.000       0.000    1435.781       0.000    1435.781       0.000    1191.951       4.958     216.445     970.548    2871.562       0.000       7.125      11.157      18.917      11.852       0.000       0.000       0.000    1162.938       0.000    2122.197       0.000       0.000       0.000    2871.562       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.574       0.000       0.000       0.000       0.000
    365    12    31  2022     24       0  rtu240               501.151       0.000       0.000     293.641       0.000     293.641       0.000     206.966       0.000       0.000     206.966     587.282       0.000      13.756      17.585      13.215       4.856       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     587.282       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.545       0.000       0.000       0.000       0.000
    365    12    31  2022     25       0  rtu250               501.151       0.000       0.000    1429.297       0.000    1429.297       0.000    1225.532       4.961     224.609     995.963    2858.594       0.000       8.240      12.678      20.773      12.506       0.000       0.000       0.000    1162.938       0.000    2149.348       0.000       0.000       0.000    2858.594       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.632       0.000       0.000       0.000       0.000
    365    12    31  2022     26       0  rtu260               501.151       0.000       0.000     280.856       0.000     280.856       0.000     219.531       0.000       0.000     219.531     561.712       0.000      14.009      19.383      13.666       5.242       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     561.712       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.765       0.000       0.000       0.000       0.000
    365    12    31  2022     27       0  rtu270               501.151       0.000       0.000     276.255       0.000     276.255       0.000     224.104       0.000       0.000     224.104     552.510       0.000      14.211      19.781      13.867       5.404       0.000       0.000       0.000    1162.938       0.000       0.000       0.000       0.000       0.000     552.510       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.793       0.000       0.000       0.000       0.000
    365    12    31  2022     28       0  rtu280               501.151       0.000       0.000    1317.070       0.000    1317.070       0.053    1291.016       4.962     244.258    1041.795    2634.139       0.000       9.727      15.888      27.696      13.963       0.000       0.000       0.000    1162.944       0.000    2102.901       0.000       0.000       0.000    2634.139       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.877       0.000       0.000       0.000       0.000
    365    12    31  2022     29       0  rtu290               501.151       0.000       0.000    1427.844       0.000    1427.844       0.000    1195.631       4.958     216.758     973.915    2855.688       0.000       7.492      11.429      19.022      11.907       0.000       0.000       0.000    1162.938       0.000    2117.926       0.000       0.000       0.000    2855.688       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.560       0.000       0.000       0.000       0.000
