 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   365    12    31  2022       1       1  hru01          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.166           22.352           20.219            3.598          302.856           57.356            0.000            0.000          122.439           22.817            0.000            0.000
   365    12    31  2022       2       2  hru02          0.000       0.000      -3.331      -7.576          119.532           13.149            0.000            0.000           17.396           -7.835            2.979            3.063            0.856            0.000            0.000           83.506           15.155            0.000            0.000
   365    12    31  2022       3       3  hru03          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.164           22.352           20.219            3.598          302.855           57.356            0.000            0.000          122.438           22.817            0.000            0.000
   365    12    31  2022       4       4  hru04          0.000       0.000      -3.709      -7.727          119.532           13.149            0.000            0.000           17.916           -8.044            3.068            3.177            0.892            0.000            0.000           87.483           15.874            0.000            0.000
   365    12    31  2022       5       5  hru05          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.167           22.352           20.220            3.598          302.857           57.356            0.000            0.000          122.440           22.817            0.000            0.000
   365    12    31  2022       6       6  hru06          0.000       0.000      -4.175      -7.849          119.532           13.149            0.000            0.000           18.434           -8.214            3.157            3.310            0.932            0.000            0.000           91.869           16.667            0.000            0.000
   365    12    31  2022       7       7  hru07          0.000       0.000      -3.329      -7.574          119.532           13.149            0.000            0.000           17.388           -7.837            2.978            3.061            0.855            0.000            0.000           83.443           15.143            0.000            0.000
   365    12    31  2022       8       8  hru08          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.167           22.352           20.220            3.598          302.858           57.356            0.000            0.000          122.440           22.817            0.000            0.000
   365    12    31  2022       9       9  hru09          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.166           22.352           20.220            3.598          302.857           57.356            0.000            0.000          122.439           22.817            0.000            0.000
   365    12    31  2022      10      10  hru10          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.165           22.352           20.219            3.598          302.856           57.356            0.000            0.000          122.439           22.817            0.000            0.000
   365    12    31  2022      11      11  hru11          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.167           22.352           20.220            3.598          302.858           57.356            0.000            0.000          122.440           22.817            0.000            0.000
   365    12    31  2022      12      12  hru12          0.000       0.000      -3.434      -7.624          119.532           13.149            0.000            0.000           17.520           -7.880            3.000            3.090            0.864            0.000            0.000           84.435           15.323            0.000            0.000
   365    12    31  2022      13      13  hru13          0.000       0.000      31.722      17.028            0.000            0.000            0.000          166.167           22.352           20.220            3.598          302.858           57.356            0.000            0.000          122.440           22.817            0.000            0.000
