 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2022      1       0  rtu010                 0.563    1364.708    2774.808     136.064      18.570      10.879       0.000       6.442       0.000       0.000       0.000       0.000       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      2       0  rtu020                 3.738  125848.156       0.000   28635.701      17.803     140.605       0.000      88.057       0.000       0.005     592.635       2.874       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      3       0  rtu030                 3.738  125847.469       0.000   28635.379      17.803     140.607       0.000      88.057       0.000       0.005     592.629       2.873       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      4       0  rtu040                 3.738  125847.594       0.000   28635.445      17.803     140.606       0.000      88.057       0.000       0.005     592.630       2.874       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      5       0  rtu050                 0.563    1363.831    2773.039     135.977      18.570      10.907       0.000       6.442       0.000       0.000       0.000       0.000       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      6       0  rtu060                 0.564    1377.618    2800.908     137.344      18.576      10.469       0.000       6.442       0.000       0.000       0.000       0.000       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      7       0  rtu070                 0.564    1416.922    2879.020     141.149      18.588       9.287       0.000       6.442       0.000       0.000       0.000       0.000       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      8       0  rtu080                 0.565    1433.055    2913.725     142.805      18.592       8.729       0.000       6.442       0.000       0.000       0.000       0.000       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
    365    12    31  2022      9       0  rtu090                 0.565    1506.868    3091.124     151.338      18.621       5.893       0.000       6.442       0.000       0.000       0.000       0.030       0.000      23.625      12.529      18.077      16.631       1.486       0.702       0.461       0.000       0.000       0.000       0.000
