 Osu                       SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null      salt_stor      pest_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        salt_in        pest_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null       salt_out       pest_out     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                            kg             mg          m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                            kg             mg          m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                            kg             mg           degc
   365    12    31  2013       1       1  cha01                0.9315E+01     0.1252E+06     0.4705E+05     0.1575E+06     0.4147E+05     0.1258E-01     0.1869E+00     0.1453E+00     0.3437E+02     0.4672E+01     0.0000E+00     0.2628E-01     0.1235E+00     0.0000E+00     0.5296E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.1177E+01     0.3227E+05     0.5053E+04     0.1319E+04     0.1762E+05     0.5358E+04     0.0000E+00     0.8162E+03     0.1486E+04     0.0000E+00     0.3178E+06     0.6514E+02     0.1111E+02     0.8137E+01     0.5662E+02     0.5288E+02     0.0000E+00     0.5934E+01     0.0000E+00     0.0000E+00     0.1146E+01     0.1604E+05     0.3870E+04     0.1032E+04     0.1749E+05     0.5139E+04     0.0000E+00     0.8138E+03     0.1591E+04     0.0000E+00     0.3292E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5864E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       2       3  cha03                0.4588E+01     0.6166E+05     0.2363E+05     0.7703E+05     0.1082E+05     0.5395E-02     0.5398E-01     0.5604E-01     0.8413E+01     0.1009E+01     0.0000E+00     0.7738E-02     0.4522E-01     0.0000E+00     0.1357E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.3659E+00     0.5348E+04     0.2206E+04     0.5341E+03     0.6063E+04     0.1906E+04     0.0000E+00     0.2922E+03     0.6814E+03     0.0000E+00     0.9415E+05     0.2311E+02     0.9311E+01     0.6369E+01     0.4720E+02     0.3658E+02     0.0000E+00     0.7003E+01     0.0000E+00     0.0000E+00     0.3527E+00     0.2659E+04     0.1764E+04     0.4289E+03     0.6046E+04     0.1856E+04     0.0000E+00     0.3171E+03     0.6868E+03     0.0000E+00     0.1010E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6874E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       3       4  cha04                0.3911E+01     0.5256E+05     0.1996E+05     0.6447E+05     0.7739E+04     0.4003E-02     0.4220E-01     0.4360E-01     0.5813E+01     0.6983E+00     0.0000E+00     0.6114E-02     0.3646E-01     0.0000E+00     0.9673E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.3086E+00     0.7909E+04     0.2015E+04     0.4966E+03     0.4918E+04     0.1622E+04     0.0000E+00     0.2312E+03     0.7358E+03     0.0000E+00     0.7573E+05     0.5162E+02     0.7239E+01     0.5434E+01     0.4434E+02     0.3728E+02     0.0000E+00     0.7298E+01     0.0000E+00     0.0000E+00     0.2936E+00     0.3851E+04     0.1634E+04     0.3990E+03     0.4900E+04     0.1571E+04     0.0000E+00     0.2583E+03     0.6784E+03     0.0000E+00     0.8373E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7174E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       4       5  cha05                0.4089E+01     0.5496E+05     0.2064E+05     0.6823E+05     0.5461E+04     0.4242E-02     0.3877E-01     0.2708E-01     0.3752E+01     0.5024E+00     0.0000E+00     0.5780E-02     0.2868E-01     0.0000E+00     0.6726E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.2751E+00     0.1955E+04     0.1957E+04     0.4551E+03     0.4088E+04     0.1455E+04     0.0000E+00     0.3987E+03     0.5491E+03     0.0000E+00     0.7189E+05     0.3552E+02     0.4597E+01     0.3456E+01     0.2755E+02     0.2486E+02     0.0000E+00     0.7508E+01     0.0000E+00     0.0000E+00     0.2660E+00     0.7771E+04     0.1660E+04     0.3853E+03     0.4055E+04     0.1435E+04     0.0000E+00     0.2312E+03     0.7358E+03     0.0000E+00     0.7573E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7398E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       5       6  cha06                0.7201E+01     0.9678E+05     0.3722E+05     0.1193E+06     0.1393E+05     0.1751E-01     0.1402E+00     0.9018E-01     0.9436E+01     0.1337E+01     0.0000E+00     0.2050E-01     0.7728E-01     0.0000E+00     0.1645E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.2703E+00     0.3743E+04     0.2508E+04     0.5802E+03     0.3880E+04     0.1443E+04     0.0000E+00     0.3799E+03     0.4353E+03     0.0000E+00     0.6514E+05     0.7769E+02     0.9425E+01     0.7254E+01     0.6284E+02     0.5466E+02     0.0000E+00     0.7892E+01     0.0000E+00     0.0000E+00     0.2540E+00     0.1843E+04     0.1750E+04     0.4063E+03     0.3716E+04     0.1350E+04     0.0000E+00     0.3987E+03     0.5491E+03     0.0000E+00     0.7189E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7568E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       6       8  cha08                0.7139E+01     0.9595E+05     0.3672E+05     0.1179E+06     0.1027E+05     0.1388E-01     0.1438E+00     0.9847E-01     0.6617E+01     0.1068E+01     0.0000E+00     0.2086E-01     0.5351E-01     0.0000E+00     0.1168E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.2117E+00     0.3171E+04     0.2244E+04     0.5117E+03     0.2903E+04     0.1192E+04     0.0000E+00     0.3638E+03     0.2576E+03     0.0000E+00     0.4202E+05     0.1293E+03     0.1516E+02     0.1220E+02     0.1099E+03     0.9018E+02     0.0000E+00     0.8682E+01     0.0000E+00     0.0000E+00     0.1896E+00     0.2279E+04     0.1536E+04     0.3470E+03     0.2642E+04     0.1076E+04     0.0000E+00     0.3430E+03     0.4345E+03     0.0000E+00     0.5308E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8288E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       7       9  cha09                0.9512E+01     0.1278E+06     0.4842E+05     0.1571E+06     0.2096E+05     0.5320E-02     0.1068E+00     0.8571E-01     0.1662E+02     0.2692E+01     0.0000E+00     0.1457E-01     0.3741E-01     0.0000E+00     0.2590E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.7710E+00     0.7967E+04     0.3531E+04     0.9384E+03     0.1095E+05     0.3264E+04     0.0000E+00     0.1733E+03     0.9890E+03     0.0000E+00     0.2038E+06     0.6799E+02     0.1535E+02     0.1337E+02     0.1153E+03     0.6854E+02     0.0000E+00     0.6396E+01     0.0000E+00     0.0000E+00     0.7498E+00     0.2868E+05     0.2793E+04     0.7504E+03     0.1080E+05     0.3126E+04     0.0000E+00     0.4979E+03     0.7989E+03     0.0000E+00     0.2144E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6267E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       8      12  cha12                0.1033E+02     0.1389E+06     0.4931E+05     0.1670E+06     0.1360E+05     0.2164E-01     0.2880E+00     0.1907E+00     0.8094E+01     0.1363E+01     0.0000E+00     0.4042E-01     0.4786E-01     0.0000E+00     0.1376E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.1787E+00     0.1813E+04     0.2482E+04     0.5240E+03     0.2275E+04     0.1046E+04     0.0000E+00     0.1413E+03     0.2301E+03     0.0000E+00     0.2932E+05     0.2339E+03     0.3450E+02     0.2888E+02     0.2554E+03     0.1892E+03     0.0000E+00     0.9908E+01     0.0000E+00     0.0000E+00     0.1530E+00     0.2860E+04     0.1491E+04     0.3149E+03     0.1820E+04     0.8805E+03     0.0000E+00     0.3638E+03     0.2576E+03     0.0000E+00     0.4202E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9137E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013       9      13  cha13                0.1564E+01     0.2102E+05     0.8219E+04     0.2622E+05     0.3984E+04     0.7914E-03     0.1216E-01     0.1512E-01     0.3204E+01     0.4993E+00     0.0000E+00     0.1460E-02     0.6661E-02     0.0000E+00     0.5080E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.7089E+00     0.9593E+04     0.2750E+04     0.7654E+03     0.1006E+05     0.2954E+04     0.0000E+00     0.2505E+03     0.9023E+03     0.0000E+00     0.1969E+06     0.1914E+02     0.4773E+01     0.3521E+01     0.2813E+02     0.2060E+02     0.0000E+00     0.6465E+01     0.0000E+00     0.0000E+00     0.7008E+00     0.7682E+04     0.2583E+04     0.7210E+03     0.1004E+05     0.2938E+04     0.0000E+00     0.1695E+03     0.9889E+03     0.0000E+00     0.2009E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6428E+01     0.0000E+00     0.0000E+00     0.5562E+01
