 Osu                       SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    31     1    31  2013       1       1  Osu                   16.000       2.767      17.752       4.633       0.532       5.165       7.296       3.624       0.718       1.395       1.511      29.537      42.517     106.783      97.685     102.513      32.075      14.986       0.000       7.588       3.484       0.000       0.000       0.038       0.526       0.000      28.508       0.000       1.029       0.006       0.000       0.526       0.000       0.000       0.000      -9.098       0.615       1.419       0.000       0.000
    59     2    28  2013       1       1  Osu                   46.000      12.095      12.095      12.946       0.410      13.356       5.628      10.932       1.124       5.142       4.667      51.183      41.574      97.685      85.599      92.960      26.666       0.000       0.000       1.937      10.285       0.000       0.000       0.108       0.403       0.000      49.369       0.000       1.814       0.007       0.000       0.403       0.000       0.000       0.000     -12.086       2.495       1.192       0.000       0.000
    90     3    31  2013       1       1  Osu                   80.000       0.000       0.000       7.972       2.341      10.313      22.437      33.272       1.005      18.891      13.376      15.219      28.376      85.599     101.891     101.731      23.393       0.000       0.000       0.000      33.295       0.000       0.000       0.057       2.325       0.000      14.746       0.000       0.473       0.015       0.000       2.325       0.000       0.000       0.000      16.293       0.482       4.410       0.000       0.000
   120     4    30  2013       1       1  Osu                   76.000       0.000       0.000       5.852       2.010       7.862      19.561      37.230       1.098      21.276      14.856      11.277      28.374     101.891     114.357      96.261      21.874       0.000       0.000       0.000      37.762       0.000       0.000       0.042       1.993       0.000      10.917       0.000       0.360       0.017       0.000       1.993       0.000       0.000       0.000      12.466       0.283       4.002       0.000       0.000
   151     5    31  2013       1       1  Osu                  104.000       0.000       0.000      18.682       2.814      21.496      26.653      58.018       1.217      31.575      25.225      35.825      28.388     114.357     131.102     108.119      26.813       0.000       0.000       0.000      53.804       0.000      29.002       0.143       2.795       0.000      34.536       0.000       1.289       0.019       0.000       2.795       0.000       0.000       0.000      16.744       0.861       5.263       0.000       0.000
   181     6    30  2013       1       1  Osu                   48.000       0.000       0.000       4.914       2.946       7.860      27.482      52.042       2.171      28.559      21.312       9.863      28.411     131.102     106.190     109.203      27.380       0.000       0.000       0.000      46.922       0.000      11.126       0.033       2.925       0.000       9.561       0.000       0.303       0.021       0.000       2.925       0.000       0.000       0.000     -24.911       0.196       5.616       0.000       0.000
   212     7    31  2013       1       1  Osu                  473.000       0.000       0.000     167.651      19.265     186.917     115.871      59.918       3.074      38.589      18.255     352.518      34.227     106.190     211.615     185.836      50.414       0.000       0.000       0.000      51.176       0.000      33.021       1.321      19.223       0.000     340.142       0.000      12.377       0.042       0.000      19.223       0.000       0.000       0.000     105.424      29.266      32.553       0.000       0.000
   243     8    31  2013       1       1  Osu                  255.000       0.000       0.000      85.372      18.309     103.681     110.936      64.661       2.143      40.778      21.740     177.450      31.140     211.615     202.916     183.532      47.121       0.000       0.000       0.000      56.137       0.000      24.042       0.641      18.263       0.000     171.524       0.000       5.925       0.046       0.000      18.263       0.000       0.000       0.000      -8.699      13.943      31.470       0.000       0.000
   273     9    30  2013       1       1  Osu                   82.000       0.000       0.000      16.113      13.137      29.251      86.184      41.450       1.535      21.963      17.952      33.854      29.007     202.916     143.011     168.340      38.462       0.000       0.000       0.000      37.136       0.000       0.513       0.085      13.095       0.000      33.150       0.000       0.703       0.042       0.000      13.095       0.000       0.000       0.000     -59.904       1.759      23.466       0.000       0.000
   304    10    31  2013       1       1  Osu                   69.000       0.000       0.000      21.737       7.106      28.843      58.596      28.714       1.009      15.939      11.766      43.352      28.934     143.011     108.274     140.668      31.398       0.000       0.000       0.000      28.193       0.000       0.000       0.151       7.070       0.000      41.943       0.000       1.409       0.036       0.000       7.070       0.000       0.000       0.000     -34.738       1.152      13.200       0.000       0.000
   334    11    30  2013       1       1  Osu                   76.000      23.715      23.715       9.428       2.534      11.962      25.079      11.684       1.014       5.911       4.760      20.764      28.561     108.274     134.126     107.856      25.977       0.000       0.000       0.796      11.651       0.000       0.000       0.065       2.511       0.000      20.097       0.000       0.667       0.023       0.000       2.511       0.000       0.000       0.000      25.852       0.339       5.285       0.000       0.000
   365    12    31  2013       1       1  Osu                   19.000      11.341      11.341       3.920       3.374       7.294      30.943       7.641       0.822       3.576       3.243      10.088      35.739     134.126     108.659     120.128      31.059       0.000       0.000       0.298       7.296       0.000       0.000       0.021       3.353       0.000       9.825       0.000       0.263       0.021       0.000       3.353       0.000       0.000       0.000     -25.467       0.168       6.535       0.000       0.000
    31     1    31  2014       1       1  Osu                    6.000       3.771       3.771       0.793       1.119       1.912      12.087      10.374       0.514       5.692       4.168       4.368      42.243     108.659      88.732      97.008      24.743       0.000       0.000       0.123      10.305       0.000       0.000       0.004       1.107       0.000       4.238       0.000       0.130       0.011       0.000       1.107       0.000       0.000       0.000     -19.927       0.023       2.656       0.000       0.000
