 Osu                       SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2013       1       1  Osu                 1343.999      49.918      64.904     359.221      74.779     433.999     536.667     409.185      16.929     233.593     158.662     790.930      32.065     106.783     108.659     126.770      31.967      14.986       0.000       0.884     377.139       0.000      97.704       2.705      74.482       0.000     764.319       0.000      26.612       0.297       0.000      74.482       0.000       0.000       0.000       1.876      51.559     134.412       0.000       0.000
   365    12    31  2014       1       1  Osu                 1318.000      46.602      45.803     326.382      80.415     406.797     577.496     384.765      17.680     218.177     148.908     650.093      31.722     108.659     115.528     128.893      32.182       0.000       0.799       0.420     356.253       0.000      64.494       2.386      80.111       0.000     629.167       0.000      20.925       0.304       0.000      80.111       0.000       0.000       0.000       6.869      88.130     144.338       0.000       0.000
   365    12    31  2015       1       1  Osu                  853.999      42.085      42.884     130.935      35.594     166.529     331.356     414.898      18.756     235.980     160.162     285.621      30.221     115.528     125.456     109.890      27.268       0.799       0.000       0.044     387.712       0.000      71.084       0.941      35.370       0.000     276.132       0.000       9.488       0.224       0.000      35.370       0.000       0.000       0.000       9.928       6.619      67.537       0.000       0.000
   366    12    31  2016       1       1  Osu                 1033.000      36.682      36.682     215.592      53.189     268.781     435.164     441.715      16.604     254.250     170.861     436.457      30.290     125.456      86.107     117.942      28.850       0.000       0.000       0.125     408.802       0.000      74.885       1.595      52.910       0.000     422.031       0.000      14.427       0.279       0.000      52.910       0.000       0.000       0.000     -39.349      47.397      98.734       0.000       0.000
   365    12    31  2017       1       1  Osu                  688.999      10.089      10.089     126.710      35.718     162.428     288.641     354.242      14.163     189.505     150.574     260.374      30.341      86.107      74.268      90.157      21.509       0.000       0.000       0.028     410.225       0.000      94.283       0.916      35.540       0.000     251.784       0.000       8.590       0.178       0.000      35.540       0.000       0.000       0.000     -11.839       8.276      65.613       0.000       0.000
   365    12    31  2018       1       1  Osu                 1359.999      27.881      27.852     354.587      69.185     423.772     515.461     442.934      14.628     256.855     171.450     706.154      31.446      74.268     100.571     118.894      28.903       0.000       0.000       0.041     421.025       0.000      88.910       2.711      68.896       0.000     682.615       0.000      23.540       0.289       0.000      68.896       0.000       0.000       0.000      26.302     127.547     124.452       0.000       0.000
   365    12    31  2019       1       1  Osu                 1006.000      11.621      11.621     193.502      51.353     244.855     403.862     435.290      15.546     252.125     167.619     408.895      30.162     100.571      94.203     111.619      26.367       0.000       0.000       0.027     407.799       0.000      75.306       1.403      51.108       0.000     395.403       0.000      13.492       0.246       0.000      51.108       0.000       0.000       0.000      -6.368      17.786      93.890       0.000       0.000
   366    12    31  2020       1       1  Osu                 1645.999       5.925       5.925     716.114      79.438     795.552     551.571     407.960      20.987     229.098     157.875    1132.640      31.062      94.203      87.980     125.614      32.267       0.000       0.000       0.032     382.741       0.000      86.716       5.985      79.130       0.000    1094.387       0.000      38.252       0.309       0.000      79.130       0.000       0.000       0.000      -6.223     596.278     141.864       0.000       0.000
   365    12    31  2021       1       1  Osu                 1135.999      11.198      11.198     219.109      63.297     282.406     477.246     428.527      20.051     243.607     164.869     465.194      30.246      87.980      96.363     120.653      29.622       0.000       0.000       0.031     395.697       0.000      64.489       1.556      63.023       0.000     450.223       0.000      14.971       0.274       0.000      63.023       0.000       0.000       0.000       8.383      23.627     114.658       0.000       0.000
   365    12    31  2022       1       1  Osu                  782.000      44.990      44.945     118.350      34.807     153.157     304.013     413.463      14.270     233.961     165.232     247.120      29.911      96.363      97.359     100.375      23.693       0.000       0.000       0.268     423.011       0.000      80.145       0.845      34.607       0.000     239.045       0.000       8.075       0.201       0.000      34.607       0.000       0.000       0.000       0.995       6.692      64.983       0.000       0.000
   365    12    31  2023       1       1  Osu                 1803.999       7.474       3.291     637.864      96.477     734.341     647.770     407.576      21.799     226.006     159.771    1106.904      31.651      97.359     138.385     130.481      33.791       0.000       4.183       0.045     379.429       0.000      61.283       5.144      96.156       0.000    1070.383       0.000      36.521       0.321       0.000      96.156       0.000       0.000       0.000      41.026     428.325     169.477       0.000       0.000
