real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130
0,0.446,0.6535,0.2184,0.09603,0.3352,0.07948,5.438,3.283,0.1373,0.4436,0.4493,0.5037,0.1118,0.06735,0.008226,0.3792,3.075,7.07,0.4168,0.5088,0.7806,1.154,0.5918,0.3932,0.2063,0.09443,0.005496,0.2024,0.2425,0.2157,0.01178,0.05291,0.2677,0.5609,0.3689,0.3341,0.244,0.1099,0.04112,0.08131,3.656,0.02982,0.3093,0.521,0.1897,0.1104,0.07968,0.05042,0.03034,0.01516,0.0007154,9.844e-05,0.6416,1.094,0.0312,0.2301,0.09771,0.07863,0.09305,0.05832,0.07712,0.0915,0.01677,0.4026,2.37,5.52,7.141,0.6661,0.5316,0.4105,0.2218,0.173,0.07233,0.04525,0.0993,0.1708,1.216,0.3136,0.09853,1.72,0.2563,0.1579,0.2049,0.1493,0.1085,0.05164,0.01292,0.3259,6.452,29.81,0.9097,0.1506,0.1669,0.1124,0.08928,0.07692,0.06893,0.05221,2.889,0.8871,0.229,0.2086,0.1584,0.09492,0.05405,0.00103,0.4206,0.2109,0.6678,0.02117,0.03036,0.07178,0.09156,0.07273,0.03823,0.02173,0.02032,0.4468,1.761,26.36,2.24,0.7428,0.3076,0.4749
1,0.6432,1.449,0.5688,0.2476,0.6907,0.1897,12.27,7.034,0.4072,0.3559,0.2756,0.4258,0.3372,0.1747,0.02451,0.9078,6.698,7.429,0.7965,0.7816,0.957,1.354,0.7323,0.3236,0.2443,0.2283,0.02975,0.3056,0.4503,0.5675,0.05163,0.4689,0.4811,1.09,0.8996,0.8319,0.4053,0.6294,0.1228,0.2331,5.585,0.09398,1.875,0.9175,0.224,0.1204,0.09291,0.06737,0.03328,0.01418,0.0003508,3.361e-05,1.5,2.634,0.4408,0.3441,0.1084,0.2057,0.5927,0.1151,0.272,0.6913,0.07814,0.8515,4.346,7.927,5.935,1.006,0.5134,0.2229,0.1318,0.4574,0.1151,0.2449,0.2353,0.3469,2.949,0.8804,0.7305,3.595,0.3228,0.1927,0.5052,0.1936,0.1465,0.1926,0.02634,0.6341,8.3,22.03,1.973,0.2534,0.4463,0.1957,0.1792,0.1278,0.3391,0.2943,5.013,1.229,0.167,0.2286,0.2409,0.0856,0.05235,0.00297,0.9682,0.5975,1.492,0.1335,0.07678,0.5917,0.438,0.4211,0.08493,0.04618,0.09156,1.709,3.88,21.51,4.703,0.7925,0.2072,0.3868
2,0.1058,0.3312,0.3232,0.09534,0.4118,0.1947,12.82,6.912,1.048,0.2779,0.1387,0.3402,0.09712,0.08916,0.02376,0.5835,7.466,11.13,1.18,0.4975,0.6449,1.242,0.2144,0.128,0.0358,0.03923,0.01419,0.225,0.4293,0.3626,0.07186,0.215,0.5032,1.554,0.2389,0.1975,0.4154,0.2938,0.1346,0.1123,7.057,0.05426,0.9453,0.6224,0.1043,0.04775,0.02111,0.007012,0.00314,0.002662,0.002889,0.0118,1.102,2.355,0.3026,0.338,0.04175,0.03386,0.0486,0.01905,0.1797,0.4063,0.1254,0.484,5.486,6.726,11.2,0.4883,0.233,0.1106,0.02714,0.02646,0.01336,0.0165,0.1163,0.2337,2.582,1.242,0.5358,4.045,0.07678,0.04299,0.2194,0.1273,0.1211,0.03063,0.02074,0.4925,10.33,32.63,0.9693,0.0111,0.03433,0.03395,0.0242,0.01831,0.03496,0.065,4.958,2.775,0.0433,0.07605,0.1354,0.02194,0.005658,0.003541,0.5574,0.4189,1.257,0.06449,0.01675,0.1625,0.1133,0.06587,0.02028,0.007502,0.009367,0.7364,2.833,32.4,4.112,1.349,0.02338,0.2659
4,0.1879,0.2636,1.232,0.2135,1.132,0.3268,18.61,11,0.5452,0.8133,0.5908,0.8419,0.8032,0.2847,0.1506,1.598,11.56,12.32,0.7692,1.887,1.436,1.416,0.277,0.1835,0.1064,0.2853,0.06666,0.6708,1.255,1.007,0.1188,1.091,1.582,2.91,0.2733,0.3759,1.044,1.378,0.1861,0.3122,10.78,0.1055,3.569,1.173,0.2428,0.1399,0.07738,0.03112,0.005843,0.002609,0.002559,0.005217,3.28,5.108,1.014,0.9918,0.1578,0.1023,0.0709,0.03161,1.234,1.494,0.2456,1.608,8.169,14.29,8.035,1.405,0.5648,0.2277,0.1009,0.06335,0.01963,0.2149,0.2359,0.5677,6.374,1.426,2.455,5,0.2074,0.1366,0.9469,0.2898,0.2052,0.2988,0.02429,1.53,16.32,30.4,2.455,0.1401,0.5065,0.1274,0.05281,0.03285,0.3107,0.2218,10.17,1.09,0.1647,0.505,0.3602,0.06255,0.01824,0.00319,1.829,0.9812,3.258,0.3594,0.0858,1.322,0.1531,0.07417,0.03214,0.01016,0.07747,3.44,7.326,33.26,4.801,1.876,0.1378,1.178
5,0.45,1.226,1.128,0.5713,0.8481,0.5842,17.27,9.602,1.298,0.7947,0.3553,1.142,0.7692,0.4921,0.1187,1.371,10.47,12.17,1.828,1.601,1.791,1.96,0.5449,0.2426,0.1627,0.3859,0.07637,0.4093,1.482,0.867,0.1971,1.256,1.218,3.122,0.7388,0.6958,1.153,1.461,0.4684,0.3022,10.41,0.1289,2.464,1.687,0.1957,0.06655,0.03834,0.01376,0.004733,0.00459,0.002246,0.004858,2.76,4.474,0.9933,1.048,0.0593,0.1365,0.5314,0.08163,1.097,1.94,0.4291,0.9679,7.978,9.287,11.1,1.434,0.6122,0.239,0.05314,0.3601,0.07268,0.3447,0.3086,0.5166,4.806,2.778,1.265,5.979,0.2617,0.1539,1.114,0.3092,0.3783,0.3377,0.0616,1.34,12.73,33.82,3.097,0.007154,0.4461,0.2534,0.09697,0.08817,0.4619,0.5344,7.558,3.068,0.08423,0.4789,0.5181,0.04197,0.006687,0.007229,1.506,1.298,3.261,0.2835,0.07197,1.295,0.7083,0.3263,0.04457,0.02659,0.145,2.442,5.338,32.75,8.127,1.333,0.08591,1.018
6,0.47,0.8652,1.926,0.5024,1.746,0.6165,19.95,12,0.698,1.198,0.8998,1.067,1.532,0.6491,0.4062,2.613,12.65,12.97,1.023,2.379,1.641,1.801,0.5262,0.1913,0.2936,0.8459,0.224,1.098,2.089,1.777,0.1889,1.805,2.103,3.037,0.363,0.9562,1.307,2.426,0.6287,0.6601,11.8,0.2995,4.224,1.548,0.1655,0.0677,0.03462,0.01335,0.004516,0.004474,0.0108,0.01763,4.09,6.026,1.315,1.19,0.05999,0.1839,0.5312,0.08423,2.014,2.518,0.7705,1.961,8.835,15.1,8.612,1.87,0.9104,0.2595,0.04526,0.4504,0.08253,0.6827,0.7002,1.217,7.438,2.106,2.972,5.292,0.2383,0.2224,1.464,0.4506,0.3939,0.7747,0.1319,2.417,17.28,30.8,2.769,0.02693,0.9042,0.1434,0.09247,0.1307,0.948,0.687,11.5,1.248,0.1142,0.9041,0.4926,0.02657,0.008,0.02346,2.942,1.731,4.214,0.7004,0.202,2.016,0.3776,0.3716,0.04272,0.0418,0.3646,4.308,8.375,34.13,5.35,2.04,0.046,1.796
7,1.418,2.77,2.911,1.971,3.272,2.193,22.41,14.04,4.64,4.429,2.177,1.959,2.266,1.95,1.909,4.328,16.16,17.14,4.491,5.194,3.674,2.915,1.778,1.19,1.297,2.352,1.458,1.666,5.002,4.771,1.898,4.809,3.586,3.612,1.711,2.465,2.551,5.42,3.963,1.999,14.01,1.633,6.065,4.645,1.06,1.043,0.7947,0.7248,0.6411,0.5974,0.0641,0.04776,3.769,8.053,5.126,4.574,0.9892,1.321,1.951,0.6875,2.406,4.461,3.525,2.282,9.763,14.76,13.24,4.431,2.45,1.441,0.9402,2.092,1.043,1.516,1.558,2.83,10.23,5.942,6.78,8.117,1.467,1.354,2.419,1.856,1.881,1.99,1.714,4.449,19.98,35.83,6.863,1.506,2.106,1.124,1.102,1.12,2.235,2.16,15.37,4.564,2.547,2.085,1.931,0.9099,0.7719,0.3478,3.54,4.722,8.363,2.801,1.544,2.866,1.814,1.705,0.841,0.8407,1.111,4.978,9.195,40.1,11.18,7.495,2.137,3.197
8,0.08979,0.2741,0.2989,0.07292,0.3632,0.1356,13.8,8.727,0.3373,0.1831,0.09941,0.2137,0.03887,0.02887,0.01014,0.4537,8.255,11.58,0.3247,0.6594,0.824,1.232,0.2263,0.135,0.05831,0.02942,0.004809,0.2296,0.3233,0.29,0.02627,0.09042,0.2245,1.583,0.2224,0.1644,0.255,0.08684,0.06528,0.1189,7.381,0.05794,1.036,0.5185,0.1417,0.05959,0.02355,0.006782,0.002699,0.00236,0.002524,0.009483,1.164,2.683,0.321,0.277,0.07106,0.03106,0.02089,0.009489,0.04884,0.127,0.02579,0.5739,5.738,10.04,8.844,0.3753,0.172,0.1001,0.03952,0.02588,0.009886,0.01685,0.1111,0.2073,2.939,0.7166,0.8494,4.286,0.08525,0.04253,0.08772,0.0667,0.04827,0.02459,0.01712,0.3848,12.56,30.7,1.226,0.03828,0.03515,0.01613,0.008481,0.007717,0.01823,0.02872,7.104,1.511,0.07502,0.05358,0.03631,0.013,0.00437,0.002811,0.4903,0.2905,1.174,0.03433,0.02285,0.05019,0.03156,0.01912,0.008928,0.005355,0.008785,0.8789,3.943,32.98,3.404,1.357,0.05382,0.1074
9,0.6645,1.072,1.581,1.422,1.844,1.873,14.75,9.435,3.749,3.693,1.803,1.805,1.335,1.454,1.363,2.545,11.62,12.76,2.89,3.95,2.768,2.316,1.081,0.7294,0.7601,1.667,1.018,1.085,3.496,3.13,1.779,3.258,2.769,3.068,1.344,1.232,1.631,3.061,2.656,1.592,10.99,1.504,3.11,3.782,1.333,0.8302,0.5528,0.3952,0.3017,0.3053,0.01833,0.007869,2.709,5.448,3.397,3.877,1.141,0.7461,0.9007,0.3879,1.729,3.032,2.551,1.508,7.31,10.73,11.28,3.636,2.061,1.343,0.6968,0.8515,0.559,0.9391,0.9579,2.01,6.388,4.347,4.77,6.026,1.378,1.141,1.685,1.386,1.473,1.344,1.127,2.848,15.56,33.42,5.429,1.635,1.324,0.8957,0.6518,0.5942,1.378,1.611,10.5,3.814,2.498,1.708,1.391,0.6303,0.3995,0.1859,2.097,3.281,5.582,2.201,1.423,1.877,1.342,0.8451,0.4643,0.413,0.8586,2.765,6.137,33.41,7.208,5.325,2.553,2.38
10,0.2795,0.6337,3.723,1.933,3.97,1.871,23.86,14.27,3.426,4.1,2.271,1.645,3.2,1.972,2.073,5.205,17.23,17.91,3.91,4.701,3.491,1.803,0.3363,0.2196,1.324,3.385,1.398,1.953,6.439,5.014,1.12,4.775,4.349,4.033,0.3053,0.9652,2.65,6.424,3.659,1.751,14.78,0.8475,6.885,4.497,0.2261,0.3338,0.1574,0.05013,0.03505,0.06981,0.02156,0.05572,6.699,10.14,4.463,4.195,0.1391,0.1082,0.2859,0.07299,4.853,5.468,3.742,2.113,9.924,17.28,11.28,3.828,2.281,1.107,0.1261,0.2136,0.645,1.972,2.16,3.737,12.24,5.495,6.658,7.261,0.7218,0.9093,2.558,2.23,1.766,1.732,1.959,5.475,22.29,34.93,6.447,0.2649,1.894,0.262,0.1769,0.5923,3.329,2.181,16.97,3.023,1.815,2.104,1.285,0.1014,0.05366,0.3311,4.949,5.632,8.889,2.578,0.807,3.193,0.7037,0.3322,0.149,0.3924,1.515,7.459,10.86,40.62,10.63,6.697,0.9212,3.792
